职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
Andriod 开发工程师,杭州普维云技术有限公司,1-2万,杭州-滨江区,本科,在校生/应届生,01-29发布,50-150人,民营,计算机硬件,,本科10-15研究生15-20岗位职责1.根据公司要求，负责Andriod平台产品功能迭代改进及新产品的开发;2.根据产品需求，高质量完成软件编码和功能自测。岗位要求1.计算机，软件工程等相关专业毕业，统招***本科及以上学历；2.了解Andriod系统，有相关开发经验者优先；3.热爱编程，具备扎实的计算机基础，热爱学习并掌握常见的数据结构与算法设计。,民营  |  50-150人
Android工程师（2023届校招）(J10859),基蛋生物科技股份有限公司,1.1-1.8万·14薪,南京-六合区,本科,在校生/应届生,01-29发布,1000-5000人,已上市,制药/生物工程,,工作职责:1、负责Android平台应用软件的设计及开发2、负责Android平台软件代码的编写、调试及后期维护3、能够完成Android终端产品模块功能设计，开发，调试及发布4、对既有系统存在的问题能够快速分析、定位并修改任职资格:1、本科及以上学历，计算机、通信相关专业2、具备扎实的Java编程基础3、熟练使用Android各种组件并了解其内部原理，熟悉Android开发框架4、熟练掌握面向对象设计思想，熟悉常见设计模式，具备良好的编程习惯，良好的设计文档撰写能力,已上市  |  1000-5000人
Android 系统开发工程师（TV方向）校招,广东长虹电子有限公司,6-9千·17薪,中山,本科,在校生/应届生,01-29发布,1000-5000人,国企,家具/家电/玩具/礼品,,TV软件工程师：安卓应用方向（智能电视）1、参与海外智能电视产品软件开发及维护；2、参与内部信息管理系统开发；3、独立完成各项分配的代码撰写、编程等任务。我们希望您：1、专业：软件工程、网络工程（软件方向）、计算机软件相关专业。2、技能：熟悉计算机编程语言、熟悉安卓应用开发、独立完成文档编写。3、语言：大学英语四级，能阅读英文文档，能与客户使用英语进行书面和口头交流。4、素质：具备较强的执行力、学习能力和责任感；具备良好的沟通能力，愿意从事家电行业嵌入式开发工作。工作地址：广东省中山市南头镇兴业北路1号（公司距离南头动车站10min车程）（毗邻顺德）,国企  |  1000-5000人
Android软件工程师（应届生）,格尔软件股份有限公司,1.2-1.8万,上海,本科,在校生/应届生,01-17发布,500-1000人,已上市,计算机软件,,-对Java、Kotlin有较熟练的掌握-对Android开发知识具掌握全面-熟悉JNI，对C/C++代码具有基本的阅读分析能力，有开发能力优先考虑-熟悉AIDL远程服务调用-熟悉常用的Android开发框架-对Java的反射机制有足够的了解-了解Android混合开发-对MVP、MVVM等开发架构熟悉-具备计算机网络基础知识，对常用的网络协议和网络技术有所了解-对JCA、JCE、JSSE等Java安全相关开发技术有了解的优先考虑-有良好的代码编写习惯，懂得团队协作,已上市  |  500-1000人
Android开发工程师（应届生）,深圳市慧为智能科技股份有限公司,8千-1.4万,武汉-东湖新技术产业开发区,本科,在校生/应届生,01-29发布,150-500人,已上市,计算机硬件,,岗位职责1、参与AndroidSDK开发；2、处理客户使用SDK开发产品时问题。岗位要求1、软件工程、计算机科学与技术、物联网、数学等相关专业，本科及以上学历；2、熟练掌握JAVA等面向对象语言，有良好的编程基础和习惯,已上市  |  150-500人
Android实习开发工程师,广州飞磨科技有限公司,4-8千,广州,大专,在校生/应届生,01-17发布,少于50人,民营,互联网/电子商务,,,民营  |  少于50人
Android开发工程师（实习岗）,深圳艾斯特创新科技有限公司,3-4.5千,深圳-宝安区,大专,在校生/应届生,01-06发布,50-150人,民营,电子技术/半导体/集成电路,,,民营  |  50-150人
Android开发工程师（校园招聘）,百联全渠道电子商务有限公司,1.2-1.8万·13薪,上海,本科,在校生/应届生,01-29发布,500-1000人,国企,互联网/电子商务,,岗位职责1.负责互联网电商平台安卓功能的开发工作；2.负责开发电商平台业务模块及相应功能实现；3.负责线上相关故障、疑难问题及时的排查和处理；4.配合产品、运营等，完成职责内工作及技术支撑工作。任职要求1.本科及以上学历，计算机相关专业优先；2.有安卓相关项目经验优先。,国企  |  500-1000人
Android开发工程师（应届生）,深圳市慧为智能科技股份有限公司,8千-1.4万·13薪,深圳-南山区,本科,在校生/应届生,01-29发布,150-500人,已上市,计算机硬件,,岗位职责1、参与AndroidSDK开发；2、处理客户使用SDK开发产品时问题。岗位要求1、软件工程、计算机科学与技术、物联网、数学等相关专业，本科及以上学历；2、熟练掌握JAVA等面向对象语言，有良好的编程基础和习惯,已上市  |  150-500人
Android开发工程师（2023届）,上海禾苗通信技术有限公司,8千-1.3万,上海-浦东新区,本科,在校生/应届生,01-29发布,1000-5000人,已上市,通信/电信/网络设备,,岗位职责：1.良好的学习习惯，不断向上的学习精神；2.根据入职后模块分配，处理相关模块的bug；3.根据入职后模块分配，负责对应的需求功能开发。任职要求：1.本科及以上学历，计算机、软件等相关专业；2.沟通表达能力较好，逻辑思维清晰，有较强的责任心及目标导向意识；3.具有良好的职业道德，踏实稳重，工作细心，有团队协作精神。,已上市  |  1000-5000人
