职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
数据分析实习生(J15361),神州数码（中国）有限公司,4-5千,北京-海淀区,本科,在校生/应届生,01-30发布,150-500人,民营,计算机软件,,工作职责:1、对海量业务数据进行导入并诊断、汇总、分析、呈现BI分析报告，从数据中挖掘和整理客户行为特征，满足建模研究的需要；2、分析业务问题，通过应用统计学的相关理论、数据挖掘模型、机器学习方法建立数据模型，为用户的业务发展、产品策略、市场活动、风险管理等提供决策支持；3、能够按照项目经理要求完成项目实施。任职资格:1、本科及以上在校生，数学、统计、经济学、商业分析、计算机等相关专业；2、实习期不少于3个月，实习期间每周出勤不少于4天；3、掌握回归、时间序列、决策树等数据挖掘常用算法和基本理论；4、具有良好的逻辑思维、学习能力和数据敏感度；5、善于团队合作，具备良好的沟通表达能力和理解能力6、具备Python、SAS、SQL、powerBI、帆软等数据分析及可视化软件使用经验者优先；7、校内外参与数据分析建模相关项目或者大赛获奖者优先。,民营  |  5000-10000人
数据分析专员,上海蔓楼兰企业发展有限公司,6-8千,上海-浦东新区,本科,在校生/应届生,01-30发布,1000-5000人,民营,服装/纺织/皮革,,"岗位职责:1、熟练掌握EXCEL,能流畅使用函数进行计算；2、负责定期订单数据分析，根据数据变化找出异常问题并及时反馈；3、负责各类销售数据的统计与分析，按照周、月定期提交销售数据分析报告及解决方案；4、商品的消化率、周转率、折扣率、毛利率分析报表；任职要求：1、***本科及以上学历，理科；数学，统计学，计算机专业优先；优秀的应届毕业生亦可2、对数据敏感；3、具备数据表单分析处理能力，商品销售趋势分析能力，可进行深度的数据信息汇总分析；上班时间：9:30-18:00做五休二16号线鹤沙航城有班车",民营  |  150-500人
泰语财务数据分析,维布络信息科技（大连）有限公司,6-7千,大连-甘井子区,大专,在校生/应届生,01-30发布,少于50人,民营,外包服务,,语言要求：应届可培养泰语无障碍英语读写工作时间：9：00-18：00双休周末中国法定薪资范围：根据经验综合面试定薪（6k-7k）+六险一金+13薪工作地点：亿达春田有班车,民营  |  1000-5000人
数据分析师,青岛本奥科技服务有限公司,8千-1万,青岛-市北区,大专,在校生/应届生,01-30发布,50-150人,合资,计算机软件,,一、岗位描述:1、协助经理完成完成业务相关数据抽取、转换、加载，数据维护等工作;2、掌握SQL编写能力;3、完成上级布置的任务;二、任职资格:1、计算机专业优先，接受应届生和转行人员;2、了解软件工程基本概念;3、具有良好的沟通能力和团队合作精神，责任心强、勤奋敬业;三、工作时间:周一至周五，早上9:00-下午18:00，周末双休;法定节假日正常休息;四、岗位发展方向:系统分析员一系统工程师一系统集成工程师五、福利待遇基本薪资+提成+绩效+季度奖+年终奖+节假日福利+出国游玩双休五险一金带薪年假优秀应届生可以放宽要求,民营  |  少于50人
生信分析工程师/生物信息分析/数据分析,上海嘉因生物科技有限公司,1-1.4万,上海,本科,在校生/应届生,01-30发布,500-1000人,国企,学术/科研,,关于嘉因生物上海嘉因生物科技有限公司是国内从事转录调控技术服务的龙头企业，是上海市高新技术企业，公共实训平台、博士后流动站。目前公司有三大业务板块：转录调控的科研服务（普通细胞水平和单细胞水平），生物酶的研发和生产，液态活检诊断试剂的开发。目前公司已经完成pre-A融资，截至2021年7月，嘉因生物已协助各合作团队发表表观遗传类和单细胞类文章近百篇，近一年的科研文章主要发表在包括Science、NatureCommunications、PNAS、GenomeBiology、Theranostics等高水平国际期刊岗位职责：1、负责高通量测序数据分析和数据分析的研发。2、配合其他部门解决数据分析相关问题。岗位要求：1.生物学、农学、植物学和医学等相关专业，本科及以上学历。2、有上进心优先有自主学习能力优先。3.具备R或者python或shell编程的基础。4.思路清晰、善于沟通、表达能力强，富于协作精神及强烈的团队合作意识。5.责任感强，自律性强。,合资  |  50-150人
数据分析师（校园招聘）,百联全渠道电子商务有限公司,1.2-1.8万·13薪,上海,本科,在校生/应届生,01-30发布,1000-5000人,民营,互联网/电子商务,,岗位职责1.基于对业务的深入了解，为业务运营人员提供数据支持，及时响应业务需求；2.构建并维护全面、准确、反映业务特征的指标体系，并基于日常指标监控，推动业务部门的数据化运营；3.提炼业务诉求，有针对性的提出解决方案，通过数据可视化或者数据服务，帮忙业务更直观清晰的挖掘数据背后的信息，辅助业务决策；4.基于业务理解或者从数据分析中发现新的应用场景和创新点，进而与相关团队协作并推动数据产品的规划、设计和落地；任职要求1.本科及以上学历，数学、统计、计算机、经济等相关专业优先；2.熟悉Excel、SQL、Python等数据分析工具和技术；3.思维敏捷，逻辑性强，具有较强的数据分析能力和数据敏感性，善于从数据中发现问题、分析问题。,国企  |  500-1000人
印尼语/马来语财务数据分析,维布络信息科技（大连）有限公司,6-7千,大连-甘井子区,大专,在校生/应届生,01-30发布,150-500人,事业单位,外包服务,,操作彭博终端系统，更新、维护、分析及数据采集上传。印尼/马来语精通。英语可读写大专以上。薪资6-7k9-6双休周末十三薪五险一金接受工作地点在春田有班车以上可接受在投递,民营  |  1000-5000人
数据分析实习生,中国安全生产科学研究院,200元/天,北京-朝阳区,硕士,在校生/应届生,01-30发布,500-1000人,外资（欧美）,学术/科研,,工作职责：1、参与科研课题，负责相关业务数据特征提取及分析；2、完成部门领导交给的其他工作任务；任职资格：1、硕士（2023/2024毕业），统计学、应用数学、计算机、自动化、信号处理等数据分析和应用的相关专业2、熟悉数据分析建模和技术，熟悉常用数据算法，如决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯网络等；研究方向为机器学习、预警预测、决策优化等；熟悉Python，有过类似科研经历者优先3、参加过数学建模竞赛并取得全国比赛较好成绩的优先考虑4、实习期每周不少于4天，实习工资200元/天，实习时间为3个月及以上者择优转正。,事业单位  |  150-500人
专业服务助理(投标/行业研究和数据分析支持),毕马威信息技术服务（南京）有限公司,5-6千,南京-鼓楼区,本科,在校生/应届生,01-30发布,1000-5000人,民营,专业服务(咨询、人力资源、财会),,这个职位将为毕马威中国投资咨询部门提供日常的投标流程支持服务。我们的目标是从创造客户价值的角度，为投资咨询部门制作高质量的客户服务建议书，提供行业研究和数据支持，促进并推动投标提案流程，实现我们市场份额的转型增长并以有效的方式拓展我们在核心业务中的领先地位。这个职位需要与毕马威投资咨询前线部门，其他业务部门，区域的***和项目经理合作，参与统一规划并制作客户服务建议书.岗位职责：-使用毕马威模板协助团队创建并制作客户服务建议书-协助团队通过当前共享数据库丰富客户服务建议书（包括PPT模板更新，行业研究和投资关注点，工作范围和项目行业经验等）-与在佛山和印度毕马威交付中心团队合作共同创建客户服务建议书（如需要）-根据毕马威现有的相关网站及工具来支持客户服务建议书的创建-与团队积极沟通，以明确他们的服务要求-协助团队针对目标公司和行业进行研究-协助团队提供数据分析支持-协助团队对客户服务建议书做相关的翻译（如需要）岗位要求：-本科以上学历-能够在独立或团队的环境中工作，对商业投资和行业研究有一定的兴趣-良好的口头表达和书写能力，CET-6或同等水平-熟练运用Powerpoint和Excel-工作态度积极，乐于挑战新鲜事物,外资（欧美）  |  500-1000人
商品专员/数据分析专员（果壳）,宁波果壳电子商务有限公司,5-7万/年,宁波-鄞州区,本科,在校生/应届生,01-30发布,少于50人,民营,互联网/电子商务,,岗位职责：1、负责跟进新品开发和下单进程，跟进新品的进仓的情况；2、整理新品拍摄表格，跟进广告样的到位情况；3、把握新品的质量，对问题进行反馈跟进；4、负责进行店铺管理，如商品的上架、价格以及库存等修改；5、领导交代的其他事项。任职资格：1、本科以上学历，专业不限，男女不限，优秀应届生和实习生可以考虑；2、熟练常用办公软件，对数据有一定分析能力；3、具备良好的职业道德，有较强的责任心，工作耐心，善于沟通，做事仔细负责；4、具有积极向上的工作态度和团结共进的合作精神；5、能接受偶尔出差，吃苦耐劳，认真仔细。,民营  |  1000-5000人
数据分析及应用开发实习生,上海朵安诺电子商务有限公司,3-4.5千,上海-徐汇区,本科,在校生/应届生,01-30发布,1000-5000人,民营,互联网/电子商务,,1、负责电商运营日常数据收集汇总&数据分析；2、通过自动化及爬虫技术，高效获取不同来源数据；3、辅助完成内部信息系统开发；4、完成领导安排的其他事情；5、有责任心，工作态度积极热情，善于沟通和各部门协调。岗位要求：1、乐于学习，逻辑思维清晰；2、积极的工作状态、高度的责任心、能吃苦耐劳，有团队精神；3、精通Excel，熟悉Python、PowerQuery、PowerAutomate、Selenium；4、熟悉数据库设计；5、数学系或计算机系优先考虑。,民营  |  少于50人
亿达春田英语数据分析,维布络信息科技（大连）有限公司,4.2-5.5千,大连-甘井子区,本科,在校生/应届生,01-30发布,少于50人,民营,外包服务,,语言：英语4级+工作时间：9：00-18：00休周末及中国法定假期薪资范围：4.5k-5.5k根据综合面试定薪+六险一金+13薪岗位职责：分析通过彭博系统更新、维护、分析及数据上传等相关流程。,民营  |  1000-5000人
数据分析培训生,上海盛赢私募基金管理有限公司,6千-1万,上海-长宁区,本科,在校生/应届生,01-30发布,500-1000人,民营,金融/投资/证券,,岗位职责：1、学习并熟悉公司宏观经济与投资研究的数据分析体系，梳理数据信息源，定期及时地采集与更新数据信息，协助构建数据采集模板与信息库；2、通过在职培训逐步学习掌握围绕宏观经济、中观行业与微观主体的数据分析方法，并依据采集的数据开展定期及时的数据分析工作，逐步独立形成数据分析结果的报告；3、在工作中不断拓展和优化数据采集方法，完善经济分析的数据库；不断学习和健全数据分析工具和方法，积极尝试并运用新的思路、算法、工具；持续运用市场表现和数据来校验和优化团队现有的模型、算法；4、定期参加行业、公司组织的各类研讨、交流、会议等活动，不断拓展知识技能边界；5、其他根据公司业务需求和个人发展的相关工作安排。任职要求：1、应届毕业生及毕业不超过3年的毕业生；2、大学本科及以上学历，理学（数学、统计、物理、计算机等）、经济、金融、会计及相关专业；3、熟悉运用Excel、PPT、Word等基础软件工具（了解Python、VBA等语言优先）；4、具有文图编辑能力和较好的中文沟通表达能力；5、具备在宏观分析和投资研究方面发展的主观意愿，有自我驱动的学习动力与相应的学习能力，拥有和同事客户积极的沟通交流能力，有承受挫折百折不挠的恒心毅力。,民营  |  少于50人
数据分析师,深圳市融臻科技管理有限公司,5-8千·13薪,惠州-惠城区,本科,在校生/应届生,01-30发布,150-500人,已上市,金融/投资/证券,,职位诱惑：空调零食下午茶，团建活动多，团队都是80尾/90后，脱单圣地，氛围活泼，领导接地气，相信你会喜欢上我们这个有趣的大家庭岗位职责：1、日常报表制作与更新；2、监控日常运营及业务指标，及时对异常情况进行预警；3、负责呼叫系统任务调配及管理；4、通过数据分析方式，给予公司决策支持；5、会用python或者R语言进行数据分析、数据建模以及爬虫等工作。任职要求：1、本科及以上学历，数学、统计学、计算机、企业管理等相关专业；2、能熟练使用办公软件及函数；3、熟练运用EXCEL、PPT及SQL；掌握R或Python；4、具备优秀的职业素养和职业道德，热爱本行业，工作责任心强，有敬业精神，具备良好的团队合作精神。5、优秀本科应届毕业生或一年以上数据分析工作者优先考虑。福利待遇：1、法定节假日：（元旦、春节、清明节、劳动节、端午节、中秋节、国庆节）按国家规定放假。2、旅游：公司会不定期组织大家出去玩，公司买单，你只管放松心情，享受慢生活。3、活动：公司会不定期组织员工生日会、下午茶、派对等活动。4、培训：带薪入职培训+不定期组织大家学习相关技能。5、五险一金：必买。6、每个月5号发薪资，不仅仅有年终奖，还有年底十三薪福利目前公司处于高速发展中，提供良好的平台，发展空间大，老板平易近人，办公环境优美，有意向欢迎投递简历。,民营  |  500-1000人
数据分析岗 (MJ002445),南京迪安医学检验所有限公司,5-8千,南京,大专,在校生/应届生,01-30发布,150-500人,外资（非欧美）,医疗/护理/卫生,,,已上市  |  150-500人
数据分析专员,优锐医药科技（上海）有限公司,8千-1万,上海-静安区,大专,在校生/应届生,01-30发布,500-1000人,外资（欧美）,制药/生物工程,,,外资（非欧美）  |  150-500人
数据分析师（西安）,玛泽咨询（上海）有限公司,6-8千,西安-经济技术开发区,本科,在校生/应届生,01-29发布,10000人以上,国企,会计/审计,,工作职责负责业务数据采集、整理及分析工作；具有批判性思维能力，将数据分析与客户生产的产品或服务联系起来；建立标准的数据挖掘模型，并完成模型的大数据应用验证和优化，利用分析挖掘技术解决实际商业问题；独立编写行业数据分析报告，及时发现业务中隐含的漏洞和问题，为业务决策提供数据支持依据；自动化可视化运维，商业智能数据分析，大数据分析；职位要求本科及以上学历，计算机、数学、信息及相关专业优先；熟练使用至少一种数据统计分析工具，如R、Python、SAS、WEKA、SPSS等，快速有效的给出数据分析方法及结论；精通SQL，熟悉SQL优化基本技术，至少使用过一种大型关系型数据库（如ORACLE、DB2），了解linux、unix操作系统；具有良好的英语书写沟通能力；态度积极，有能力发现和解决问题；性格灵活开朗，良好的与人沟通能力，自律；良好的沟通能力，抗压性强。,外资（欧美）  |  500-1000人
课题研究岗-数据分析方向（助理研究员）1576,中国民航信息网络股份有限公司,,北京-顺义区,硕士,在校生/应届生,01-30发布,10000人以上,民营,计算机软件,,岗位职责:1.数据分析。负责根据数据分析需要，提出数据采集需求，制定数据采集计划，设计、优化、维护数据模型及数据目录，解决本领域中遇到的数据质量和数据逻辑问题，保证数据质量和数据准确率。2、业务分析。根据业务应用场景需求，设计数据解决方案。4、市场分析。协助或负责制定本领域的数据分析方法和策略、引进数据分析工具，提高分析效率，对重要业务方向进行数据分析，编写分析报告，为业务发展提供决策支持。任职资格:1.硕士及以上学历，数学、统计学、产业经济学、经济管理、计算机（大数据人工智能方向）相关专业，博士研究生学历优先；2.精通一种SQL、SHELL等主流数据分析及开发语言，至少熟练使用一种常用数据分析工具和数据建模工具，了解负责领域的数据和业务知识。3.较强研究能力、文字表达能力和商业报告撰写能力，具有良好的逻辑思维、分析归纳、书面表达及快速学习能力，较强的中英文听说读写能力；6.对在企业从事研究有浓厚兴趣，诚信、务实、高效；,国企  |  10000人以上
数据分析实习生,亚信科技OBC,3千及以下,西安-雁塔区,本科,在校生/应届生,01-30发布,1000-5000人,外资（欧美）,计算机软件,,专业要求：计算机、统计学等相关专业职责描述：1、负责数据应用支撑，实时搜集、更新、汇总数据，并形成常态化通报；2、根据已有指标体系，通过监控分析及时发现业务数据问题；3、协助撰写数据分析报告。任职要求：1、本科学历及以上，2021年7月以后毕业，计算机、统计、数学等相关专业优先，能保证一周五天的正常工作时间；2、学习、适应能力强，具备逻辑思维、分析能力，对数据敏感，熟练使用常规办公软件（Excel、word、PPT）等；3、熟练掌握excel，常规函数（sum、vlookup等）、数据透视表、图表制作等；4.了解mySQL/SQLserver等大数据平台的使用方法加分,民营  |  10000人以上
[校招] 采购数据分析专员 Procurement Data Analyst,达飞轮船（中国）有限公司,7-8千·13薪,上海-黄浦区,本科,在校生/应届生,01-29发布,少于50人,民营,交通/运输/物流,,"Responsiblefordatapreparationandreportingforsuppliersourcing,performancemanagementandcontractexecutionwithinChinaregion.Assistingfororganizing,filingandkeepingagreementrecorduponinter-departmentandcompanyrequirement.KeyResponsibilities：-Performthoroughdatacollectionandanalysisofrunningcontractsforcostsavingsopportunities.-ManageinternalaccountingsystemrateandfutureDigiDocinputforoperationorderdispatch,contractsupervisionandfinanceexpensesettlementsupporting.-Maintainprocurementrecordsincludingtermofcontract,servicemapping,purchasedcosts,etc..-Assistonroutineworkonvendorqualificationevaluation,contractdocumentationpreparationandfollowedsignatoryhandoveranditsrelativetracking.-Interactwithinternalrelevantstakeholderstomakeaproperorganizingandfillingforagreement.-Necessaryreportinginsideteam.RequiredExperience&Skills：-Minimumbachelor’sdegree-ProficientuserofMicrosoftOffice,particularlyExcelandPPT.-Possessexcellentorganizationalskills,detail-orientedandresultdriven.-Experienceonhandlingmultipletaskssimultaneouslywithintightdeadlines.-FluentspokenandwrittenEnglish.",外资（欧美）  |  1000-5000人
