职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
数据分析师（实习生）,亚信科技OBC,3千及以下,兰州-安宁区,本科,在校生/应届生,01-30发布,150-500人,民营,计算机软件,,职责描述：1、协助进行目标客户的需求分析研究，及时处理和分析数据并汇总反馈分析结果;2、协助进行通信咨询项目的执行，包括涉及通信营销、客户研究、流程梳理、数据业务运营等方面的专题研究等;3、对于研究的成果能够协助研究报告的编写。4、满足业务方对数据的各类取、过滤、分析等需求。任职要求：1、较好的数学或统计学教育背景，统计学、数学、计算机等相关专业优先考虑;2、了解常见的概率统计、统计分析算法;3、具备SQL基础知识，可以使用sql进行数据统计，了解过mysql、Oracle等主流数据库;4、良好的学习意愿和学习能力，能够快速掌握工作所需技能;5、具备数据敏感度、敏捷的思维与解决复杂问题的能力;6、具有良好的跨部门沟通能力和团队协作能力。因职位为转正岗位，部门转正岗位级别配置较高，转正后薪资待遇也具备足够吸引力，所以需长期实习，本职位优先录用2023年毕业本科生、研究生。本职位实习目的为正式员工培养，欢迎期待转正同学加入，谢绝阶段性实习意向。,民营  |  10000人以上
销售数据分析,大连明道中和信息技术有限公司,8千-1万·13薪,大连-中山区,大专,在校生/应届生,01-30发布,150-500人,民营,计算机软件,,岗位职责：1、主动对销售业绩、行为等进行监控，发现问题并推动问题的改善；2、负责分公司运营数据统计和分析，并形成日、周、月数据分析报告；3、优化运营数据模型，对运营各个环节提出建设性的改进方案；4、收集和分析异常数据，为运营提供有效的数据支持，并根据数据提出有效的应对策略；5、负责分公司市场、行业、竞争对手情报收集，并利用与运营决策；6、完成领导交办其他工作任务；任职要求：1、熟练使用office及数据库软件，掌握数据统计软件者优先；2、具有清晰的逻辑思维能力，良好的沟通表达能力；3、具有良好的执行力和时间管理能力；4、工作严谨细致，喜爱以数据处理及分析为主的工作内容；5、大专及以上学历，年龄在40岁以内。,民营  |  150-500人
临床数据分析员,重庆新赛亚生物科技有限公司,5-7千·13薪,重庆,本科,在校生/应届生,01-30发布,50-150人,国企,制药/生物工程,,"岗位职责1、按照《新药临床试验统计学指导原则》要求，进行临床试验各阶段数据管理和统计分析工作;2、负责试验方案设计和样本量计划/统计分析计划等相关工作;3、确定数据库中的关键变量;4、参与盲态审核，与数据管理员协同制定盲态审核报告;5、独立撰写统计分析报告。岗位要求1、生物统计学、医学、临床医学或相关专业本科及以上学历，可招收2022应届;2、统计基础知识扎实，能熟练使用SAS,SPSS等统计软件;3、具有独立分析问题、解决问题的能力;4、英语阅读及书写能力佳，逻辑思维能力强;5、工作态度积极、可以承受一定的工作压力;6、具有良好的沟通表达能力和团队协作能力;7、具有熟练掌握Office等常用办公软件操作的能力;",民营  |  150-500人
大数据分析/数学建模及优化研究人员,苏州国科医工科技发展（集团）有限公司,1.5-3万,苏州-高新区,硕士,在校生/应届生,01-30发布,10000人以上,民营,医疗设备/器械,,工作职责：1、负责医院临床数据建模，建立医疗业务主题模型和数据挖掘模型；2、深入研究医院临床业务数据，根据业务目标，构建医疗数据分析模型；3、进行相应统计、机器学习建模、分析数据挖掘、构建疾病预测模型；4、进行医学课题研究，并根据需求建立临床数据模型，提供数据挖掘相关支持任职条件：1.硕士及以上学历，生物学/计算机/数学/统计学/模式识别等相关专业毕业；2.优秀应届毕业生或具有2年以上医疗大数据建模经验者优先；3.熟悉linux开发环境，掌握至少一门编程语言，如C++、java、Python、R等；4.熟悉NP问题的线性规划、整数规划、混合整数规划的建模，使用常用求解器实现问题求解和优化；5.熟练掌握Spark、TensorFlow、sklearn、pyTorch、Caffe等社区开源工具中的一种及以上；6.熟悉Logistic回归、Cox回归、多元线性回归、RF、SVM、神经网络、朴素贝叶斯、决策树等基本机器学习和数据建模算法模型7.对常用的机器学习/深度学习算法有深入理解；8.了解NLP或图像领域深度学习算法；9.工作勤奋踏实、认真细致、责任心强、具有科研探索及团队协作精神，具有良好的统计理论基础，逻辑思维能力强；10.学习能力强，具有较好的PPT和语言沟通表达能力,国企  |  50-150人
数据分析实习生,亚信科技OBC,3千及以下,西安-雁塔区,本科,在校生/应届生,01-30发布,少于50人,民营,计算机软件,,专业要求：计算机、统计学等相关专业职责描述：1、负责数据应用支撑，实时搜集、更新、汇总数据，并形成常态化通报；2、根据已有指标体系，通过监控分析及时发现业务数据问题；3、协助撰写数据分析报告。任职要求：1、本科学历及以上，2021年7月以后毕业，计算机、统计、数学等相关专业优先，能保证一周五天的正常工作时间；2、学习、适应能力强，具备逻辑思维、分析能力，对数据敏感，熟练使用常规办公软件（Excel、word、PPT）等；3、熟练掌握excel，常规函数（sum、vlookup等）、数据透视表、图表制作等；4.了解mySQL/SQLserver等大数据平台的使用方法加分,民营  |  10000人以上
数据分析助理（双休，五险一金）,深圳市智云讯科数据技术有限公司,5-7千,深圳-罗湖区,大专,在校生/应届生,01-30发布,50-150人,民营,计算机服务(系统、数据服务、维修),,岗位职责1、负责协助数据同事进行常规业务数据处理及分析统计工作；2、负责基础数据导出、有简单的数据分析能力；3、负责数据监测、处理和通报，并及时反馈、解决及跟进数据咨询和策略；4、协助形成分析报告，提供数据支持，确保准确性、实用性及可衡量性，为公司业务部门决策提供有效建议；5、完成上级交代的其他事宜。任职资格1、统计学等应届毕业生优先；2、工作细致，有耐心，善于沟通组织协调、具有一定的问题解决能力；3、熟练使用Excel表格，对数据敏感，较好的逻辑分析能力，喜欢数据分析工作。,民营  |  少于50人
数据分析经理/主管,广东中浦科技有限公司,1.5-2.5万,东莞-南城区,本科,在校生/应届生,01-30发布,150-500人,民营,计算机软件,,工作职责：1.基于需求调研和行业标准，完善产品功能，研发输出相关研究成果和算法；2.负责项目数据需求分析，能够将需求进行汇总、整合、形成数据数据产品文档；3.负责项目中自动化流程工具的编写，有数据治理经验者尤佳;4.管理项目数据并负责数据资源池的建设；5.参与监测设备选型、数据对接，配合开发部门完成产品开发；6.设计数据服务流程和产品，独立提交数据分析报告。任职资格：1.本科或以上学历。大气科学、环境科学、环境工程等相关专业。2.熟悉大气、水、碳排放的一般分析方法，对监测数据敏感，有WRF、CMAQ、CAMx等模型经验者优先；3.熟练掌握地理信息系统相关软件，如ArcGIS等；具备python、NCL、R等编程及制图工具者优先；4.熟练掌握PPT、EXCEL、WORD等办公软件。具备优秀的文档能力，使用文字、图示清楚地表达架构意图，能够熟练编写各类技术文档；5.良好的沟通理解能力，表达能力强，思路清晰，条理清楚；6.良好的团队合作意识，工作责任心强，能吃苦耐劳,民营  |  50-150人
数据分析师,广州精科医学检验所有限公司,6千-1.2万,广州,本科,在校生/应届生,01-30发布,10000人以上,民营,医疗设备/器械,,,民营  |  150-500人
数据分析实习生,亚信科技OBC,3千及以下,西安-雁塔区,本科,在校生/应届生,01-30发布,50-150人,民营,计算机软件,,专业要求：计算机、统计学等相关专业职责描述：1、负责数据应用支撑，实时搜集、更新、汇总数据，并形成常态化通报；2、根据已有指标体系，通过监控分析及时发现业务数据问题；3、协助撰写数据分析报告。任职要求：1、本科学历及以上，2021年7月以后毕业，计算机、统计、数学等相关专业优先，能保证一周五天的正常工作时间；2、学习、适应能力强，具备逻辑思维、分析能力，对数据敏感，熟练使用常规办公软件（Excel、word、PPT）等；3、熟练掌握excel，常规函数（sum、vlookup等）、数据透视表、图表制作等；4.了解mySQL/SQLserver等大数据平台的使用方法加分,民营  |  10000人以上
数据分析专员（专家、工程师、培训生、实习生）,上海硕恩网络科技股份有限公司,6-8千,上海-黄浦区,本科,在校生/应届生,01-30发布,500-1000人,民营,互联网/电子商务,,,民营  |  50-150人
