职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司福利,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
金融销售/理财顾问/保险销售,中国平安人寿保险股份有限公司四川分公司,8千-1.5万,成都-高新区,大专,3-4年经验,03-07发布,10000人以上,员工旅游,已上市,保险,,基本条件：1、年龄：25-45周岁，大专以上学历；2、人品好，态度端正，积极上进，尚有激情；3、有金融（理财、保险、银行、证券、基金、贷款信用卡等）行业从业经历者优先考虑；4、有管理经验者优先考虑。业务范围：金融+医疗健康+生活1、保险业务：寿险+产险+养老险+团险+建工险等；2、银行业务：平安银行贷款+信用卡+银行存款+银行理财+代发工资等；3、投资业务：平安证券+平安保尊宝+平安信托+陆金所+大华基金等；4、贷款业务：平安普惠宅E贷、保单贷、平安银行新一贷；5、其它业务：平安好房+平安好车+平安好医生+上海家化+平安商城+多利农庄等。,已上市  |  10000人以上
金融机构客户经理,招商永隆银行有限公司上海分行,1-2万,上海,本科,5-7年经验,03-07发布,少于50人,同业金融,外资（非欧美）,银行,,岗位职责：1、与同业客户建立良好联系，扩展本行金融机构（含银行及非银金融机构客户）双边授信。2、充分利用各类资源（客户资源及产品资源）开拓金融机构业务，促成同业客户存贷款、其他同业资产负债业务落地，完成考核指标。3、执行客户KYC尽调，收集整理并报告客户及市场情况，完成信贷调查报告等相关报表报告。4、拓展票据业务交易对手，丰富经营策略，做好分行转贴现票据、票据回购业务。5、具备良好风险意识，能较好控制各类相关业务风险。6、上级交办的其它事项。应聘要求：1、大学本科或以上学历，主修经济、金融、管理等相关专业。2、具备金融机构业务（包括银行类或非银类同业客户）五年以上工作经验，熟悉资金、票据、非银资产负债业务中的一项或多项。3、良好的中英文能力。4、良好的沟通技巧和团队协作能力。,外资（非欧美）  |  少于50人
金融产品销售/保险投资理财顾问,中国平安人寿保险股份有限公司江苏分公司南京第七营业部,1-1.5万,南京-建邺区,大专,1年经验,03-07发布,10000人以上,周末双休,已上市,银行,,,已上市  |  10000人以上
金融客户经理,中国平安人寿保险股份有限公司四川分公司,4-8千,成都-武侯区,大专,1年经验,03-07发布,50-150人,金融,"国企  </p><p data-v-0ac984f9="""" class=""int at"">保险</p><button data-v-0ac984f9="""" track-type=""searchTrackButtonClick"" event-type=""99"" trace-name=""申请职位-职位下"" class=""p_but""> 申请职位 </button></div></div><div data-v-0ac984f9="""" sensorsname=""JobShortExposure"" sensorsdata=""{&quot;pageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;shortPageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;requestId&quot;:&quot;00d999abfc04fa1e148f386417b8c5fe&quot;,&quot;policyType&quot;:&quot;搜索&quot;,&quot;jobRank&quot;:4,&quot;jobId&quot;:&quot;146630915&quot;,&quot;pageNum&quot;:1}"" class=""e sensors_exposure"" style=""overflow: visible;""><div data-v-0ac984f9="""" class=""e_icons ick""></div><a data-v-0ac984f9="""" href=""https://jobs.51job.com/guangzhou/146630915.html?s=sou_sou_soulb&amp;t=0_0&amp;req=00d999abfc04fa1e148f386417b8c5fe"" target=""_blank"" class=""el""><div data-v-0ac984f9="""" class=""t"" style=""display: flex; align-items: center; height: 25px;""><span data-v-0ac984f9="""" title=""金融机构部"" class=""jname at"">金融机构部</span><span data-v-0ac984f9="""" class=""time"">03-07发布</span><div data-v-37a58ac8="""" data-v-0ac984f9="""" class=""chat""><div data-v-37a58ac8="""" class=""chat-img""></div><span data-v-37a58ac8="""">立即沟通</span><div data-v-37a58ac8="""" class=""chat-detail""><div data-v-37a58ac8="""" class=""chat-detail-position""><div data-v-37a58ac8="""" class=""arrow""></div><div data-v-37a58ac8="""" class=""detail""><img data-v-37a58ac8="""" src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFAAAABQCAYAAACOEfKtAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAUKADAAQAAAABAAAAUAAAAAAx4ExPAAATOElEQVR4Ac1cCXhT15X+nyTbsmVZNsbGGC8YG2MWAzYOW8zWEoY0hNBOEzJkAgn5aBaylQQnaWY6k6ZpWRoIdKYNbb9AaEM6YUjTpqF8nQzQj2xN2HeCCcTYBrzvsqzlzTlPiyVre096MnO+71r3nXvOuff+79z9Pgu4mfSzw0Nh15YBjjFUDAriGIjIAgQjxSnwL5PYSXEK9CvgOsUvEJOC5gK09mN4tqJJErsJf4RBzXPT1UTYG+bDgW8QUPMIjIkQxejKIAgi2TpJtg5Ag/3QZn6INbnmwapXdIWXU0oG6NVjs2B3LKeK3k0qKXLUopDpIDB3Q6vZiWfKDoEBjiHFDsCtFxPQ0/EABHEtAVcYwzoENy3gEkRhI5JSduDJ0ZbggpGnqA/g9st6NLQ8QkUi4MTsyIumoqYg1JO1jcgc8joeLOhV0TI5u5q07vAdZPHn5HEFcs3qW+tgqv4MhtozSGith8ZqhqhLgEMXD0d8IrqHl6Bz5GR05peTM0VZXAGXqWxP4PmKD+SWL5xclCVymX/1VC5slq1UuCXhMnSnJzZeRvahHTB9+YmbFfLXmpKJpokL0VS+GNYkU0jZsIkC3oMu4Uk8U3o1rGwYgegBXH94CbnGGzTFSAuTlyc5/fSHyNu3GYKtz8OTG3HE6dFYfhduTL8HtsRoxiOhlfrnlXiu4j25eQeSixzAd87E46veDQTcU4EMB+MNPbEXeX/ZHCxZNt+RYED9rOUSmKJGK1vPX1DYglH6KtwzXvnbJGORAfiLk2no6PsT6Vf6Fyg4J+n6RYz57VMQ7NbgQgpTeofmo2bh0+jKmaBQ00f8I6TEL8ZjE1t9uDIelAO46fgIWG37qL9TXOKSN59A0rXzMoqlUIQGl4Zbvov6OQ/CoY1TqOwSF3AacbqFWDO5TokBjRJhbDg2Glb7x5GAl/L1sdiAxxUQRWR+vhslO1ZD31KrqEoeYXYIrhvXUQHJ98D1R2lOJ35Chc1XYB9aay/Szu7HsM/3IKG5RolqRLIOvQGX73wB7YXTItKnlcvX1LPNxHPlPHcMS/IA3HwsFX32Q0o8TxAdyDj6PoYfehPaXtoHGEyiJn31tidogLkzsly5OcdrZ+H7ZW3hDIQHcNvhOLQJ/0ueNyucMXe6ztKNgj+8DOOVI27WTfmtnb8aDRWyp6a+ZRSEQ0gVv4mHK0KOeOH7wDasUwKexmrB6F1rbzp4jEbOh/+J1IvyJuq+6NETOwzXPQyFBnD90cXUbNeEseGTnL/3VSTeuOjDu5kPXJ74rubIisB133gkZD8QHMD1J3Joo3O7kpyT684g7dwBJSphZbUaDcrH5WLFXTOw6u5KFOZmhNXxFtCaO5D10e+8WcriDnEHJCwCq+kCs4kr2l6jv0OCpgdIyPr4rQBc5SytRsC0yUX41txyzKqcguS0dEBLRXXY8ciqHry/9yC2vLEXrR09soynn9onzREjWvqJjIGExXcDZRZ4ENlwZCEc4l8CKQTjaWhdO2nzkqCrjOllowmU0SguzEHG0CG03ynAYrWi19yL6w3NqLvWgua2DuRlZ2L+nHKkZw0HLfiDZYf2lmb87LWd2HvweFAZ74Sa27+Ppknf8mYpi2uE21E1Zd9AJX8AnRuhp8kFiwYKh3o21pygweNZPxF96hC8/qOVKJ04jo4wolmz+pnmjh4fHfoUP3nt97jR1B5AoJ/VNHkRLfkULdv7laWYUE0bsxMGbsz694HmjlVKwWP7CW3XBmRIjwTYj//9UZROLlUfPM6N5nuVs2di945X8J3bZ4Rc2PPeYnREDiVh42vFF0Ce84m0BR8Bafr8N3oTJkzHPGq2sSZDihEvvvAwtm95FqVj8gJm15uhaAEV0IaEDWPkRb4Atmvup7TAJfBSChQVRJsfe9GC6eR5/r2En6AqDAGlZaXY8foPsX3T0zAk6X2sRrzJ4GOFsHFi5OH6Aig6qjwpCiN9Rv/pxf0zVHjrCssB2o2ZOGUyDVYjfDStBkUTCh9dn4cBGPUDuPHoDJo08wF3RNRnyvLRE+L1yM0w+fAG7YH6xrElvgeBfaZh6mTPGDFWLuoH0O7g5hsxmTMLwdvtbtInJ7ujN+V34nivSYSgQR+dqahGXlg5AeTteQFLo8nAQRPdrvxJHhM6ncpTFo9leZHyySXU/Tr7X24d0W37D8iTsWLMiJwAXjHPpeYbdSfRWjLXk5Pd7vDEb0YkfYgJI0flSln3DqFVqZrEWDFmRE4ARbqrogK1lsyGXW+ULPX1RXRGo0Ip+k1YRWf1LGoDyFm4MHMBKKgCIB+GN1bcJdXAZonJTYp+dGTEWmhpyNQ71OmJMlTki4hOzDRYd9hE56Pl8jVDSzZU/CP4yBE0sbZa/eeGobXVTTW3t0u3HDpGTlHXMFtjzAg7DXSaSeSOqvX4Nn0yrk9zjkdXGkKvT9WvVb/FxsZW2ryxo27uSlhSaWNCbWLMCDsNbHSpUUUy6EQUL7gDNkMa/nbuuoqWlZmqrmuCeVgRGqd8W5miEmnCTkeuyLdCVaND05tQlmLFI8f/AX/77BRuGRaHbdvfQ319I+0taJBESyyTKRkpydTMKWO7nQIdQFksVujjdJhSNhZTp4xD4SjnyHn5Sh2+OHpOCj209ZUQHyfZieNpEk1Tujp70Nbeie6eXrJlx/BhQ/Hwyu9g//kWpC64Gz8s7sJPq43oU7GOHrAIOwHrj7xPi+RFHmYUkWy9A3XfcHpddU0Dlq/+CSztrcjPG45fbFqLrEzaGA1BnV09+Pm23djzx/3QJ9DUlNbRZrMF82ZNwYtrH0RaqnOED2aitb0Lz/xgC06c+pJ2nlLwwX9tRIpBj5mfDMWnbdK0LZhqhHzhfR05gUprHCBJ0/+ai/IyodcnoGz0BGRmDgkLHtfAmJyEb86pkADstfRPg2ZXloUFj/XTyLOnThlLXqpD/qh8CTzmW6O8Rcw2glAW7ZPzZW51qMXqu/NSOY/Op1cswFPPb5KdAV945ib85KNLkWI04Ffb/yBblwUvX7mGdS+thinFuZS0EXjnuqiasSAByRpawqm2aG2xatBgcU4tubz3L5oJgyERudnDcPFSrawqXPqqDk8/di/GFo/EiOEZeGDZHaR7VZZuc2s74qgfdYPHSic74tBt932xsozJEhKNGnrhqnkg57mjNsmT9eg85xbXPy9diJ1vf+Dhh4pc+foaxozu3wYrGDkCDTQlkUNv7/4rlt29wEf0y27VZmg+dqUHwo5GYf5MoL/v8pdSxvn1VQOqCrt8lHhEdThE7HjrzyjIH4G0NCPiaTTlbB0OB5qa2uhQqRGXLtdi4vhCH11+mFdZjh+89EvaonJ6ZWYGHUpptTwIo6/PivaObtSTfm19A8aVFPjo15hjCCBhR6Pw4RryQlXXOhfmNKDY4LsK4YqePFON7i4zXYKyQSRANXTmGx8XB31iPA0ARozIzkBiYv+WmDcSvTQaM0BtHV0w91jQRyd6DD6P1DqdDsnUVUwYW0gDl+9o+9iZVPzy6/5W4W0z6jhdwaFRWPoCKGpb3gYONsf7AcgeV0FzvEhJn5iAokLl77k6pk1Y6KRBRPRtb5HW0Evv83ZfL/BKGvTo2ViNwFJNRAJQRIDzyOjq+XHL/w8Af0P9cV1vDPtA4LqGtm0vRAeXv/b5bh34zb9dH+1ZrL9tuZxFh9Ox6pRJrnhkcoQdzTAZQPVGYXdJZn6agU6aWJeZbCgxhLxi51ZR7dfqEHBwUFqBcIFmvep7ICPRTuDxpv7ehgTVgJFr6O/UB3fbYjV59i4FA2iIP0GrkZi5yJ9uDD6A+xoHoQ9mzAg7DVaPp1FY+MIbVzXjh1oSUBvLyWyAwv75RuC5ZADRKFiEGWHnOhMR90dhKaQqN+PfXYvRRDZAzic648Ah5iQ6MXMCKNCX3jEkXgnwrshg0I+rVdsbCV1cF2ZOAKdO4S+7G0JrRJ7K69E912PfrP5ITfe/rw3C1ImxYsyInADOE3jhuityiMJrvnTRGFMvrO7R4qGTqeELoo7ELjgxcwHIRgXxt+rYDmyFNzV/Tf9zIibEd6dPGtFM+5GDQl5Y9edYVXGUmvHJWBbgZfJC2Pu36lXJi9cA7bWx23UeWEjGiLFyUT+AzBCEde6EWPy29tFA0l5PCx8em1WiDrJHh/gmre/2mUrW/c0MwMgXwJFl7xCK1f5a6nCkkZiaGzpuqANiZyOdGJmlTyAydTFbC3hVnrCRMOpn+QJ4j2CPpReScRq2aHeEm3EHbQJF8Mm/s+jUbrubCLxuskfLebKZkzAIALL3MUZe5AsgJ0wte5PqedpLRrUod1d2DS2z+KMZ3s/vJg/qbiGmgsqLVP4eOiOhz2j5Oq/0QjRxyNcrsBFJjRgTxmYA+QPIw7MgPDZATrXHXgd5oECBPZF/2Ru7m51AWujLI0egvozAttFtr166bcXNlj2XPU+y4/TAwkSVB6eBNWZMXFMX7ySqQQD6n1/VYP73RlHKpACpilg6arWFegtmp9lwb44Dc0zt0PJpEF27lQCQfumZyUFexJ5lJSClX+rfON5HgUHj/lOSZ122wS/BGR9ujKf/4pGBFK0DNjor6aTdGPZ4lWgn/XePLYFs0esLQkmaZ2F2LKBS+N4eDyIejP3aBCuyLTfoTkySFHRaqrjoem+MG9dy4C8bc/M4wnEmD8/56P2cobFiVZGOroLQ52O9Fhy3mvDE5yp4Jf+3uETCIgjR6wtCT5ZTW8EyKnVUc47l88qQnZ0tZaKhHUINNz3uA7n/Elxx6Zf7M3qW0r3ibnnvNEmfZUnOZUtLp7M60So5ZmZmBpZWFAWpmBK2VPdlcGIRUDE4gCz+XMUBess/Cqgpg1lgioeRTtOmTp2K4uJimHT0LqRmR5XnpufuBxkcN9/Nk/o38lTp2SvdLcegS82XmzEHHfRiL3JyciivMcgwJmJoIslEQ1x3xiAEhQaQFavKXyYQ94awETRp6nCDlCZQf1VQUICS8mn0AW2e08skj3J5Gh2S00m5i89e5Yqzd7GXMYh09ivx3WnMk9JYhuJDcpFTPAnDhvX3ODOynfkHLWCoBK4z1z0MhQdQIDdOlf7v39/D2PJLvjXHd2tJl0D7ggXTgeK5gImatQcMAkFqxgSED2/As9tT3TL8a6TLZaNnk90Z0Cb4rrXn5EV4a0UQPpPqzHUPQ+7uOYwYJf/HuXR0dX9EsZLwwk6JUyvHYUKGb6W8dR3mNmgaL9Hyjk9WFY6ZyZlAZhFgCH7n8FSjGRPfOOudpZz4ebrmUInHx9LcKjzJB5BtSZ++2/5Kk+Cx4Uznp8TjyqOl4cSkdButZcXmK4hrq3HO94JpcVNNzYGYXgDB9TlFMFE3v2jbaVxqozmkHBKEc9RXLMBzk2rliLNM+CbsbYkNx+kraaj7zJsdKF411XkzK1DaQJ6OvquLo/8TKJbMR19eBexG8i5pjuKSTDTBkV1K6QuAERNlg8faa25hWzKI68R1UwAeW1UGIGusGU+Xj+n/qQBB76vNSHfg24XJ0p1lVpFLAo2q8abh0I6chu68mdi27zCuGcnZi2ZDkz6SBlvqKxWQlS4g3ZmXgDVjBZjiQnYRH0h14ropJGVN2Nu4SJ8BbTjyIrH+jbovalvAqCQH1pal4Hu3FkvfqfHtKf5iKY5uYPF1NLnU1d6C+x94CDU1NUhNTcWO32xDbgH1dzLJZrNJ+XKeCQnOY9UuuqC+/Yuv8Ma5bhxvc/mNAN4YeIn+F8Ir1KrCDhiBso8cQJe1rM1fzF2cr9u1bMKw4bOLsqgc/iYt9NUS36Dna2jx8bSZEIJ6e7qx9N5/Qm1dnUfKYDDgnd/vQlZ2joc3MCLS5gTnwS+M43q9PuhLu3ijFbtP1l/bfcm87PijtxwcaEvJs39tlWi7ZKnAQym6nsKDFALa5MqZzXQ3kJoVA8mg8P1Ab2KPXbFiBc6e9R8509PT8e677yJ5wGe0DBbbdH+bx97u9jpv215xbsvbKVTRy5Y10nrp+kV9a+CXLI9BBWmi8BBJV1I4EUiLmxNXngOD2dTUhJaWFlq30gjMW1tEW7duDQgepzU3N6OqqkqSZXlupqzb1dVF35hYPC8lDHhctkouqxrgcbkCegsnREpUOe7s7qPwAoWgc0auPHskV549kQFZvJj+05QLzED5s9yePXvoinCalEwgSM2Uu4Uwfex5UvgphbdIh/s91UgVD/QuDReQwk7ijadwD4XD3unuOPdRDERGRgZ9uWSSBovbbrvNnRzwl5s3y3MzZX3uBhITE0OBx3lzGcZzmdQGjwupugey0YFEXjWBeMspsGc6t2YGCtFzT08PNm7ciAMHDqCzs9MjwR5233334fHHH/fwQkTolAlvUWDAYrKz7p236h7obdwd54pQqKLnXAq3UvhXCgco9FLwEO8ZLlmyRGraHiZFeJAoLQ26qmEbbIttsu1czmswwKO8BscDOaNARJ6pb++xjneI9jHU9Y3p7u4a8y/Pr81qbWkxkryRQEhmPZLrSkpK7nxl44bOIWnp10n2AnV/FzSC9oIpKe4Myfm8iEB5xYr3fwhNyOCVZit/AAAAAElFTkSuQmCC"" alt="""" class=""detail-img""><div data-v-37a58ac8="""" class=""detail-info""><p data-v-37a58ac8="""" class=""detail-info-name""></p><p data-v-37a58ac8="""" class=""detail-info-job""><span data-v-37a58ac8="""" class=""detail-info-job-posi""></span><!----></p><div data-v-37a58ac8="""" class=""detail-info-tag""><!----></div></div><div data-v-37a58ac8="""" class=""detail-download""><div data-v-37a58ac8="""" class=""detail-download-qrcode""><img data-v-37a58ac8="""" src=""https://img01.51jobcdn.com/we/images/logo.png"" alt="""" class=""logo""></div><p data-v-37a58ac8="""" class=""detail-download-tip"">来App与HR沟通！</p></div></div></div></div></div></div><p data-v-0ac984f9="""" class=""info""><span data-v-0ac984f9="""" class=""sal"">4.5-7.5万</span><span data-v-0ac984f9="""" class=""d at""><span data-v-0ac984f9="""">广州·番禺区</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">2年</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">大专</span></span></p><p data-v-0ac984f9="""" class=""tags""><span data-v-0ac984f9="""" title=""银行""><i data-v-0ac984f9="""">银行</i></span><span data-v-0ac984f9="""" title=""基金""><i data-v-0ac984f9="""">基金</i></span><span data-v-0ac984f9="""" title=""信托""><i data-v-0ac984f9="""">信托</i></span><span data-v-0ac984f9="""" title=""保险""><i data-v-0ac984f9="""">保险</i></span><span data-v-0ac984f9="""" title=""担保""><i data-v-0ac984f9="""">担保</i></span><span data-v-0ac984f9="""" title=""投资""><i data-v-0ac984f9="""">投资</i></span><span data-v-0ac984f9="""" title=""融资""><i data-v-0ac984f9="""">融资</i></span><span data-v-0ac984f9="""" title=""租赁""><i data-v-0ac984f9="""">租赁</i></span><span data-v-0ac984f9="""" title=""无封顶底薪""><i data-v-0ac984f9="""">无封顶底薪</i></span><span data-v-0ac984f9="""" title=""超高额提成""><i data-v-0ac984f9="""">超高额提成</i></span><span data-v-0ac984f9="""" title=""绩效奖金""><i data-v-0ac984f9="""">绩效奖金</i></span><span data-v-0ac984f9="""" title=""年终奖金""><i data-v-0ac984f9="""">年终奖金</i></span><span data-v-0ac984f9="""" title=""弹性工作""><i data-v-0ac984f9="""">弹性工作</i></span><span data-v-0ac984f9="""" title=""园区食堂""><i data-v-0ac984f9="""">园区食堂</i></span><span data-v-0ac984f9="""" title=""生日福利""><i data-v-0ac984f9="""">生日福利</i></span><span data-v-0ac984f9="""" title=""节日福利""><i data-v-0ac984f9="""">节日福利</i></span><span data-v-0ac984f9="""" title=""员工旅游""><i data-v-0ac984f9="""">员工旅游</i></span><span data-v-0ac984f9="""" title=""定期体检""><i data-v-0ac984f9="""">定期体检</i></span></p></a><div data-v-0ac984f9="""" class=""er""><a data-v-0ac984f9="""" href=""https://jobs.51job.com/all/coUTBRM1I0Aj5VMVY9Vzo.html"" target=""_blank"" title=""明诚众盛（广东）产业发展中心（有限合伙）"" class=""cname at"">明诚众盛（广东）产业发展中心（有限合伙）</a><p data-v-0ac984f9="""" class=""dc at"">民营",保险,,一、基本条件：1、年龄：25-45周岁，大专以上学历（特优可议）；2、人品好，态度端正，积极上进；3、有金融（理财、保险、银行、证券、基金、贷款信用卡等）行业从业经历者优先录取。二、专业培训：1、享受平安集团专业系统的培训，新人训练→转正培训→晋升培训等（平安号称金融行业黄埔军校）。三、福利待遇：1.新人训练津贴+初年度佣金+个人季度奖+竞赛奖励+续年度服务津贴+继续率奖金+标准人力奖金+增员奖金+长期服务奖+其它各种奖金（培训津贴、季度奖、转正津贴、钻石奖励、卓越奖、续年度服务津贴、管理津贴、继续率奖金、增员奖金、增才奖金、育成奖金、养老金补贴、竞赛激励等）；平安集团下16加公司代理权，收入渠道多。2.公司提供的团体人身意外保险、意外医疗保险、定期寿险和住院医疗保险。四、业务范围：大金融+大健康（平安集团16家公司代理权），三个月转正以后可带自己的团队。1、保险业务：寿险+产险+养老险+团险+建工险等；2、银行业务：平安银行贷款+信用卡+银行存款+银行理财等；3、投资业务：平安证券+平安保尊宝+平安信托+陆金所+大华基金等；4、其它业务：平安好房+平安好车+平安好医生+上海家化+平安商城等。金融行业一个需要激情和智慧使无数人向往的行业，我的团队欢迎你的加入。,国企  
金融机构部,明诚众盛（广东）产业发展中心（有限合伙）,4.5-7.5万,广州-番禺区,大专,2年经验,03-07发布,50-150人,银行,民营,金融/投资/证券,,"1．负责金融机构银行、基金、信托、保险、证券、担保、担保等各类金融机构客户业务开发及合作；2．负责各类金融客户管理、维护和服务等工作；3．针对机构客户的资产配置，为机构客户提供产品资料等个性化服务，帮助机构客户解决投融中的资金交易及融通问题；4．组织资源进行客户的系统化覆盖，完善重点区域的金融机构客户的营销体系；5．具有较强的学习和执行能力，有一定的金融基础理论和办公软件office应用能力。任职资格：1．大专及以上学历，品格优良、为人诚信、性格开朗、形象气质良好为佳；2．具有2年以上银行、证券、保险、信托、基金、担保等金融机构从业背景；3．金融知识扎实，熟练掌握流程管理及专业知识，能高效匹配适合客户资质的投融产品；4．富有高度的责任心、执行力、抗压能力强，富有开拓精神和良好的团队合作意识，可独立完成各项事宜；5．熟悉计算机及办公软件office等自动化操作,拥有C1驾驶证，能熟练驾驶小汽车者优先。具体请预约时间到公司面谈哦~",民营  |  50-150人
