职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司规模,公司福利,公司类型,公司标签,工作地点,职位描述或任职要求,规模类型
运营管理高级经理（养老机构院长）,上海市健康养老发展（集团）有限公司,30-40万/年,,,,03-06发布,150-500人,养老,民营,政府/公共事业,,,国企  |  50-150人
经营管理专员,宁夏宝丰集团有限公司,6千-1万,,,,03-06发布,50-150人,公寓式住宿,民营,多元化业务集团公司,,,民营  
综合管理,九江世瑞人力资源有限公司,2-3万,,,,03-05发布,150-500人,五险一金,民营,专业服务(咨询、人力资源、财会),,,民营  
经营管理岗,广州南沙现代农业产业集团有限公司,7千-1万,,,,03-06发布,1000-5000人,绩效奖金,国企,农/林/牧/渔,,,国企  |  150-500人
建设管理部部长（下属子公司交发港航）,绵阳交通发展集团有限责任公司,9千-1万·15薪,,,,03-06发布,10000人以上,政府,国企,交通/运输/物流,,,国企  |  1000-5000人
售后培训管理经理-猛士科技,东风汽车集团股份有限公司,1.5-2.5万,,,,03-06发布,500-1000人,东风汽车集团股份有限公司,国企,汽车,,,国企  |  10000人以上
项目管理,南京安运机电有限公司,1-2万,南京,本科,3-4年经验,03-06发布,150-500人,五险一金,民营,机械/设备/重工,,年薪：税前15-30W/年岗位职责：1.了解客户现场工艺，与客户做好沟通协调工作，明确客户的实际需求；2.按照客户的需求，和项目团队做好新项目立项阶段的评审、批准，做好需求分析；3.负责项目组内工作协调，指导项目团队有序开展工作;4.把控项目偏差，确保各部门在项目过程中符合项目管理流程；5.负责项目的及时跟进以及总结，优化和完善项目管理流程，定期向客户总结汇报整体的项目情况，与客户保持良好的沟通；任职要求：1.本科及以上学历，电气与自动化、机械自动化、工程管理相关专业优先，2.3年以上制造业项目相关管理经验;3.熟悉项目管理有关的理论和技能知识，熟悉自动化设备的相关标准及项目管理方法3.具备良好的沟通能力，表达能力，问题分析和处理能力;4.具备优秀的管理协调能力和执行力，能够对项目团队进行良好的管理和培训;5.能接受频繁出差。在这里，你将获得：1.风口行业：聚焦新能源锂电、氢能、太阳能及半导体行业，主营业务为涂布技术及工业视觉和射线检测2.晋升发展：年度评级调薪，专家及管理路线发展通道畅通，横向多岗位融合发展机会3.基础保障：多地五险一金缴纳保障、开放的学习平台及资源、丰富的外部培训机会、完备的入职培训4.假日福利：节日福利、年休假、婚假、产假、法定假日,民营  |  150-500人
营销管理,武汉飞凌德胜科技有限公司,0.8-1万,武汉-武昌区,大专,3-4年经验,03-06发布,10000人以上,市场,"民营  </p><p data-v-0ac984f9="""" class=""int at"">机械/设备/重工</p><button data-v-0ac984f9="""" track-type=""searchTrackButtonClick"" event-type=""99"" trace-name=""申请职位-职位下"" class=""p_but""> 申请职位 </button></div></div><div data-v-0ac984f9="""" sensorsname=""JobShortExposure"" sensorsdata=""{&quot;pageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;shortPageCode&quot;:&quot;sou|sou|soulb&quot;,&quot;requestId&quot;:&quot;626ef8eb7e47fab6012a478b1a290034&quot;,&quot;policyType&quot;:&quot;搜索&quot;,&quot;jobRank&quot;:44,&quot;jobId&quot;:&quot;137633326&quot;,&quot;pageNum&quot;:1}"" class=""e sensors_exposure"" style=""overflow: visible;""><div data-v-0ac984f9="""" class=""e_icons ick""></div><a data-v-0ac984f9="""" href=""https://jobs.51job.com/shanghai/137633326.html?s=sou_sou_soulb&amp;t=0_0&amp;req=626ef8eb7e47fab6012a478b1a290034"" target=""_blank"" class=""el""><div data-v-0ac984f9="""" class=""t"" style=""display: flex; align-items: center; height: 25px;""><span data-v-0ac984f9="""" title=""危机管理经理"" class=""jname at"">危机管理经理</span><span data-v-0ac984f9="""" class=""time"">03-06发布</span><div data-v-37a58ac8="""" data-v-0ac984f9="""" class=""chat""><div data-v-37a58ac8="""" class=""chat-img""></div><span data-v-37a58ac8="""">立即沟通</span><div data-v-37a58ac8="""" class=""chat-detail""><div data-v-37a58ac8="""" class=""chat-detail-position""><div data-v-37a58ac8="""" class=""arrow""></div><div data-v-37a58ac8="""" class=""detail""><img data-v-37a58ac8="""" src=""data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAFAAAABQCAYAAACOEfKtAAAAAXNSR0IArs4c6QAAAERlWElmTU0AKgAAAAgAAYdpAAQAAAABAAAAGgAAAAAAA6ABAAMAAAABAAEAAKACAAQAAAABAAAAUKADAAQAAAABAAAAUAAAAAAx4ExPAAATOElEQVR4Ac1cCXhT15X+nyTbsmVZNsbGGC8YG2MWAzYOW8zWEoY0hNBOEzJkAgn5aBaylQQnaWY6k6ZpWRoIdKYNbb9AaEM6YUjTpqF8nQzQj2xN2HeCCcTYBrzvsqzlzTlPiyVre096MnO+71r3nXvOuff+79z9Pgu4mfSzw0Nh15YBjjFUDAriGIjIAgQjxSnwL5PYSXEK9CvgOsUvEJOC5gK09mN4tqJJErsJf4RBzXPT1UTYG+bDgW8QUPMIjIkQxejKIAgi2TpJtg5Ag/3QZn6INbnmwapXdIWXU0oG6NVjs2B3LKeK3k0qKXLUopDpIDB3Q6vZiWfKDoEBjiHFDsCtFxPQ0/EABHEtAVcYwzoENy3gEkRhI5JSduDJ0ZbggpGnqA/g9st6NLQ8QkUi4MTsyIumoqYg1JO1jcgc8joeLOhV0TI5u5q07vAdZPHn5HEFcs3qW+tgqv4MhtozSGith8ZqhqhLgEMXD0d8IrqHl6Bz5GR05peTM0VZXAGXqWxP4PmKD+SWL5xclCVymX/1VC5slq1UuCXhMnSnJzZeRvahHTB9+YmbFfLXmpKJpokL0VS+GNYkU0jZsIkC3oMu4Uk8U3o1rGwYgegBXH94CbnGGzTFSAuTlyc5/fSHyNu3GYKtz8OTG3HE6dFYfhduTL8HtsRoxiOhlfrnlXiu4j25eQeSixzAd87E46veDQTcU4EMB+MNPbEXeX/ZHCxZNt+RYED9rOUSmKJGK1vPX1DYglH6KtwzXvnbJGORAfiLk2no6PsT6Vf6Fyg4J+n6RYz57VMQ7NbgQgpTeofmo2bh0+jKmaBQ00f8I6TEL8ZjE1t9uDIelAO46fgIWG37qL9TXOKSN59A0rXzMoqlUIQGl4Zbvov6OQ/CoY1TqOwSF3AacbqFWDO5TokBjRJhbDg2Glb7x5GAl/L1sdiAxxUQRWR+vhslO1ZD31KrqEoeYXYIrhvXUQHJ98D1R2lOJ35Chc1XYB9aay/Szu7HsM/3IKG5RolqRLIOvQGX73wB7YXTItKnlcvX1LPNxHPlPHcMS/IA3HwsFX32Q0o8TxAdyDj6PoYfehPaXtoHGEyiJn31tidogLkzsly5OcdrZ+H7ZW3hDIQHcNvhOLQJ/0ueNyucMXe6ztKNgj+8DOOVI27WTfmtnb8aDRWyp6a+ZRSEQ0gVv4mHK0KOeOH7wDasUwKexmrB6F1rbzp4jEbOh/+J1IvyJuq+6NETOwzXPQyFBnD90cXUbNeEseGTnL/3VSTeuOjDu5kPXJ74rubIisB133gkZD8QHMD1J3Joo3O7kpyT684g7dwBJSphZbUaDcrH5WLFXTOw6u5KFOZmhNXxFtCaO5D10e+8WcriDnEHJCwCq+kCs4kr2l6jv0OCpgdIyPr4rQBc5SytRsC0yUX41txyzKqcguS0dEBLRXXY8ciqHry/9yC2vLEXrR09soynn9onzREjWvqJjIGExXcDZRZ4ENlwZCEc4l8CKQTjaWhdO2nzkqCrjOllowmU0SguzEHG0CG03ynAYrWi19yL6w3NqLvWgua2DuRlZ2L+nHKkZw0HLfiDZYf2lmb87LWd2HvweFAZ74Sa27+Ppknf8mYpi2uE21E1Zd9AJX8AnRuhp8kFiwYKh3o21pygweNZPxF96hC8/qOVKJ04jo4wolmz+pnmjh4fHfoUP3nt97jR1B5AoJ/VNHkRLfkULdv7laWYUE0bsxMGbsz694HmjlVKwWP7CW3XBmRIjwTYj//9UZROLlUfPM6N5nuVs2di945X8J3bZ4Rc2PPeYnREDiVh42vFF0Ce84m0BR8Bafr8N3oTJkzHPGq2sSZDihEvvvAwtm95FqVj8gJm15uhaAEV0IaEDWPkRb4Atmvup7TAJfBSChQVRJsfe9GC6eR5/r2En6AqDAGlZaXY8foPsX3T0zAk6X2sRrzJ4GOFsHFi5OH6Aig6qjwpCiN9Rv/pxf0zVHjrCssB2o2ZOGUyDVYjfDStBkUTCh9dn4cBGPUDuPHoDJo08wF3RNRnyvLRE+L1yM0w+fAG7YH6xrElvgeBfaZh6mTPGDFWLuoH0O7g5hsxmTMLwdvtbtInJ7ujN+V34nivSYSgQR+dqahGXlg5AeTteQFLo8nAQRPdrvxJHhM6ncpTFo9leZHyySXU/Tr7X24d0W37D8iTsWLMiJwAXjHPpeYbdSfRWjLXk5Pd7vDEb0YkfYgJI0flSln3DqFVqZrEWDFmRE4ARbqrogK1lsyGXW+ULPX1RXRGo0Ip+k1YRWf1LGoDyFm4MHMBKKgCIB+GN1bcJdXAZonJTYp+dGTEWmhpyNQ71OmJMlTki4hOzDRYd9hE56Pl8jVDSzZU/CP4yBE0sbZa/eeGobXVTTW3t0u3HDpGTlHXMFtjzAg7DXSaSeSOqvX4Nn0yrk9zjkdXGkKvT9WvVb/FxsZW2ryxo27uSlhSaWNCbWLMCDsNbHSpUUUy6EQUL7gDNkMa/nbuuoqWlZmqrmuCeVgRGqd8W5miEmnCTkeuyLdCVaND05tQlmLFI8f/AX/77BRuGRaHbdvfQ319I+0taJBESyyTKRkpydTMKWO7nQIdQFksVujjdJhSNhZTp4xD4SjnyHn5Sh2+OHpOCj209ZUQHyfZieNpEk1Tujp70Nbeie6eXrJlx/BhQ/Hwyu9g//kWpC64Gz8s7sJPq43oU7GOHrAIOwHrj7xPi+RFHmYUkWy9A3XfcHpddU0Dlq/+CSztrcjPG45fbFqLrEzaGA1BnV09+Pm23djzx/3QJ9DUlNbRZrMF82ZNwYtrH0RaqnOED2aitb0Lz/xgC06c+pJ2nlLwwX9tRIpBj5mfDMWnbdK0LZhqhHzhfR05gUprHCBJ0/+ai/IyodcnoGz0BGRmDgkLHtfAmJyEb86pkADstfRPg2ZXloUFj/XTyLOnThlLXqpD/qh8CTzmW6O8Rcw2glAW7ZPzZW51qMXqu/NSOY/Op1cswFPPb5KdAV945ib85KNLkWI04Ffb/yBblwUvX7mGdS+thinFuZS0EXjnuqiasSAByRpawqm2aG2xatBgcU4tubz3L5oJgyERudnDcPFSrawqXPqqDk8/di/GFo/EiOEZeGDZHaR7VZZuc2s74qgfdYPHSic74tBt932xsozJEhKNGnrhqnkg57mjNsmT9eg85xbXPy9diJ1vf+Dhh4pc+foaxozu3wYrGDkCDTQlkUNv7/4rlt29wEf0y27VZmg+dqUHwo5GYf5MoL/v8pdSxvn1VQOqCrt8lHhEdThE7HjrzyjIH4G0NCPiaTTlbB0OB5qa2uhQqRGXLtdi4vhCH11+mFdZjh+89EvaonJ6ZWYGHUpptTwIo6/PivaObtSTfm19A8aVFPjo15hjCCBhR6Pw4RryQlXXOhfmNKDY4LsK4YqePFON7i4zXYKyQSRANXTmGx8XB31iPA0ARozIzkBiYv+WmDcSvTQaM0BtHV0w91jQRyd6DD6P1DqdDsnUVUwYW0gDl+9o+9iZVPzy6/5W4W0z6jhdwaFRWPoCKGpb3gYONsf7AcgeV0FzvEhJn5iAokLl77k6pk1Y6KRBRPRtb5HW0Evv83ZfL/BKGvTo2ViNwFJNRAJQRIDzyOjq+XHL/w8Af0P9cV1vDPtA4LqGtm0vRAeXv/b5bh34zb9dH+1ZrL9tuZxFh9Ox6pRJrnhkcoQdzTAZQPVGYXdJZn6agU6aWJeZbCgxhLxi51ZR7dfqEHBwUFqBcIFmvep7ICPRTuDxpv7ehgTVgJFr6O/UB3fbYjV59i4FA2iIP0GrkZi5yJ9uDD6A+xoHoQ9mzAg7DVaPp1FY+MIbVzXjh1oSUBvLyWyAwv75RuC5ZADRKFiEGWHnOhMR90dhKaQqN+PfXYvRRDZAzic648Ah5iQ6MXMCKNCX3jEkXgnwrshg0I+rVdsbCV1cF2ZOAKdO4S+7G0JrRJ7K69E912PfrP5ITfe/rw3C1ImxYsyInADOE3jhuityiMJrvnTRGFMvrO7R4qGTqeELoo7ELjgxcwHIRgXxt+rYDmyFNzV/Tf9zIibEd6dPGtFM+5GDQl5Y9edYVXGUmvHJWBbgZfJC2Pu36lXJi9cA7bWx23UeWEjGiLFyUT+AzBCEde6EWPy29tFA0l5PCx8em1WiDrJHh/gmre/2mUrW/c0MwMgXwJFl7xCK1f5a6nCkkZiaGzpuqANiZyOdGJmlTyAydTFbC3hVnrCRMOpn+QJ4j2CPpReScRq2aHeEm3EHbQJF8Mm/s+jUbrubCLxuskfLebKZkzAIALL3MUZe5AsgJ0wte5PqedpLRrUod1d2DS2z+KMZ3s/vJg/qbiGmgsqLVP4eOiOhz2j5Oq/0QjRxyNcrsBFJjRgTxmYA+QPIw7MgPDZATrXHXgd5oECBPZF/2Ru7m51AWujLI0egvozAttFtr166bcXNlj2XPU+y4/TAwkSVB6eBNWZMXFMX7ySqQQD6n1/VYP73RlHKpACpilg6arWFegtmp9lwb44Dc0zt0PJpEF27lQCQfumZyUFexJ5lJSClX+rfON5HgUHj/lOSZ122wS/BGR9ujKf/4pGBFK0DNjor6aTdGPZ4lWgn/XePLYFs0esLQkmaZ2F2LKBS+N4eDyIejP3aBCuyLTfoTkySFHRaqrjoem+MG9dy4C8bc/M4wnEmD8/56P2cobFiVZGOroLQ52O9Fhy3mvDE5yp4Jf+3uETCIgjR6wtCT5ZTW8EyKnVUc47l88qQnZ0tZaKhHUINNz3uA7n/Elxx6Zf7M3qW0r3ibnnvNEmfZUnOZUtLp7M60So5ZmZmBpZWFAWpmBK2VPdlcGIRUDE4gCz+XMUBess/Cqgpg1lgioeRTtOmTp2K4uJimHT0LqRmR5XnpufuBxkcN9/Nk/o38lTp2SvdLcegS82XmzEHHfRiL3JyciivMcgwJmJoIslEQ1x3xiAEhQaQFavKXyYQ94awETRp6nCDlCZQf1VQUICS8mn0AW2e08skj3J5Gh2S00m5i89e5Yqzd7GXMYh09ivx3WnMk9JYhuJDcpFTPAnDhvX3ODOynfkHLWCoBK4z1z0MhQdQIDdOlf7v39/D2PJLvjXHd2tJl0D7ggXTgeK5gImatQcMAkFqxgSED2/As9tT3TL8a6TLZaNnk90Z0Cb4rrXn5EV4a0UQPpPqzHUPQ+7uOYwYJf/HuXR0dX9EsZLwwk6JUyvHYUKGb6W8dR3mNmgaL9Hyjk9WFY6ZyZlAZhFgCH7n8FSjGRPfOOudpZz4ebrmUInHx9LcKjzJB5BtSZ++2/5Kk+Cx4Uznp8TjyqOl4cSkdButZcXmK4hrq3HO94JpcVNNzYGYXgDB9TlFMFE3v2jbaVxqozmkHBKEc9RXLMBzk2rliLNM+CbsbYkNx+kraaj7zJsdKF411XkzK1DaQJ6OvquLo/8TKJbMR19eBexG8i5pjuKSTDTBkV1K6QuAERNlg8faa25hWzKI68R1UwAeW1UGIGusGU+Xj+n/qQBB76vNSHfg24XJ0p1lVpFLAo2q8abh0I6chu68mdi27zCuGcnZi2ZDkz6SBlvqKxWQlS4g3ZmXgDVjBZjiQnYRH0h14ropJGVN2Nu4SJ8BbTjyIrH+jbovalvAqCQH1pal4Hu3FkvfqfHtKf5iKY5uYPF1NLnU1d6C+x94CDU1NUhNTcWO32xDbgH1dzLJZrNJ+XKeCQnOY9UuuqC+/Yuv8Ma5bhxvc/mNAN4YeIn+F8Ir1KrCDhiBso8cQJe1rM1fzF2cr9u1bMKw4bOLsqgc/iYt9NUS36Dna2jx8bSZEIJ6e7qx9N5/Qm1dnUfKYDDgnd/vQlZ2joc3MCLS5gTnwS+M43q9PuhLu3ijFbtP1l/bfcm87PijtxwcaEvJs39tlWi7ZKnAQym6nsKDFALa5MqZzXQ3kJoVA8mg8P1Ab2KPXbFiBc6e9R8509PT8e677yJ5wGe0DBbbdH+bx97u9jpv215xbsvbKVTRy5Y10nrp+kV9a+CXLI9BBWmi8BBJV1I4EUiLmxNXngOD2dTUhJaWFlq30gjMW1tEW7duDQgepzU3N6OqqkqSZXlupqzb1dVF35hYPC8lDHhctkouqxrgcbkCegsnREpUOe7s7qPwAoWgc0auPHskV549kQFZvJj+05QLzED5s9yePXvoinCalEwgSM2Uu4Uwfex5UvgphbdIh/s91UgVD/QuDReQwk7ijadwD4XD3unuOPdRDERGRgZ9uWSSBovbbrvNnRzwl5s3y3MzZX3uBhITE0OBx3lzGcZzmdQGjwupugey0YFEXjWBeMspsGc6t2YGCtFzT08PNm7ciAMHDqCzs9MjwR5233334fHHH/fwQkTolAlvUWDAYrKz7p236h7obdwd54pQqKLnXAq3UvhXCgco9FLwEO8ZLlmyRGraHiZFeJAoLQ26qmEbbIttsu1czmswwKO8BscDOaNARJ6pb++xjneI9jHU9Y3p7u4a8y/Pr81qbWkxkryRQEhmPZLrSkpK7nxl44bOIWnp10n2AnV/FzSC9oIpKe4Myfm8iEB5xYr3fwhNyOCVZit/AAAAAElFTkSuQmCC"" alt="""" class=""detail-img""><div data-v-37a58ac8="""" class=""detail-info""><p data-v-37a58ac8="""" class=""detail-info-name""></p><p data-v-37a58ac8="""" class=""detail-info-job""><span data-v-37a58ac8="""" class=""detail-info-job-posi""></span><!----></p><div data-v-37a58ac8="""" class=""detail-info-tag""><!----></div></div><div data-v-37a58ac8="""" class=""detail-download""><div data-v-37a58ac8="""" class=""detail-download-qrcode""><img data-v-37a58ac8="""" src=""https://img01.51jobcdn.com/we/images/logo.png"" alt="""" class=""logo""></div><p data-v-37a58ac8="""" class=""detail-download-tip"">来App与HR沟通！</p></div></div></div></div></div></div><p data-v-0ac984f9="""" class=""info""><span data-v-0ac984f9="""" class=""sal"">2-3.5万</span><span data-v-0ac984f9="""" class=""d at""><span data-v-0ac984f9="""">上海</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">5-7年</span><span data-v-0ac984f9="""">|</span><span data-v-0ac984f9="""">本科</span></span></p><p data-v-0ac984f9="""" class=""tags""><span data-v-0ac984f9="""" title=""六险一金""><i data-v-0ac984f9="""">六险一金</i></span><span data-v-0ac984f9="""" title=""团队氛围好""><i data-v-0ac984f9="""">团队氛围好</i></span><span data-v-0ac984f9="""" title=""晋升空间大""><i data-v-0ac984f9="""">晋升空间大</i></span><span data-v-0ac984f9="""" title=""免费三餐""><i data-v-0ac984f9="""">免费三餐</i></span><span data-v-0ac984f9="""" title=""租房补贴""><i data-v-0ac984f9="""">租房补贴</i></span></p></a><div data-v-0ac984f9="""" class=""er""><a data-v-0ac984f9="""" href=""https://jobs.51job.com/all/coUzdTMANlATdTNAFgB2U.html"" target=""_blank"" title=""字节跳动"" class=""cname at"">字节跳动</a><p data-v-0ac984f9="""" class=""dc at"">民营",互联网/电子商务,,,民营  |  50-150人
生产管理储备干部,滁州恒昌机械装备制造有限公司,9千-1.5万,滁州,大专,5-7年经验,03-06发布,500-1000人,工作餐,外资（非欧美）,机械/设备/重工,,生产管理岗位职责：1、根据公司发展需要，负责组织实施完成年度生产任务和目标管理工作2、负责战略规划，提高工时生产能力和效力3、负责组建和完善生产系统，编制生产计划4、负责管控生产进度，搞好各工序车间的协调，做好人力、设备、物料资源统筹5、负责公司生产、技术和质量保障工作，发现问题及时解决任职要求：1、***专科以上学历、年龄35岁-50岁2、有5年以上生产管理、成本控制和现场管理经验3、拥有较强的业务处理能力（计划执行、生产管理、目标达成）和业务外联能力4、有在500人以上生产制造型公司任职经验，有钣金件加工企业管理者优先,民营  |  150-500人
综合管理员,上海建工二建集团有限公司,5-7千,,,,03-06发布,50-150人,项目管理,民营,建筑/建材/工程,,,国企  |  1000-5000人
央企销售管理时间自由,中国人寿保险股份有限公司郑州市分公司,1-1.5万,郑州-管城回族区,大专,无需经验,03-06发布,150-500人,补充医疗保险,民营,金融/投资/证券,,,国企  |  10000人以上
投诉管理岗 (MJ005943),太平洋寿险福建分公司,5-7千,福州-鼓楼区,本科,2年经验,03-06发布,500-1000人,定期体检,民营,保险,,一、岗位职责：1.负责监管单位投诉的受理、转办和结案，及时响应监管单位转办的各类客户投诉，转办投诉案件至涉诉机构，追踪案件处理，落实快处机制；2.定期完成保监局各类报告、报表，进行数据统计、投诉分析和总结反馈，与保监局保持良好沟通；3.负责全辖投诉处理工作的组织协调，对投诉队伍工作情况进行监督考核；对全辖投诉情况进行阶段性分析总结；4.负责投诉处理人员的队伍建设和专业培训。二、任职要求：1、大学本科及以上学历，35周岁以下；2、具备团队协作意识，善于与人沟通；3、细心、耐心、有责任心和较高的执行力；4、熟练掌握word、excel、PPT等办公软件。三、薪资福利：1、薪资组成：基础工资＋岗位工资+绩效工资+年终绩效。2、福利保障：五险一金（含养老保险、医疗保险、失业保险、工伤保险、生育保险、住房公积金）、过节费、劳保、高温费、意外伤害保额50万、意外医疗保额2万、重大疾病保额30万、全额带薪年休假等，并享有工会会员相关福利。四、其他：此岗位为省公司内勤岗，正式编制，签订***劳动合同。上班时间：8:30-12:0014:00-17:30，五天七小时制，周末双休。公司包三餐。,国企  |  500-1000人
总经理秘书（物业管理方向）,成都美洲地产有限公司,5-8千·13薪,成都,大专,3-4年经验,03-06发布,1000-5000人,成都美洲地产有限公司,国企,房地产,,1、物业管理、经济管理、法律等相关专业，大专以上学历；2、5年以上物业行业管理工作经验；3、熟悉常用办公软件操作；4、做事细心，有耐心，肯付出，好学习，善沟通。,民营  |  150-500人
运营管理专员,国睿科技股份有限公司,8千-1.5万,南京-建邺区,本科,2年经验,03-06发布,少于50人,五险一金,民营,机械/设备/重工,,岗位职责：1、负责拟制经济运行分析管理制度、运营管理制度、业绩考核办法、职能部门绩效管理制度；2、负责经济运行情况监督、统计和分析；3、负责经营计划、重点任务信息的编制、分解、跟踪和检查；4、负责部门绩效考核、子公司经营业绩考核；5、负责下属控股公司经营管控工作；6、配合战略规划编制相关工作。任职要求：1、本科及以上学历；2、有2年以上经营管理相关工作经验，熟悉内控制度，熟练使用办公软件（word，excel）；3、具备较好的系统思维能力，具有较强的问题分析处理能力和沟通协调能力；4、有PMP资格者优先。,民营  
危机管理经理,字节跳动,2-3.5万,上海,本科,5-7年经验,03-06发布,150-500人,六险一金,合资,互联网/电子商务,,职位描述：1、负责中国区办公室应急的日常运营和管理，包括但不限于人员、培训、流程、演练等方面的统筹和规划；2、完善和更新字节跳动危机管理制度和流程；3、危机事件时统筹与相关方沟通与协调；4、协调处理和处理各类常见危机事件；5、维持危机管理小组的有效运作，管理好上下游的关键人员，以确保其在突发事件来临时能够及时响应；6、培训危机管理小组成员，确保其熟悉相关流程；7、协助推进各部门梳理各危机场景的危机管理预案；8、收集、整理和分析突发事件信息，组织复盘，跟进改善措施。职位要求：1、本科及以上学历，5年以上的应急培训或运营相关经验，有危机管理工作经验或专业应急急救背景优先；2、处理过复杂的危机事件的经验者优先；3、有良好的统筹、概况、总结和书写能力；4、善于沟通，具备良好的团队协作能力；5、英语可作为工作语言者优先；6、能够接受出差。,民营  |  10000人以上
