职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值,行业类型,平均薪酬,工资级别
会计,深圳市达讯通科技有限公司,7-9千·13薪,深圳·南山区,2,1,"预算
会计
财务管理
金蝶
财务软件
税务申报
税收筹划
账实相符
财务决算
企业财务制度
带薪年假
五险
年底双薪",计算机软件,,民营  |  少于50人,一线,,7000-9000,7000,9000,会计,8000,四级
会计助理,海阳科技股份有限公司,4-6千,泰州,3,1,"会计助理
财务助理
五险一金
专业培训
绩效奖金
周末双休
通讯补贴",石油/化工/矿产/地质,,民营  |  1000-5000人,三线,,4000-6000,4000,6000,会计,5000,五级
会计,贵州京泊腾科贸有限公司,4-8千,贵阳,2,2,"财务
会计
五险一金
节日福利
全勤奖
餐饮补贴
周末双休
带薪年假
绩效奖金
加班补贴
结婚生育礼金",医疗设备/器械,,民营  |  少于50人,二线,,4000-8000,4000,8000,会计,6000,四级
成本会计（生产型企业+大小休）,南京三惠建设工程股份有限公司,6-8千·13薪,南京·浦口区,2,2,"会计
会计核算
生产成本
控制成本
生产成本核算
成本开支
生产型企业
分类管理
五险一金
节日福利
绩效奖金
带薪年假
专业培训
交通补贴
年终奖金",建筑/建材/工程,,民营  |  150-500人,新一线,,6000-8000,6000,8000,会计,7000,四级
会计,北京永新医疗设备有限公司,8千-1万,北京·昌平区,3,4,"金蝶
用友
税收政策
财务管理
工业会计
制造业
五险一金
员工旅游
定期体检
周末双休
年终奖金",医疗设备/器械,,合资  |  150-500人,一线,,8000-10000,8000,10000,会计,9000,三级
会计,咸宁南玻玻璃有限公司,6-8千,咸宁,3,3,"五险一金
补充医疗保险
绩效奖金
年终奖金
定期体检
员工宿舍
高温补贴",原材料和加工,,合资  |  1000-5000人,四线,,6000-8000,6000,8000,会计,7000,四级
会计兼人事,宁波开元鼎晟商业经营管理有限公司,5-6千·14薪,衢州,2,1,"会计
五险一金
年终奖金
专业培训
周末双休
节日福利
高温补贴",生活服务,,民营  |  50-150人,四线,,5000-6000,5000,6000,会计,5500,四级
录票会计 (MJ013094),唯品会（中国）有限公司,5-7千·13薪,重庆,3,2,"录票
应付
员工旅游
专业培训
五险一金
年终奖金
定期体检
通讯补贴
交通补贴",互联网/电子商务,,已上市  |  10000人以上,新一线,,5000-7000,5000,7000,会计,6000,四级
外账处理会计人员,长沙赢利财务咨询有限公司,5-7千,长沙,1,3,"全盘会计
周末双休
包吃
节日福利
高温补贴
全勤奖
满一年购社保
专业培训
绩效奖金
弹性工作",专业服务(咨询、人力资源、财会),,民营  |  少于50人,新一线,,5000-7000,5000,7000,会计,6000,四级
会计助理文员,陕西琦诚建设有限公司,3-4千,西安·灞桥区,2,1,"办公软件
财务
印章管理
资料保管
建筑业
员工旅游
节日福利
年终奖金",建筑/建材/工程,,民营  |  50-150人,新一线,,3000-4000,3000,4000,会计,3500,五级
会计,陕西省富源酒业有限公司,4.5-6千,西安,2,3,"交通补贴
通讯补贴
员工旅游
节日福利
生日礼品
高额提成
季度奖励
五险
出差补助",快速消费品(食品、饮料、化妆品),,民营  |  150-500人,新一线,,4500-6000,4500,6000,会计,5250,四级
会计,黑龙江恒隆房地产开发有限责任公司,6-8千,哈尔滨·南岗区,2,4,"会计
房地产
开发
通讯补贴
餐饮补贴
节日福利",房地产,,民营  |  50-150人,二线,,6000-8000,6000,8000,会计,7000,四级
总账会计主管,江苏皇宅建筑工程有限公司,7千-1万,南京·浦口区,2,4,"总账会计
税务处理
财务分析
税务统筹
经营报表
登记管理
绩效奖金
节日福利
弹性工作
带薪年假
五险
专业培训
团建活动
餐饮补贴",建筑/建材/工程,,民营  |  50-150人,新一线,,7000-10000,7000,10000,会计,8500,三级
兴证期货-财务部会计核算岗（兼资金管理）,兴证期货有限公司,1-1.5万,上海·浦东新区,4,1,"五险一金
补充医疗保险
补充公积金
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",金融/投资/证券,,国企  |  500-1000人,一线,,10000-15000,10000,15000,会计,12500,二级
会计,宿州市徽香源食品有限公司,3-4千,宿州,2,2,"费用报销
账目核对
绩效奖金
年终奖金
交通补贴
社保
提供住宿",快速消费品(食品、饮料、化妆品),,民营  |  150-500人,三线,,3000-4000,3000,4000,会计,3500,五级
成本会计,广州广兴牧业设备集团有限公司,5.5-7.5千,广州,2,2,"会计
会计核算
控制成本
生产成本
成本开支
事前审核
督导成本控制
带薪年假
五险一金
绩效奖金
节日福利
专业培训",机械/设备/重工,,民营  |  1000-5000人,一线,,5500-7500,5500,7500,会计,6500,四级
会计财务专员,瑞玛思特（深圳）科技有限公司,6-8千·13薪,深圳·南山区,2,1,"五险一金
员工旅游
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",计算机软件,,民营  ,一线,,6000-8000,6000,8000,会计,7000,四级
会计,杭州京杭生物科技有限公司,5-8千,杭州·余杭区,2,3,"会计
绩效奖金
带薪年假
节日福利
专业培训
交纳五险
餐饮补贴",贸易/进出口,,民营  |  50-150人,新一线,,5000-8000,5000,8000,会计,6500,四级
往来会计,清陶（昆山）能源发展股份有限公司,3.5-4.5千,宜春,2,2,"周末双休
五险一金
包吃
包住宿
绩效奖金
节日福利",新能源,,民营  |  150-500人,三线,,3500-4500,3500,4500,会计,4000,五级
会计,深圳市格润电器有限公司,8千-1.1万,深圳·宝安区,2,2,"会计
五险一金
专业培训
包吃
包住宿
节日福利
带薪年假
大小周",家具/家电/玩具/礼品,,民营  |  50-150人,一线,,8000-11000,8000,11000,会计,9500,三级
会计主管,成都菁华世茂商业管理有限公司,6-7千,成都·天府新区,2,4,"五险一金
绩效奖金
节日福利
定期体检",多元化业务集团公司,,民营  |  少于50人,新一线,,6000-7000,6000,7000,会计,6500,四级
会计,云南田园牧歌投资集团有限公司,4-6千,昆明·五华区,2,3,"会计
总账会计
五险",金融/投资/证券,,民营  |  50-150人,二线,,4000-6000,4000,6000,会计,5000,五级
会计,宿迁凯丽纺织品有限公司,4.5-5千,宿迁,2,2,"财务
出纳
财务主管
会计助理
财务助理
会计主管
总账会计
税务
绩效奖金
五险一金
专业培训
上六休一
包吃住",服装/纺织/皮革,,民营  ,三线,,4500-5000,4500,5000,会计,4750,五级
会计助理,善能（南京）数字技术有限公司,3.5-7千,南京·建邺区,2,0,"会计助理
出纳
五险一金
补充医疗保险
员工旅游
年终奖金
绩效奖金
通讯补贴
定期体检
弹性工作
餐饮补贴",通信/电信/网络设备,,民营  |  150-500人,新一线,,3500-7000,3500,7000,会计,5250,四级
电商会计,广州索正电子商务有限公司,6千-1万,广州·番禺区,2,2,"财务
会计
日语
税务
跨境电商
年假",互联网/电子商务,,民营  |  50-150人,一线,,6000-10000,6000,10000,会计,8000,四级
全盘会计,深圳市卓美瑞科技有限公司,1-1.2万,深圳·宝安区,2,3,"会计
五险一金
员工旅游
餐饮补贴
定期体检
年终奖金",电子技术/半导体/集成电路,,民营  |  150-500人,一线,,10000-12000,10000,12000,会计,11000,三级
会计,重庆斯泰克瑞登梅尔材料技术有限公司,4.5-7千,重庆·长寿区,2,2,"五险一金
绩效奖金
年终奖金
免费班车",制药/生物工程,,合资  |  50-150人,新一线,,4500-7000,4500,7000,会计,5750,四级
财务会计,扬州丰源博能电气有限公司,3.8-5.5千·13薪,扬州,2,3,"财务
出纳
会计助理
财务助理
五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",仪器仪表/工业自动化,,民营  |  50-150人,三线,,3800-5500,3800,5500,会计,4650,五级
会计/财务专员,西子德森电梯深圳有限公司,6-8千,深圳·龙岗区,2,2,"财务
出纳
财务助理
总账会计
财务主管
税务
五险一金
年终奖金
绩效奖金
包吃包住",机械/设备/重工,,民营  |  50-150人,一线,,6000-8000,6000,8000,会计,7000,四级
信用会计,深圳市沃尔核材股份有限公司,6-8千,深圳·坪山区,3,2,"周末双休
免费班车
包住宿",原材料和加工,,民营  |  5000-10000人,一线,,6000-8000,6000,8000,会计,7000,四级
外贸会计,南京润楚化工有限公司,8千-1万·14薪,南京,3,3,"财务
外贸
财务核算
中级会计师
做五休二
五险一金
绩效奖金
全勤奖
节日福利
交通补贴
餐饮补贴
住房补贴
年终奖金",贸易/进出口,,民营  |  少于50人,新一线,,8000-10000,8000,10000,会计,9000,三级
成本会计,内蒙古骅扬高新材料科技有限公司,6千-1万,乌兰察布,2,4,"财务
成本会计
办公软件
成本分析报表
成本管控
监督管理
包吃
包住宿
五险一金
专业培训
定期体检
免费班车
绩效奖金",原材料和加工,,合资  |  少于50人,五线,,6000-10000,6000,10000,会计,8000,四级
会计,陕西环保（集团）朗新环境服务有限公司,4.5-5.5千,榆林,3,3,"财务
对帐
财务软件
记帐
五险一金
通讯补贴
年终奖金
定期体检
周末双休
法定节假日",环保,,民营  ,四线,,4500-5500,4500,5500,会计,5000,五级
管理会计主管,东来涂料技术（上海）股份有限公司,1.5-2.5万·13薪,上海,3,3,"财务
会计主管
财务主管
财务分析
销售管理
五险一金
交通补贴
通讯补贴
绩效奖金
年终奖金
股票期权
节日福利
每年定期调薪",汽车,,已上市  |  500-1000人,一线,,15000-25000,15000,25000,会计,20000,二级
会计助理,广州燕语堂装饰设计有限公司,4-6千,广州·天河区,2,1,"财务
会计
餐厅
咖啡店
帐务核对
财务核算
室内设计
财务管理
财务报表
税收政策
员工旅游
年终奖金
补充医疗保险",家居/室内设计/装潢,,民营  |  150-500人,一线,,4000-6000,4000,6000,会计,5000,五级
会计,内蒙古骅扬高新材料科技有限公司,6-8千,乌兰察布,2,3,"财务
出纳
会计助理
总账会计
会计
五险一金
包吃
包住宿",原材料和加工,,合资  |  少于50人,五线,,6000-8000,6000,8000,会计,7000,四级
会计,广东丙辛新材料有限公司,6-8千,广州·南沙区,2,4,"会计
审计
电商
包三餐
广州社保
年终奖
工龄奖
高温补贴
住房补贴
法定假期",计算机软件,,民营  ,一线,,6000-8000,6000,8000,会计,7000,四级
会计,深圳尚景豪酒店有限公司,6-7千,深圳·龙岗区,2,2,"会计
五险一金
年终奖金
员工旅游
专业培训
绩效奖金
包吃住",计算机软件,,民营  ,一线,,6000-7000,6000,7000,会计,6500,四级
总账会计（韩语流利）- Contractor,强生（苏州）医疗器材有限公司,8-9千·13薪,苏州,3,2,"会计
总账会计
韩语
朝鲜语
五险一金",医疗设备/器械,,外资（欧美）  ,新一线,,8000-9000,8000,9000,会计,8500,三级
应收会计,深圳科瑞技术股份有限公司,7千-1万,深圳·光明区,3,2,"五险一金
绩效奖金
餐饮补贴
年终奖金
员工旅游",仪器仪表/工业自动化,,已上市  |  1000-5000人,一线,,7000-10000,7000,10000,会计,8500,三级
会计,北京印诚物业管理有限公司,5-8千,北京·昌平区,3,1,"会计
五险一金
通讯补贴
定期体检
交通补贴
绩效奖金",建筑/建材/工程,,民营  ,一线,,5000-8000,5000,8000,会计,6500,四级
会计,雅居乐雅生活集团雅卓房地产营销公司,6-8千,广州·天河区,3,2,"核算会计
总账会计
会计
文旅
节日福利
周末双休
专业培训
弹性工作",房地产,,已上市  |  1000-5000人,一线,,6000-8000,6000,8000,会计,7000,四级
成本会计,上海瞻芯电子科技有限公司,9千-1.5万,上海·浦东新区,3,3,"财务
会计
成本核算
成本管理
成本分析
五险一金
年终奖金
股票期权",电子技术/半导体/集成电路,,民营  |  50-150人,一线,,9000-15000,9000,15000,会计,12000,三级
主办会计,宁波科尔维特照明有限公司,1-1.1万,宁波·鄞州区,2,3,"会计
五险一金
餐饮补贴
节日福利
年终奖金",电子技术/半导体/集成电路,,民营  |  150-500人,新一线,,10000-11000,10000,11000,会计,10500,三级
会计（大宗商品贸易供应链）,深圳汇银通产业互联网有限公司,1-1.5万,深圳·南山区,2,2,"税务
会计凭证
财务软件
财务核算
财务分析报告
五险一金
团队氛围活泼
通讯补贴
交通补贴
餐饮补贴",多元化业务集团公司,,民营  |  150-500人,一线,,10000-15000,10000,15000,会计,12500,二级
应付会计,江苏蒲公英房地产咨询有限公司,4-5千,常州·钟楼区,2,1,"财务
会计
节日福利
五险一金
全勤奖
带薪年假",房地产,,民营  |  50-150人,二线,,4000-5000,4000,5000,会计,4500,五级
会计（赴新疆项目）,重庆外商服务有限公司,1-1.2万,重庆·江北区,2,4,"高度公路
会计
弹性工作
买社保
冬休带薪假",专业服务(咨询、人力资源、财会),,国企  |  50-150人,新一线,,10000-12000,10000,12000,会计,11000,三级
涉外会计,上海保资智能科技有限公司,8千-1.2万,上海,2,1,"五险一金
免费班车
交通补贴
通讯补贴
股权激励
绩效奖金
年休假
专业培训
出国机会
老总好",计算机软件,,民营  |  50-150人,一线,,8000-12000,8000,12000,会计,10000,三级
会计主管,成都市上坤星创教育咨询有限公司,4-6千,成都·新都区,2,3,"企业会计
财务计划
报表管理
包住
五险一金
专业培训
绩效奖金
年终奖金
全勤奖
节日福利
带薪寒假",教育/培训/院校,,民营  |  50-150人,新一线,,4000-6000,4000,6000,会计,5000,五级
会计,绿能碳汇（集团）有限公司,5-8千,鄂尔多斯,3,1,"会计核算
通讯补贴
交通补贴
定期体检",多元化业务集团公司,,民营  |  50-150人,四线,,5000-8000,5000,8000,会计,6500,四级
财务会计,上海甬荆自动化控制设备有限公司,7-9千,上海·闵行区,3,5,"五险一金
免费班车
员工旅游
交通补贴
年终奖金",仪器仪表/工业自动化,,民营  |  50-150人,一线,,7000-9000,7000,9000,会计,8000,四级
做帐会计,吉配恩（上海）汽车配件有限公司,6-9千,上海·嘉定区,2,3,"会计
费用成本核算
纳税申报
报表
记账
餐饮补贴
年终奖金
专业培训",贸易/进出口,,外资（非欧美）  |  少于50人,一线,,6000-9000,6000,9000,会计,7500,四级
主办会计,江苏正诺企业服务集团有限公司,6千-1万,常熟,2,3,"财务主管
总账会计
五险一金
餐饮补贴
年终奖金
周末双休
做五休二
绩效奖金
住房公积金",多元化业务集团公司,,民营  |  50-150人,新一线,,6000-10000,6000,10000,会计,8000,四级
会计-矿泉水,成都华神科技集团股份有限公司,4-8千,成都·郫都区,2,2,"财务软件
快消品
会计
账务核算
制造业
金蝶
五险一金
餐饮补贴
年终奖金
通讯补贴
绩效奖金
股票期权
定期体检
补充公积金",制药/生物工程,,已上市  |  500-1000人,新一线,,4000-8000,4000,8000,会计,6000,四级
会计,重庆多多汇商贸有限公司,4-4.5千·13薪,重庆,2,2,"会计
带薪年假
绩效奖金
节日福利
专业培训
交通补贴
餐饮补贴
通讯补贴
五险
免费班车
年终奖金",服装/纺织/皮革,,民营  |  500-1000人,新一线,,4000-4500,4000,4500,会计,4250,五级
成本会计,菲沃泰纳米科技（深圳）有限公司,8千-1.5万·13薪,深圳·光明区,3,3,"会计
成本分析
固定资产管理
成本核算
存货盘点
成本报表
库存核对
财务管理
erp
excel
五险一金
员工旅游
年终奖金
定期体检
交通补贴
通讯补贴
专业培训
周末双休",电子技术/半导体/集成电路,,已上市  |  500-1000人,一线,,8000-15000,8000,15000,会计,11500,三级
注册会计师,中审众环会计师事务所（特殊普通合伙）江苏分所,1-1.5万,南京·鼓楼区,3,2,注册会计师,中介服务,,民营  |  50-150人,新一线,,10000-15000,10000,15000,会计,12500,二级
外贸会计（退税）,深圳克莱维尔电源有限公司,6-8千,深圳·宝安区,3,2,"外贸会计
财务
会计主管
税务
年终奖金
绩效奖金
补充医疗保险
交通补贴
餐饮补贴
五险一金",新能源,,合资  |  少于50人,一线,,6000-8000,6000,8000,会计,7000,四级
出纳会计,昆山佰奥智能装备股份有限公司,5-6千·13薪,昆山,2,1,"五险一金
员工旅游
专业培训
绩效奖金
定期体检
年终奖金",仪器仪表/工业自动化,,已上市  |  500-1000人,新一线,,5000-6000,5000,6000,会计,5500,四级
会计专员,重庆星宸整形美容医院有限公司,6-8千,重庆,3,1,"带薪年假
包三餐
包住宿
绩效奖金
节日福利
专业培训
员工旅游
五险",医疗/护理/卫生,,民营  |  150-500人,新一线,,6000-8000,6000,8000,会计,7000,四级
会计,上海恳大实业有限公司,6.5-8千,上海·金山区,2,3,"财务凭证
财务报表
驾驶证
汇算清缴
生产型企业
年终奖金
专业培训
餐饮补贴
五险一金",贸易/进出口,,民营  |  150-500人,一线,,6500-8000,6500,8000,会计,7250,四级
成本会计,江苏烽禾升智能科技有限公司,7千-1万,苏州,3,3,"五险一金
专业培训
年终奖金",仪器仪表/工业自动化,,民营  |  1000-5000人,新一线,,7000-10000,7000,10000,会计,8500,三级
会计(J12079),西卡（上海）管理有限公司,7千-1万,上海·静安区,3,3,"五险一金
补充医疗保险
补充公积金
餐饮补贴
通讯补贴
绩效奖金
年终奖金",建筑/建材/工程,,外资（欧美）  |  1000-5000人,一线,,7000-10000,7000,10000,会计,8500,三级
成本会计,上海尚志家居有限公司,7-7.5千,上海·徐汇区,1,2,"会计
成本
五险一金
员工旅游
绩效奖金
年终奖金
节日礼品",建筑/建材/工程,,已上市  |  500-1000人,一线,,7000-7500,7000,7500,会计,7250,四级
成本会计,云南石金炭素有限公司,6-8千,曲靖,3,2,"财务
财务主管
成本经理
成本主管
会计
五险一金
年终奖金
员工旅游
定期体检
专业培训
食宿福利
生日福利
假期福利",机械/设备/重工,,民营  |  50-150人,四线,,6000-8000,6000,8000,会计,7000,四级
财务会计专员,上海竞舟雨水科技有限公司,4-5千,上海·浦东新区,2,1,"会计
餐饮补贴
通讯补贴
年终奖金
周末双休",环保,,合资  |  50-150人,一线,,4000-5000,4000,5000,会计,4500,五级
财务会计,苏州红杉信息科技有限公司,5-9千·13薪,苏州·工业园区,3,1,"互联网
电子商务
财务
会计
带薪年假
节日福利
餐饮补贴
年终奖金
员工旅游
专业培训
定期体检
五险一金
绩效奖金",贸易/进出口,,民营  |  少于50人,新一线,,5000-9000,5000,9000,会计,7000,四级
会计,东莞市东侨智谷科技园有限责任公司,6-8千,东莞·东城区,2,4,"带薪年假
包住宿
绩效奖金
节日福利
专业培训
餐饮补贴
五险一金",互联网/电子商务,,民营  |  50-150人,新一线,,6000-8000,6000,8000,会计,7000,四级
会计主管,锦翰网络科技（广州）有限公司,8千-1.5万·13薪,广州·番禺区,3,2,"会计
财务管理
出口退税
财会
会计核算
总帐
帐务处理
审核会计凭证
绩效奖金
专业培训
交通补贴
通讯补贴
年终奖
定期体检
出国机会
员工旅游
弹性工作
五险一金",贸易/进出口,,民营  |  150-500人,一线,,8000-15000,8000,15000,会计,11500,三级
会计/财务,上海百利来企业服务有限公司,8千-1.5万·13薪,上海·徐汇区,2,2,"会计
会计助理
财务
审计
做帐
报税
年终双薪
奖金丰厚
年终分红
立即上岗
做五休二
周末双休
带薪年假
五险一金
专业培训
节日福利
全勤奖
绩效奖金",专业服务(咨询、人力资源、财会),,民营  |  少于50人,一线,,8000-15000,8000,15000,会计,11500,三级
会计,四川永昊兴泰贸易有限责任公司,4-7千,南充,1,3,"会计
审计
房地产
年终奖金
绩效奖金
专业培训
员工旅游
餐饮补贴",建筑/建材/工程,,民营  |  50-150人,四线,,4000-7000,4000,7000,会计,5500,四级
出纳会计,上海怡申科技股份有限公司,5-7千·13薪,上海·徐汇区,2,1,"五险一金
交通补贴
餐饮补贴
通讯补贴
出国机会
定期体检
年终奖金
专业培训
绩效奖金
弹性工作",仪器仪表/工业自动化,,民营  |  150-500人,一线,,5000-7000,5000,7000,会计,6000,四级
会计,东莞嘉顺针织有限公司,5-5.5千,东莞,2,3,"财务
五险
年底双薪
餐饮补贴
包住
节日福利
带薪年假",服装/纺织/皮革,,外资（非欧美）  |  500-1000人,新一线,,5000-5500,5000,5500,会计,5250,四级
财务经理/主管/全盘会计,深圳市汇诚行信息科技股份有限公司,8千-1.2万,深圳·福田区,3,3,"带薪年假
五险一金
节日福利
专业培训
绩效奖金
年终奖金
人性化管理
出国机会
不定期团建
补充商业保险",房地产,,已上市  |  50-150人,一线,,8000-12000,8000,12000,会计,10000,三级
总账会计,深圳市爱德泰科技有限公司,1-1.4万,深圳·南山区,3,3,"会计
总账
带薪年假
节日福利
专业培训
餐饮补贴
五险一金
年终奖金
员工旅游
包住宿
周末双休",通信/电信/网络设备,,民营  |  1000-5000人,一线,,10000-14000,10000,14000,会计,12000,三级
会计,杭州千岛湖云上天泉水业有限公司,4.6-8千,杭州·淳安县,2,1,"会计
成本会计
五险一金
专业培训
集体宿舍
免费就餐
过节福利费",快速消费品(食品、饮料、化妆品),,民营  |  50-150人,新一线,,4600-8000,4600,8000,会计,6300,四级
总账会计,米粒优合家居科技（上海）有限公司,7-9千,上海·嘉定区,3,3,"财务
会计
进出口贸易
账务处理
财务分析
审核
财税法律法规
业务核算
带薪年假
五险一金
绩效奖金
全勤奖
节日福利
专业培训
做五休二
周末双休",互联网/电子商务,,民营  |  50-150人,一线,,7000-9000,7000,9000,会计,8000,四级
国际贸易会计,上海巴比古贸易有限公司,8千-1.2万,上海,3,3,"会计
出口退税
财务软件
财务
税务报表
账务处理
记账凭证
五险一金
年终奖金",贸易/进出口,,外资（非欧美）  |  少于50人,一线,,8000-12000,8000,12000,会计,10000,三级
会计,张家港富士金属制品有限公司,6-7千·13薪,苏州,2,3,"五险一金
专业培训
节假日福利",机械/设备/重工,,民营  |  150-500人,新一线,,6000-7000,6000,7000,会计,6500,四级
销售会计,武汉聚天良品科技有限公司,3.2-4.5千,武汉·硚口区,2,1,"销售会计
财务
会计助理
财务助理
节日福利
年终奖金
员工旅游
五险
免费工作餐",贸易/进出口,,民营  |  50-150人,新一线,,3200-4500,3200,4500,会计,3850,五级
会计助理,广东正凌实业发展有限公司,4-6千,广州·番禺区,1,1,"会计助理
账单核对
凭证装订
单据整理
五险
员工旅游
绩效奖金
年终奖金
弹性工作
专业培训",多元化业务集团公司,,民营  |  150-500人,一线,,4000-6000,4000,6000,会计,5000,五级
财务/会计,深圳市赛德乐科技有限公司,5-8千,深圳·龙岗区,2,1,"财务
会计
账务处理
对账结算
财务分析
五险一金
餐饮补贴
绩效奖金
员工旅游",服装/纺织/皮革,,民营  ,一线,,5000-8000,5000,8000,会计,6500,四级
总帐会计,上海鱼尾科技有限公司,1-1.5万,湖州,2,5,"五险一金
员工旅游
弹性工作
年终奖金",互联网/电子商务,,民营  |  150-500人,三线,,10000-15000,10000,15000,会计,12500,二级
会计,广州东江新能源控股集团股份有限公司,6-8千,江门,2,2,"税务
内账
全盘
节日福利
高温补贴
包住宿
加班补贴
专业培训
餐饮补贴
团建活动",石油/化工/矿产/地质,,民营  |  150-500人,三线,,6000-8000,6000,8000,会计,7000,四级
财务会计专员,武汉德胜美美健康管理有限公司,5-5.5千,武汉·江汉区,2,4,"全盘账务处理
财务报表
财务管理
往来账款
双休
五险
节假日福利
带薪年假
绩效奖金",生活服务,,合资  |  50-150人,新一线,,5000-5500,5000,5500,会计,5250,四级
会计助理（5天8小时+包吃包住）,良豪科技(惠州）有限公司,4.1-5千,惠州·惠城区,1,1,"会计助理
财务助理
包吃
包住宿
弹性工作
带薪年假
节日福利
绩效奖金
买社保",机械/设备/重工,,民营  |  50-150人,二线,,4100-5000,4100,5000,会计,4550,五级
湘口公司会计,武汉市元大生物科技有限公司,4-7千,武汉·汉南区,2,4,"财务
会计
全盘账
有工作经验
湘口
员工旅游
年终奖金
绩效奖金
五险
包午餐
包住宿",制药/生物工程,,民营  |  50-150人,新一线,,4000-7000,4000,7000,会计,5500,四级
成本会计主管,苏州颐阳展示设备有限公司,8千-1万,昆山,2,4,"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
年终奖金
定期体检",家具/家电/玩具/礼品,,民营  |  50-150人,新一线,,8000-10000,8000,10000,会计,9000,三级
注册会计师,广州玮铭会计师事务所有限公司,1-1.5万,广州·天河区,2,3,"五险一金
员工旅游
交通补贴
餐饮补贴
绩效奖金
年终奖金
弹性工作
定期体检",会计/审计,,民营  |  50-150人,一线,,10000-15000,10000,15000,会计,12500,二级
销售会计,成都国为生物医药有限公司,5-7千·13薪,成都·高新区,3,2,"税务
医药行业
财务
审核
付款
销售会计
数据核算
利润结算
账务
五险一金
补充医疗保险
通讯补贴
交通补贴
定期体检
年终奖金
绩效奖金
员工食堂",制药/生物工程,,民营  |  500-1000人,新一线,,5000-7000,5000,7000,会计,6000,四级
电商会计,广州市潮穗贸易有限公司,7千-1万,广州·白云区,3,3,"电商行业
全盘账务
五险一金
员工旅游
专业培训
交通补贴
出国机会
股票期权
定期体检
绩效奖金
餐饮补贴",互联网/电子商务,,民营  |  50-150人,一线,,7000-10000,7000,10000,会计,8500,三级
会计经理/会计主管,山东保蓝环保有限公司,4-7千,淄博,2,2,"财务
高新技术
生产制造
重工业
总账
绩效奖金
节日福利
专业培训
交通补贴
餐饮补贴
加班补贴
五险一金
商业险
公司分红",环保,,民营  |  150-500人,三线,,4000-7000,4000,7000,会计,5500,四级
项目会计,四川瑞洋建筑工程有限公司,7-9千,黄石,2,3,"专业培训
年终奖金
绩效奖金",建筑/建材/工程,,民营  |  500-1000人,四线,,7000-9000,7000,9000,会计,8000,四级
会计兼保密员,武汉东盟船舶配套工程有限公司,5-5.5千,武汉·蔡甸区,2,3,"会计
免费班车
餐饮补贴
交通补贴
年终奖金
包住宿
包吃
全勤奖
六险",机械/设备/重工,,民营  |  少于50人,新一线,,5000-5500,5000,5500,会计,5250,四级
会计,广西永杰环保科技有限公司,3.5-4.5千,南宁·良庆区,2,2,"环保
交通补贴
餐饮补贴
通讯补贴
节日福利
带薪年假
周末双休",环保,,民营  |  少于50人,二线,,3500-4500,3500,4500,会计,4000,五级
中级成本会计师,广东新宝电器股份有限公司,6-9千,佛山,2,3,"社保
免费班车
定期体检
绩效奖金
员工旅游
餐饮补贴
住宿
专业培训
项目奖金",家具/家电/玩具/礼品,,已上市  |  10000人以上,新一线,,6000-9000,6000,9000,会计,7500,四级
税务会计（南宁）,广西溢盛和健康管理有限公司,4.5-5.5千·13薪,南宁·青秀区,2,3,"医药
税务管理
纳税申报
税务会计
财经法律法规
员工旅游
通讯补贴
周末双休
带薪年假
五险
绩效奖金
定期体检",制药/生物工程,,民营  |  少于50人,二线,,4500-5500,4500,5500,会计,5000,五级
会计,昆明东昊钛业有限公司,5-7千,昆明·富民县,2,3,"账务处理
会计做账
初级会计证书
餐饮补贴
年终奖金
弹性工作
五险",石油/化工/矿产/地质,,民营  |  500-1000人,二线,,5000-7000,5000,7000,会计,6000,四级
总账会计,上海威智信息技术有限公司,9千-1.1万·13薪,上海·浦东新区,3,3,"财务
会计
高新企业
五险一金
绩效奖金
年终奖金
员工旅游
定期体检
餐饮补贴",电子技术/半导体/集成电路,,民营  |  50-150人,一线,,9000-11000,9000,11000,会计,10000,三级
会计,北京宏伟超达科技股份有限公司,4.5-5千,北京·通州区,2,3,"会计
审计
房地产
五险一金",仪器仪表/工业自动化,,民营  |  50-150人,一线,,4500-5000,4500,5000,会计,4750,五级
财务主管会计,常州创明超电材料科技有限公司,6千-1.2万,常州·新北区,3,3,"五险一金
餐饮补贴
通讯补贴
绩效奖金
年终奖金
定期体检
带薪年假
生日礼物
节日福利
人才公寓",新能源,,外资（欧美）  |  50-150人,二线,,6000-12000,6000,12000,会计,9000,三级
会计,湖北硕磊物流有限公司,6-8千,武汉·东西湖区,3,3,"通讯补贴
交通补贴
餐饮补贴",交通/运输/物流,,民营  ,新一线,,6000-8000,6000,8000,会计,7000,四级
会计,北京元通东专汽车销售服务有限公司,5-6千,北京·大兴区,2,4,"会计
审计
数据分析
带薪年假
包住宿
高温补贴
绩效奖金
五险
双休",计算机软件,,民营  ,一线,,5000-6000,5000,6000,会计,5500,四级
