公司名称,职位名称,薪酬,城市地区,经验要求,学历要求,公司名称.1,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值
苏州花伴雨电子科技有限公司,主办会计,5-8千·13薪,苏州·高新区,2年,大专,"会计
审计
电商
贸易
政府
学校
医院
五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
股票期权
弹性工作
定期体检",民营  |  少于50人,办公用品及设备,苏州,5000-8000,5000,8000
深圳市威睿晶科电子有限公司,总账会计,8千-1万,深圳·光明区,2年,大专,"会计
crm
财务报表
电子制造业
提成核算
销售出库
财务分析
财务软件
核对账单
会计准则
专业培训
绩效奖金
年终奖金
员工旅游
五险一金
节日福利
全勤奖",民营  |  150-500人,电子技术/半导体/集成电路,深圳,8000-10000,8000,10000
河北旭阳能源有限公司,财务会计,6千-1万,保定,2年,本科,"运营
财务
审计
财务报表
财务制度
会计报表
归档
税务
成本
内控
月休6天
带薪年假
五险一金
包住宿
免费班车
餐饮补贴
住房补贴
全勤奖
绩效奖金
年终奖",民营  |  1000-5000人,新能源,保定,6000-10000,6000,10000
重庆博行大展汽车销售有限公司,会计专员（重庆红旗4S店）,4-5千,重庆·渝北区,3-4年,大专,"会计
财务
五险一金
员工食堂
专业培训
定期体检",民营  |  1000-5000人,批发/零售,重庆,4000-5000,4000,5000
广州市神炬装饰设计有限公司,会计,5千-1万,广州·黄埔区,2年,中技/中专,"财务
出纳
会计助理
财务主管
财务助理
会计主管
税务
总账会
会计
财务专员
带薪年假
全勤奖
节日福利
社保
年终奖金",民营  |  150-500人,建筑/建材/工程,广州,5000-10000,5000,10000
重庆硕盈峰新能源科技有限公司,会计助理,4-5千,重庆·渝北区,无需经验,本科,"五险一金
年终奖金
周末双休",民营  |  少于50人,新能源,重庆,4000-5000,4000,5000
杭州京杭生物科技有限公司,成本会计,5-7千,杭州·余杭区,2年,大专,"财务
成本核算
成本分析
存货盘点
成本分析表
材料耗用
绩效奖金
周末双休
带薪年假
节日福利
专业培训
交纳五险
餐饮补贴",民营  |  50-150人,贸易/进出口,杭州,5000-7000,5000,7000
江苏鹍远生物科技股份有限公司,应付会计,8千-1.2万,上海·浦东新区,2年,本科,"交通补贴
餐饮补贴
五险一金
通讯补贴
弹性工作
定期体检
员工旅游
补充医疗保险
年终奖金",民营  |  150-500人,制药/生物工程,上海,8000-12000,8000,12000
深圳市派伊生物技术开发有限公司,出纳会计,8千-1万,深圳·南山区,3-4年,大专,"财务
会计
数据统计
出入库管理
会计证
财务报表
台账
财务预算
会计报表
出入库登记
五险一金
员工旅游
专业培训
绩效奖金
年终奖金
定期体检",民营  |  1000-5000人,医疗/护理/卫生,深圳,8000-10000,8000,10000
广州锐美家建筑材料有限公司,财务会计,6-8千·13薪,广州·白云区,3-4年,大专,"出纳
会计凭证
会计
报表
会计科目
财务
财务主管
出纳员
财务经理
会计助理
包住宿
节日福利
专业培训
五险
带薪年假15天",民营  |  50-150人,建筑/建材/工程,广州,6000-8000,6000,8000
深圳市罗湖区银湖外国语实验学校,总账会计,6.5-7.5千,深圳·龙岗区,1年,大专,"财务
总账会计
会计
会计主管
周末双休
朝九晚六
带薪寒假
包三餐
包住宿
节日福利
五险一金",民营  |  1000-5000人,学术/科研,深圳,6500-7500,6500,7500
深圳市商企通商业服务有限公司,涉外会计（海外/香港公司会计）,8千-1.5万·13薪,深圳·福田区,1年,本科,"会计
审计
电商
涉外会计
香港审计
新加坡会计
香港做账报税
五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
周末双休",民营  |  少于50人,专业服务(咨询、人力资源、财会),深圳,8000-15000,8000,15000
陕西橡山酒店管理有限公司,会计助理,2.8-3.5千,咸阳·礼泉县,2年,大专,"总账会计
包吃
带薪年假
节日福利
包住宿
专业培训",民营  |  150-500人,酒店/旅游,咸阳,2800-3500,2800,3500
瑞庭网络技术（上海）有限公司合肥分公司,总账会计,6千-1.2万,上海,3-4年,本科,"五险一金
弹性工作
定期体检
绩效奖金
年终奖金",民营  |  10000人以上,房地产,上海,6000-12000,6000,12000
