职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
市场营销经理,上海恒实环保能源（集团）有限公司四川分公司,1.5-2万,广州,大专,5-7年,"员工旅游
餐饮补贴
绩效奖金
定期体检
周末双休
节日福利
高温补贴
补充医疗保险",环保,,,民营  |  150-500人,,,,,
市场营销培训生,广州艾玫格生物科技有限公司,6-9千,广州·天河区,本科,无需经验,"英语
市场营销
培训生
周末双休
带薪年假
五险一金
专业培训",快速消费品(食品、饮料、化妆品),,,民营  |  少于50人,,,,,
网络营销专员,安徽付一付信息科技有限公司,7-9千,合肥·政务区,,无需经验,"年终奖金
弹性工作
通讯补贴
免费下午茶
销售
维护老客户",互联网/电子商务,,,民营  |  50-150人,,,,,
主动营销专员,九牧厨卫苏南运营中心,7-8千·13薪,南京,大专,3-4年,"市场活动策划
执行落地
落地执行
交通补贴
餐饮补贴
通讯补贴
员工旅游
五险一金
绩效奖金
话补",建筑/建材/工程,,,民营  |  50-150人,,,,,
营销总监,航天宏图信息技术股份有限公司,1-2万,济宁,大专,5-7年,"销售
招投标
合同签订
导航
遥感
开拓市场
农业
商务洽谈
水利
政府行业
五险一金
交通补贴
餐饮补贴
绩效奖金
年终奖金
一对一帮传带
多通道晋升
专业培训",计算机软件,,,已上市  |  1000-5000人,,,,,
跨境电商营销总监,广东安华美博置业集团有限公司,1.8-2.5万,广州·越秀区,大专,3-4年,"带薪年假
节日福利
餐饮补贴
五险一金",房地产,,,民营  |  500-1000人,,,,,
营销经理（114）,上海共志通信信息技术发展有限公司,9千-1.2万,上海·浦东新区,本科,3-4年,"通信技术
五险一金
定期体检
津贴补助
绩效奖金
年终奖金
通讯补贴
交通补贴
餐饮补贴",通信/电信/网络设备,,,国企  |  1000-5000人,,,,,
营销总监,天陶陶瓷科技（云南）（集团）股份公司,8千-1.5万,昆明·五华区,本科,5-7年,"艺术品
管理
运营
策划
营销规划
文化产品
战略规划
化妆品
高层管理
专业培训
五险一金
通讯补贴
股票期权
绩效奖金
交通补贴",教育/培训/院校,,,民营  |  少于50人,,,,,
全国区域-主动营销经理,喜临门家具股份有限公司,15-30万/年,绍兴·越城区,本科,3-4年,"五险一金
免费班车
餐饮补贴",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
新媒体营销,济南轻骑大韩摩托车有限责任公司,5-7千,济南·高新区,本科,无需经验,"五险一金
周末双休
免费午餐
带薪休假
交通补贴
高温补贴",汽车,,,合资  |  500-1000人,,,,,
