职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,,规模类型,地区,*n薪,薪酬_n,月薪最小值,月薪最大值
营销副总经理,启迪科技城（肇庆）投资发展有限公司,1.5-3万,肇庆·鼎湖区,本科,5-7年,"包吃
五险一金
定期体检
绩效奖金",房地产,,,国企  |  50-150人,,,,,
营销软件产品经理,佛山市新豪轩智能家居科技有限公司,1.8-2.5万,佛山·南海区,本科,2年,"产品开发
产品策划
产品规划
交互设计
产品原型
产品需求文档
五险一金
员工旅游
交通补贴
年终奖金
绩效奖金
免费食宿
互助基金
节日礼品
生日会
系统培训",家居/室内设计/装潢,,,民营  ,,,,,
市场营销专员,微康益生菌（苏州）股份有限公司,8千-1.5万·14薪,苏州·吴江区,本科,2年,"市场营销
营销策略
生物技术
商业模式
五险一金
定期体检
专业培训
绩效奖金
年终奖金
节假日福利
带薪年假
调薪机制
餐饮补贴",制药/生物工程,,,民营  |  150-500人,,,,,
营销经理 高底薪+高提成,鸿福霖养老产业集团有限公司,1-2万,广州·天河区,,2年,"五险一金
专业培训
定期体检
员工旅游
绩效奖金
周末双休
包吃
包住宿
带薪年假
节日福利
销售代表
客户代表
销售专员
业务
渠道销售
销售
业务员
大客户经理
大客户销售",医疗/护理/卫生,,,民营  |  150-500人,,,,,
市场/营销/拓展主管,陕西东昊电力工程有限公司,5千-1万,西安·未央区,大专,2年,"销售
市场营销
维护客户关系
拜访客户
电力行业
收集市场信息
订单获取
谈判技巧
缴纳五险
定期团建",电气/电力/水利,,,创业公司  |  少于50人,,,,,
市场/营销/拓展经理,合肥极臻堂职业培训学校,6-8千,合肥·瑶海区,大专,3-4年,"市场经理
市场主管
市场拓展
市场招生
渠道主管
交通补贴
绩效奖金
年终奖金
五险
员工旅游
通讯补贴
专业培训",教育/培训/院校,,,民营  |  少于50人,,,,,
市场营销专员,微康益生菌（苏州）股份有限公司,8千-1.5万·14薪,上海·松江区,本科,2年,"市场营销
营销策略
生物技术
商业模式
五险一金
定期体检
专业培训
绩效奖金
年终奖金
节假日福利
带薪年假
调薪机制
餐饮补贴",制药/生物工程,,,民营  |  150-500人,,,,,
营销业务员,中铁建桂林旅游开发有限公司,3-6千,桂林,,2年,"营销
五险
定期体检",酒店/旅游,,,国企  |  少于50人,,,,,
月均8k 市场营销主管,郑州坤腾信息技术有限公司,6千-1.2万,郑州·管城回族区,高中,无需经验,"销售代表
弹性工作
五险一金
包住宿
绩效奖金
年终奖金
员工旅游
全勤奖
带薪年假",计算机软件,,,民营  |  150-500人,,,,,
销售总监/营销总监（有保健、旅游、会销经验者优先）,深圳天基权医疗器械有限公司,1.5-2.5万·14薪,深圳·龙岗区,大专,3-4年,"销售总监
运营总监
保健品总监
医疗养生总监
品牌运营总监
运营管理总监
大健康相关
医疗医药
家政服务
专业培训
绩效奖金
年终奖金
弹性工作",批发/零售,,,民营  |  150-500人,,,,,
互联网推广营销专员,浙江牛商网络科技有限公司,7千-1万,嘉兴,,无需经验,"五险一金
员工旅游
出国机会
交通补贴
绩效奖金
年终奖金
通讯补贴
全勤奖
弹性工作
带薪年假
电话销售
百度营销
销售代表
渠道销售
客户代表
业务员
互联网推广",互联网/电子商务,,,民营  |  150-500人,,,,,
抖音小红书营销（有销售性质）,郑州西钻商贸有限公司,5-8千·13薪,郑州·金水区,大专,无需经验,"带薪年假
全勤奖
绩效奖金
节日福利
专业培训
五险一金
上六休一
出国机会
带薪培训
互联网
电脑
电商
网络销售
快消品
高提成
销售
客服",互联网/电子商务,,,民营  |  150-500人,,,,,
市场营销推广主管,上海汇聚自动化科技有限公司,6千-1万,上海·松江区,本科,3-4年,"品牌推广
市场推广
品牌宣传
市场活动
收集市场信息
品牌策划
品牌定位
活动策划方案
推广策划
市场营销
五险一金
员工旅游
专业培训
绩效奖金
健身俱乐部
餐饮补贴",仪器仪表/工业自动化,,,民营  |  50-150人,,,,,
产品市场经理/市场营销经理,上海复享光学股份有限公司,1.5-3万,上海,本科,3-4年,"市场
营销拓展
市场开拓
市场分析
需求分析
样板客户
市场策略
高新技术企业
科技创新企业
“专精特新”
科技小巨人
IPO申报",仪器仪表/工业自动化,,,民营  |  50-150人,,,,,
营销管培生+晋升速度快,深圳市乐有家控股集团有限公司,5-9千,广州·番禺区,本科,1年,"五险一金
年终奖金
绩效奖金
弹性工作
带薪年假
团队活动
餐饮补贴
专业培训
管理
营销
门店日常管理
店长
搭建营销团队
执行落地",房地产,,,民营  |  10000人以上,,,,,
营销总监,上海宁韵企业咨询有限公司,1.5-2万,上海·静安区,大专,5-7年,直销销售,专业服务(咨询、人力资源、财会),,,民营  |  少于50人,,,,,
主动营销专员,九牧厨卫苏南运营中心,7-8千·13薪,南京,大专,3-4年,"市场活动策划
执行落地
落地执行
交通补贴
餐饮补贴
通讯补贴
员工旅游
五险一金
绩效奖金
话补",建筑/建材/工程,,,民营  |  50-150人,,,,,
市场/营销/拓展主管,上海爱谨人工智能科技有限公司,1-2万,上海·浦东新区,大专,3-4年,"五险一金
弹性工作",医疗设备/器械,,,民营  |  少于50人,,,,,
高客营销经理(年薪20万起),中国人民人寿保险股份有限公司四川省分公司,20-40万/年,成都·高新区,本科,无需经验,,金融/投资/证券,,,国企  ,,,,,
主动营销培训师,九牧厨卫股份有限公司,1-1.5万,上海·闵行区,大专,3-4年,"五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
健身福利
生日福利",多元化业务集团公司,,,民营  |  10000人以上,,,,,
主动营销专员,九牧厨卫苏南运营中心,7-8千·13薪,南京,大专,3-4年,"市场活动策划
执行落地
落地执行
交通补贴
餐饮补贴
通讯补贴
员工旅游
五险一金
绩效奖金
话补",建筑/建材/工程,,,民营  |  50-150人,,,,,
营销大区总经理,兴三星云科技股份有限公司,50-100万/年,海宁,大专,8-9年,"五险一金
全勤奖
节日福利
加班补贴
住房补贴
弹性工作
餐饮补贴
通讯补贴",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
社群营销经理/高级主管,三诺生物传感股份有限公司,1-1.2万·13薪,长沙,本科,3-4年,"五险一金
年终奖金
定期体检
团建活动
专业培训
周末双休
免费班车
餐饮补贴
带团队
子女福利",医疗设备/器械,,,民营  |  1000-5000人,,,,,
居家办公营销人员,青岛中惠圣熙生物工程有限公司,4-8千,青岛·李沧区,大专,无需经验,"带薪年假
休息一天半
绩效奖金",制药/生物工程,,,民营  |  50-150人,,,,,
HRBP（营销方向）,深圳市劲拓自动化设备股份有限公司,1.5-2万,深圳·宝安区,本科,5-7年,"招聘
绩效激励
组织盘点
人力资源支持
绩效体系
工科
劳动合同法
人才发展计划
培训
tob
免费班车
包三餐
包住宿
五险一金
年终奖金",仪器仪表/工业自动化,,,已上市  |  500-1000人,,,,,
营销储备干部,武汉盛大神农生物工程有限公司,6-7千,武汉·东湖新技术产业开发区,本科,1年,"销售
经销商管理
客情维护
农业
学生干部
客户拜访
服务
通讯补贴
交通补贴
餐饮补贴
绩效奖金
员工旅游
年终奖金
专业培训
五险一金",农/林/牧/渔,,,民营  |  50-150人,,,,,
营销总经理助理,广州博厚健康科技有限公司,6千-1万,广州·黄埔区,大专,3-4年,"营销
新媒体营销
营养学
总经理助理
医疗健康
餐饮补贴
专业培训
定期体检
免费班车
节日福利
五险一金
绩效奖金
健身房
提成",制药/生物工程,,,民营  |  50-150人,,,,,
高薪招聘-营销储干,深圳市乐有家控股集团有限公司,8千-1.3万,广州,大专,无需经验,"互联网
房地产
电脑
五险一金
补充医疗保险
补充公积金
员工旅游
专业培训
绩效奖金",房地产,,,民营  |  10000人以上,,,,,
营销产品经理(H5802),上海创元化妆品有限公司,2-3.5万·13薪,上海·闵行区,本科,3-4年,"五险一金
年终奖金
弹性工作
定期体检",快速消费品(食品、饮料、化妆品),,,民营  |  500-1000人,,,,,
营销专员,江西中昱新材料科技有限公司,4-8千·13薪,上饶,本科,无需经验,"节日福利
员工旅游
年终奖金
包三餐
包住宿
五险一金
双休",新能源,,,民营  |  150-500人,,,,,
市场营销专员,郑州市倾程众联网络科技有限公司,0.8-1万,许昌,,无需经验,"销售代表
市场专员
客户经理
弹性工作
五险一金
绩效奖金
交通补贴
节日福利",计算机软件,,,民营  |  少于50人,,,,,
营销策划专员,黑龙江省前程优选人力资源有限公司,4-6千,哈尔滨·南岗区,,2年,营销策划,专业服务(咨询、人力资源、财会),,,民营  |  500-1000人,,,,,
营销总监（流体动力）,江苏华频电子科技有限公司,1-2万·14薪,常州·武进区,大专,5-7年,"变频器
团队搭建
客户开拓
空气压缩机
管理团队
电机
清洗机
五险一金
员工旅游
专业培训
年终奖金
定期体检
绩效奖金
弹性工作
餐饮补贴
通讯补贴
交通补贴",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
市场/营销总监,南京建瑞房地产开发有限公司,40-80万/年,南京,本科,5-7年,,房地产,,,外资（非欧美）  |  50-150人,,,,,
市场营销专员,郑州市倾程众联网络科技有限公司,0.8-1万,信阳,,无需经验,"弹性工作
五险一金
绩效奖金
交通补贴
节日福利
销售代表
市场专员
客户经理",计算机软件,,,民营  |  少于50人,,,,,
营销总监助理,东莞市华美食品有限公司,15-30万/年,东莞·茶山镇,大专,1年,"经理
销售
区域
总监
通讯补贴
包住宿
绩效奖金
专业培训
节日福利
五险一金",快速消费品(食品、饮料、化妆品),,,民营  |  1000-5000人,,,,,
渠道营销（汕头）,华润雪花啤酒,6-8千·13薪,汕头,本科,2年,"交通补贴
餐饮补贴
通讯补贴
年终奖金
专业培训
定期体检
国企编制
六险二金
品牌推广
广告策划
活动策划执行
媒介传播
渠道营销
促销",快速消费品(食品、饮料、化妆品),,,国企  |  10000人以上,,,,,
C端营销总监,苏州清听声学科技有限公司,1.5-3万,苏州,本科,5-7年,,电子技术/半导体/集成电路,,,民营  |  50-150人,,,,,
市场营销专员,郑州市倾程众联网络科技有限公司,0.8-1万,驻马店,,无需经验,"销售代表
市场专员
客户经理
弹性工作
五险一金
绩效奖金
交通补贴
节日福利",计算机软件,,,民营  |  少于50人,,,,,
市场营销总监（家居公司）,珠海华发景龙建设有限公司,2-2.5万,珠海·香洲区,本科,5-7年,"五险一金
补充医疗保险
补充公积金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",建筑/建材/工程,,,国企  |  150-500人,,,,,
品牌营销推广,深圳市集美优科技有限公司,7千-1.4万,深圳,大专,1年,"品牌推广
SEM
引流
电商推广
五险一金
全勤奖
周末双休
免费体检
节日福利",互联网/电子商务,,,民营  |  150-500人,,,,,
私募基金营销,深圳市股市动态分析杂志社有限公司,1-1.5万,深圳·南山区,本科,1年,"销售
金融
理财顾问
投资顾问",文字媒体/出版,,,民营  |  少于50人,,,,,
营销总监,深圳市德业智能股份有限公司,1-2万,深圳·龙岗区,本科,3-4年,"经销商
软件
自动化设备
五险一金
全勤奖
带薪年假
节日福利
员工旅游
绩效奖金",机械/设备/重工,,,民营  |  少于50人,,,,,
网络推广营销总监/品牌企划总监,上海灵硕会展服务有限公司,1.2-1.6万·13薪,上海,本科,3-4年,"展览行业
网络营销
团队建设
市场营销
推广
seo推广
管理推广团队
关键词选取
网站架构
运营
五险一金
员工旅游
绩效奖金
专业培训",公关/市场推广/会展,,,民营  |  150-500人,,,,,
8000千灯湖内勤营销+年功津贴,珠海市香洲一顺百顺汽车服务中心,8千-1.3万,佛山·南海区,高中,无需经验,"全勤奖
绩效奖金
带薪年假
年终奖金
员工旅游
五险一金
交通补贴
股票期权
出国机会
专业培训
电商
线上
汽车
内勤
营销",贸易/进出口,,,民营  ,,,,,
营销总监,湖南金科财智管理顾问有限公司,8千-1.5万,长沙·岳麓区,本科,10年以上,"软件
五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
定期体检",会计/审计,,,民营  |  50-150人,,,,,
市场/营销/拓展总监,东莞市艾宝依服饰有限公司,1.2-2万,东莞·虎门镇,大专,5-7年,"销售
运营
服装行业
市场开发
开店
市场发展
营销经理
合作签订
市场规划
五险一金
单休
环境优美",服装/纺织/皮革,,,民营  |  50-150人,,,,,
互联网营销师,海南升旭传媒有限公司,4-8千,海口·龙华区,大专,无需经验,"新媒体
自媒体
五险一金
绩效奖金",影视/媒体/艺术/文化传播,,,民营  ,,,,,
市场/营销/拓展经理,北京中时众亿环保科技有限公司,6千-1.2万,北京·丰台区,大专,1年,"交通补贴
餐饮补贴
专业培训
年终奖金",环保,,,民营  |  少于50人,,,,,
品牌营销经理,深圳拓邦股份有限公司,2-3.5万·13薪,深圳,本科,5-7年,"五险一金
免费班车
年终奖金
专业培训
免费住宿
免费体检
旅游假
股权激励",电子技术/半导体/集成电路,,,已上市  |  10000人以上,,,,,
营销储备干部,太平人寿保险有限公司北京分公司,8千-1.2万,北京·海淀区,本科,无需经验,"保险
金融
补充医疗保险
补充公积金
专业培训
弹性工作
绩效奖金
年终奖金
员工旅游",保险,,,国企  |  10000人以上,,,,,
营销企划-东创紫联,东风汽车集团股份有限公司,1-1.5万,武汉,本科,5-7年,"带薪年假
交通补助
通讯津贴
午餐补助
定期体检
五险一金",汽车,,,国企  |  10000人以上,,,,,
内容营销 (芯片、存储、数据库、云计算),合芯科技有限公司,1.5-2.5万·14薪,广州·黄埔区,本科,3-4年,"五险一金
提供住宿
年终奖金
绩效奖金
子女津贴
周末双休
节日福利
定期体检",电子技术/半导体/集成电路,,,民营  |  150-500人,,,,,
区域营销负责人（如东&海安）,NIO蔚来,1.5-2.5万·13薪,南通,本科,3-4年,五险一金,汽车,,,已上市  |  10000人以上,,,,,
房地产营销策划主管,湖北恒泰天纵控股集团有限公司,4-6千,恩施,大专,3-4年,,房地产,,,民营  |  500-1000人,,,,,
营销主管,长沙畅安智能科技发展有限公司,1-2万,长沙·岳麓区,本科,2年,,通信/电信运营、增值服务,,,民营  |  少于50人,,,,,
微信营销8K(非电销，地铁口）,成都嗨学乔戈里教育科技有限公司,8千-1.6万,成都·成华区,大专,无需经验,"网络销售
精准资源
微信营销
社群营销
在线教育
职业教育
五险一金",计算机软件,,,民营  ,,,,,
主动营销主管/专员,恒洁卫浴武汉分公司,6-8千,武汉·江汉区,大专,3-4年,"定期体检
补充医疗保险
员工旅游
专业培训
五险一金
交通补贴
餐饮补贴
通讯补贴
绩效奖金
年终奖金",批发/零售,,,民营  |  150-500人,,,,,
营销经理,北京核成科技有限公司,12-20万/年,北京·大兴区,大专,无需经验,"销售
营销助理
带薪年假
包住宿
包吃
绩效奖金
高温补贴
五险",建筑/建材/工程,,,民营  |  50-150人,,,,,
整合营销传播经理,深圳好博窗控技术股份有限公司,2-3万,深圳·光明区,大专,5-7年,"五险一金
交通补贴
年终奖金
专业培训
法定假日
股票期权
餐饮补贴
提供食宿
绩效奖金
同事Nice",建筑/建材/工程,,,民营  |  1000-5000人,,,,,
市场/营销/拓展专员,南京领域翻译有限公司,4-8千,南京·秦淮区,大专,无需经验,"互联网
市场开拓
营销
弹性工作
五险一金
交通补贴
餐饮补贴
绩效奖金
节日福利",学术/科研,,,民营  |  少于50人,,,,,
云野——数字营销主管/专员,云南野生动物园有限公司,4-5千,昆明·盘龙区,大专,2年,"专业培训
弹性工作
节日福利
绩效奖金
带薪年假
五险一金",酒店/旅游,,,民营  |  150-500人,,,,,
市场营销经理,北京核成科技有限公司,15-20万/年,北京·大兴区,大专,无需经验,"带薪年假
包住宿
包吃
绩效奖金
高温补贴
五险
节日福利
营销",建筑/建材/工程,,,民营  |  50-150人,,,,,
会员营销主管,湖南润农生态茶油有限公司深圳分公司,8千-1.2万·13薪,深圳·福田区,大专,3-4年,"奖金
五险一金
补充医疗保险
年终奖金
专业培训
双休
员工旅游
绩效奖金",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
亚马逊数字营销专员,桂林爱索家居用品股份有限公司,5-6千·13薪,桂林,本科,无需经验,"营销
广告投放
跨境电商
excel
关键词投放
分析流量数据
数字营销
周末双休
带薪年假
五险一金
补充意外险
员工旅游
专业培训
年终奖金
绩效奖金",贸易/进出口,,,民营  |  150-500人,,,,,
项目营销总经理,广州珠江房地产开发中心有限公司,4-5万,广州·天河区,本科,5-7年,"副总经理
周末双休
五险一金
补充医疗保险
补充公积金
员工旅游
交通补贴
通讯补贴
绩效奖金
年终奖金
定期体检",房地产,,,民营  |  150-500人,,,,,
市场营销经理,北京核成科技有限公司,1-1.6万,北京·大兴区,大专,无需经验,"带薪年假
包住宿
包吃
绩效奖金
高温补贴
全勤奖
节日福利
无应酬
五险
营销",建筑/建材/工程,,,民营  |  50-150人,,,,,
营销策划总监,苏州希盟科技股份有限公司,4-7万,昆山,大专,10年以上,"五险一金
员工旅游
股票期权
年终奖金
绩效奖金
餐饮补贴
通讯补贴",仪器仪表/工业自动化,,,民营  |  150-500人,,,,,
营销财务总监,上海雪榕生物科技股份有限公司,2-2.8万·13薪,上海·奉贤区,本科,10年以上,"销售预算
财务管理
管控业务风险
管理报表
账款
五险一金
通讯补贴
年终奖金
节日福利
提供食宿
员工食堂
周末双休
交通补贴
股票期权",快速消费品(食品、饮料、化妆品),,,已上市  |  5000-10000人,,,,,
IT营销系统工程师,广州市美帮祈富文仪有限公司,8千-1.2万,广州,大专,3-4年,"带薪年假
节日福利
购买社保
定期体检
包食宿",快速消费品(食品、饮料、化妆品),,,民营  |  500-1000人,,,,,
营销经理,泸州启航科技有限公司,1.3-2.5万,泸州,大专,5-7年,"快消品
五险
员工旅游
专业培训
餐饮补贴
绩效奖金
弹性工作
定期体检
交通补贴",原材料和加工,,,民营  |  150-500人,,,,,
市场营销总监,陕西中勉投资有限公司酒店管理分公司,1-2万,汉中,大专,5-7年,"带薪年假
包住宿
绩效奖金
节日福利
专业培训
高温补贴
五险
餐饮补贴
食堂免费用餐
营销提成",酒店/旅游,,,国企  |  50-150人,,,,,
营销总监,浙江大爱医药有限公司,30-50万/年,金华·婺城区,大专,8-9年,"销售
团队管理
otc
超额利润分红
出差补贴
提成绩效
股权激励",制药/生物工程,,,民营  |  150-500人,,,,,
营销员,安徽建工建材科技集团有限公司,5千-1万,阜阳,本科,3-4年,"节日福利
交通补贴
餐饮补贴
高温补贴
五险一金
包三餐
年终奖金
周末双休",建筑/建材/工程,,,国企  |  500-1000人,,,,,
医美营销运营总监,深圳市展行生物有限公司,2-4万,深圳·盐田区,本科,3-4年,"五险一金
弹性工作",制药/生物工程,,,民营  |  少于50人,,,,,
市场营销策划经理,安吉天使小镇乐园有限公司,1.6-2.5万,湖州,大专,3-4年,"弹性工作
五险一金
节日福利
餐饮补贴
带薪年假
做五休二
高温补贴
免费班车",酒店/旅游,,,民营  |  500-1000人,,,,,
营销储备人才,宜昌稻香隆商务信息咨询有限公司,8-10万/年,宜昌,本科,无需经验,"驻外
营销管理
储备",快速消费品(食品、饮料、化妆品),,,民营  |  10000人以上,,,,,
市场营销专员,安徽喜尔美企业管理有限公司,5-8千,合肥·高新区,大专,1年,"节日福利
五险
通讯补贴",计算机服务(系统、数据服务、维修),,,民营  |  50-150人,,,,,
海外市场营销--营销物料管理,深圳市德兰明海新能源股份有限公司,7千-1万,惠州·大亚湾区,本科,1年,"陈列
营销
市场推广
营销思路
营销物料
营销图片
宣传手册
能源
产品营销
外贸跟单
五险一金
定期体检
提供住宿",电子技术/半导体/集成电路,,,民营  |  1000-5000人,,,,,
市场/营销/拓展专员,苏州新嘉富合因私出入境服务有限公司,5千-1万,苏州·工业园区,本科,1年,"市场活动
市场宣传
拜访客户
五险一金
员工旅游
专业培训
年终奖金
绩效奖金",金融/投资/证券,,,外资（非欧美）  ,,,,,
市场拓展/营销经理,宁波高新区甬港现代创业服务有限公司,5千-1万·15薪,丽水,本科,2年,"周末双休
五险一金
交通补贴
绩效奖金
员工食堂
人才公寓
带薪年假
节日福利
员工旅游
专业培训",多元化业务集团公司,,,民营  |  50-150人,,,,,
市场营销专员,中仓农业科技发展有限公司,5-8千,青岛·黄岛区,,无需经验,"五险一金
包住宿
绩效奖金
餐饮补贴
高温补贴
周休1.5天",农/林/牧/渔,,,民营  |  少于50人,,,,,
营销总监/经理,艾维斯（广州）时尚服饰有限公司,1.5-2万,广州·白云区,,3-4年,"线下零售
百人团队
直营部门",服装/纺织/皮革,,,民营  ,,,,,
电话营销,湖南启善尚行文化传播有限公司,5-8千·13薪,长沙,大专,1年,"餐饮补贴
专业培训
绩效奖金
年终奖金
五险
定期体检
免费班车
单双休
节日福利
教育
销售
电话
话务员",教育/培训/院校,,,民营  |  少于50人,,,,,
全国区域-主动营销经理,喜临门家具股份有限公司,15-30万/年,绍兴·越城区,本科,3-4年,"五险一金
免费班车
餐饮补贴",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
钢材营销主管（急聘）,福然德股份有限公司,6千-1.2万,六安,本科,3-4年,"销售
钢材
市场开拓
渠道开发
营销方案
汽车
五险一金
绩效奖金
带薪年假
节日福利",汽车,,,已上市  |  500-1000人,,,,,
市场营销 / 品牌推广 (主管)  MKT,寰才亚中国 GTG China,1.2-2万·13薪,广州·天河区,本科,3-4年,"市场
营销
品牌
推广
市场营销
品牌策划
营销推广
线上推广
新媒体
五险一金
绩效奖金
年终奖金
专业培训
带薪年假
员工旅游
定期体检
节日福利",专业服务(咨询、人力资源、财会),,,外资（欧美）  |  少于50人,,,,,
电话营销经理,天珊电缆（成都）有限公司,3.5-7千,成都·金牛区,高中,1年,买社保,机械/设备/重工,,,民营  |  50-150人,,,,,
全国区域-主动营销经理,喜临门家具股份有限公司,15-30万/年,绍兴·越城区,本科,3-4年,"五险一金
免费班车
餐饮补贴",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
铝压铸营销总监（安徽急聘）,福然德股份有限公司,50-60万/年,常州·钟楼区,本科,8-9年,"铝压铸
汽车销售总监
营销总监
总经理
周末双休
节日福利
绩效奖金
带薪年假
五险一金",汽车,,,已上市  |  500-1000人,,,,,
新媒体营销经理,上海才大企业发展有限公司,8千-1.5万,上海·普陀区,本科,2年,"新媒体
短视频
公众号
五险一金
绩效奖金
专业培训",教育/培训/院校,,,民营  |  150-500人,,,,,
DTP药房营销专员,上药控股（广东）大药房连锁有限公司,4-8千,广州,大专,2年,"服务管理
项目合作
客情关系维护
营销活动方案
带薪年假
五险一金
节日福利
绩效奖金
工龄工资
团体活动
晋升空间
定期体检
专业培训
免费住宿",批发/零售,,,国企  |  50-150人,,,,,
营销策划,武汉飞凌德胜科技有限公司,0.8-1万,武汉·武昌区,本科,3-4年,"市场
调研人员
补充医疗保险
补充公积金
员工旅游
专业培训
绩效奖金
年终奖金
弹性工作
定期体检
五险一金
出国机会",互联网/电子商务,,,民营  |  50-150人,,,,,
营销经理,上海京正投资管理（集团）有限公司,1.8-2万,上海·黄浦区,本科,8-9年,"营销策略
渠道管理
美容行业
营销计划
五险一金",多元化业务集团公司,,,民营  |  1000-5000人,,,,,
市场营销总监,上海蓝励信息科技股份有限公司,2-2.5万,上海·长宁区,大专,3-4年,"员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作",通信/电信/网络设备,,,民营  |  少于50人,,,,,
营销部门助理,广州资源环保科技股份有限公司,3.5-6千,广州·越秀区,大专,3-4年,"绩效奖金
年终奖金
包吃
五险一金",环保,,,民营  |  500-1000人,,,,,
营销主管,浙江非攻机械有限公司,8千-1.2万,台州,高中,2年,"品牌推广
产品销售
区域营销
销售主管
五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
专业培训
股票期权
年终奖金
绩效奖金
定期体检",机械/设备/重工,,,外资（非欧美）  |  少于50人,,,,,
国内营销公司副总经理,扬州亚星客车股份有限公司,1-2万·13薪,扬州·邗江区,本科,5-7年,"五险一金
免费班车
餐饮补贴
专业培训
绩效奖金
年终奖金",汽车,,,国企  |  1000-5000人,,,,,
营销顾问,江苏省宿迁女儿红白酒销售有限公司,8千-1.2万,昆明,大专,2年,"交通补贴
餐饮补贴
绩效奖金
年终奖金
专业培训
弹性工作
五险
年假",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
数字营销主任 (MJ000822),广州大家乐食品实业有限公司,6-8千,广州,大专,1年,"五险一金
包吃包住
员工旅游
免费班车",餐饮业,,,外资（非欧美）  |  10000人以上,,,,,
酒店营销专员,湖南大成汇品商贸有限公司,5千-1万,长沙·开福区,大专,2年,"包吃
绩效奖金
节日福利
年终奖
五险一金
酒店营销餐饮",快速消费品(食品、饮料、化妆品),,,民营  |  150-500人,,,,,
营销专员,广州南沙明珠晨曦农业科技有限公司,8-8.5千,广州·南沙区,本科,1年,"市场营销
营销策略
销售渠道开发
五险一金
餐饮补贴
绩效奖金
年终奖金
生育补贴
带薪年假
领导好
扁平管理",农/林/牧/渔,,,合资  |  少于50人,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销部部门助理,深圳熊谷物业管理有限公司上海分公司,1-1.2万,上海·虹口区,大专,1年,"做五休二
餐饮补贴
五险一金",房地产,,,外资（非欧美）  |  150-500人,,,,,
新媒体运营/短视频新营销,深圳市乐有家控股集团有限公司,7千-1.4万,深圳·罗湖区,大专,1年,"五险一金
餐饮补贴
绩效奖金
弹性工作
专业培训
员工旅游",房地产,,,民营  |  10000人以上,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
市场营销（无责底薪4000+住宿）,武汉佳星润企业管理有限公司,6千-1.2万,武汉·武昌区,,无需经验,"员工旅游
五险一金
弹性工作
年终奖金
绩效奖金
包住宿
专业培训
销售
客户关系
销售产品
管理团队
产品推广",多元化业务集团公司,,,民营  |  50-150人,,,,,
营销策划（电商）,敏华家具制造（惠州）有限公司,15-20万/年,惠州·大亚湾区,本科,3-4年,"五险一金
年终奖金
专业培训
餐饮补贴
通讯补贴",家具/家电/玩具/礼品,,,已上市  |  10000人以上,,,,,
公众号运营(营销管理中心-上海),广西东呈酒店管理集团股份有限公司,1-1.2万·14薪,上海·长宁区,本科,2年,"五险一金
定期体检
带薪年假
通讯补贴
每周双休
节日福利
绩效奖金",酒店/旅游,,,民营  |  10000人以上,,,,,
主动营销经理-华东区,喜临门家具股份有限公司,1-1.5万,绍兴·越城区,大专,2年,"培训
零售
数字营销
促销活动策划
社区营销
家具家电建材
五险一金
餐饮补贴
通讯补贴
交通补贴
绩效奖金
专业培训
定期体检",家具/家电/玩具/礼品,,,已上市  |  5000-10000人,,,,,
营销总监助理,东莞市华美食品有限公司,20-30万/年,东莞·茶山镇,大专,1年,"销售
经理
总监
区域
储干
餐饮补贴
包住宿
节日福利
弹性工作
绩效奖金
加班补贴",快速消费品(食品、饮料、化妆品),,,民营  |  1000-5000人,,,,,
营销企划经理,南昌鲜徕客食品有限公司,6-7千,南昌·青山湖区,大专,3-4年,,快速消费品(食品、饮料、化妆品),,,民营  ,,,,,
