职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源经理,1.2-1.5万,杭州,3-4年,大专,"管理
人力资源
人力资源管理
行政管理
招聘计划
招聘流程
人事
经理
五险一金
补充公积金
员工旅游
餐饮补贴
专业培训
弹性工作
股票期权
定期体检
绩效奖金
年终奖金",浙江顺达进出口贸易有限公司,民营  |  1000-5000人,计算机软件,新一线,12000-15000,12000,15000,1000-5000人,民营,13500,二级
人力资源运营经理（通威农发）,1-1.5万·14薪,成都·高新区,2年,硕士,"管理
人力资源管理
数据
管理科学工程
五险一金
餐饮补贴
通讯补贴
专业培训
年终奖金
定期体检
绩效奖金
员工旅游
周末双休",通威农业发展有限公司,已上市  |  10000人以上,农/林/牧/渔,新一线,10000-15000,10000,15000,10000人以上,已上市,12500,二级
人力资源专员,6-8千,广州,2年,大专,"人事
人力资源
人事管理
管理学
人事手续办理
excel
五险一金
员工旅游
专业培训
股票期权
弹性工作
定期体检
绩效奖金
年终奖金
补充医疗保险
补充公积金",广东育新信息科技有限公司,民营  |  1000-5000人,电子技术/半导体/集成电路,一线,6000-8000,6000,8000,1000-5000人,民营,7000,四级
人力资源副总监,1-1.5万,珠海·珠海高新区,5-7年,大专,"五险一金
带薪年假
绩效奖金
节日福利
专业培训
免费班车
环境优美",珠海双喜电器股份有限公司,已上市  |  500-1000人,家具/家电/玩具/礼品,二线,10000-15000,10000,15000,500-1000人,已上市,12500,二级
人事经理/人力资源经理,6-8千,西安,10年以上,本科,"人事经理
节日福利
绩效奖金
餐饮补贴
五险一金
加班补贴",陕西嘉曦物业管理有限公司,民营  |  500-1000人,物业管理/商业中心,新一线,6000-8000,6000,8000,500-1000人,民营,7000,四级
人力资源经理,0.8-1万,武汉·江汉区,3-4年,本科,"人事主管
人事
招聘
社保
餐饮补贴
专业培训
交通补贴
绩效奖金
弹性工作
年终奖金",武汉朝曦商贸有限公司,民营  |  150-500人,服装/纺织/皮革,新一线,08000-10000,8000,10000,150-500人,民营,9000,三级
培优生（人力资源硕士、博士）,6千-1.2万,西安·雁塔区,无需经验,硕士,"人资方向
行政方向
职能方向
五险一金
餐饮补贴
周末双休",西安华纲建设工程管理有限公司,民营  ,建筑/建材/工程,新一线,6000-12000,6000,12000,,民营,9000,三级
人力资源主管/专员,5-8千,宜昌·夷陵区,5-7年,大专,"包吃
节日福利
社会保险
绩效奖金
专业培训",重庆市银河(集团)有限公司,民营  |  500-1000人,建筑/建材/工程,三线,5000-8000,5000,8000,500-1000人,民营,6500,四级
人力资源管理师（招聘）,9千-1.2万,宁波·江北区,3-4年,本科,"招聘
招聘渠道
招聘配置
招聘体系建设
职位说明书
制度体系
沟通管理
带薪年假
节日福利
包住宿
包吃
员工旅游
餐饮补贴
加班补贴
专业培训",宁波瑞孚工业集团有限公司,民营  |  1000-5000人,家具/家电/玩具/礼品,新一线,9000-12000,9000,12000,1000-5000人,民营,10500,三级
人力资源经理,6千-1.2万,昆明·官渡区,3-4年,大专,"团队搭建
谈业务
企业文化建设
年终奖约2~4
餐饮补贴
通讯补贴
工会福利
五险一金
周末双休
绩效工资
项目提成",云南自由贸易试验区大周人力资源有限公司,民营  |  少于50人,专业服务(咨询、人力资源、财会),二线,6000-12000,6000,12000,少于50人,民营,9000,三级
