职位名称,薪酬,城市地区,工作经验要求,学历要求,公司福利,公司名称,规模类型,公司标签,地区,薪酬_n,月薪最小值,月薪最大值,公司规模,公司类型,平均薪资,工资级别
人力资源管理岗,1-2万,南昌·青山湖区,5-7年,硕士,"节假日福利
五险一金",赣江新区创新产业投资有限公司,民营  |  50-150人,金融/投资/证券,二线,10000-20000,10000,20000,50-150人,民营,15000,二级
人力资源管理岗,8千-1.6万·13薪,芜湖·鸠江区,5-7年,大专,"五险一金
员工旅游
定期体检
周末双休
免费工作餐
高温补贴",芜湖麦可威电磁科技有限公司,民营  |  150-500人,电子技术/半导体/集成电路,三线,8000-16000,8000,16000,150-500人,民营,12000,三级
人力资源管理岗,8千-1.5万,北京,5-7年,本科,"招聘
人才梯队
职称评审
人才管理体系
五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检",中国核工业中原建设有限公司华东分公司,国企  |  150-500人,建筑/建材/工程,一线,8000-15000,8000,15000,150-500人,国企,11500,三级
企业人力资源管理培训师,9千-1.8万,东莞·南城区,3-4年,本科,"五险一金
员工旅游
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
弹性工作",广东向上人力资源有限公司,民营  |  50-150人,专业服务(咨询、人力资源、财会),新一线,9000-18000,9000,18000,50-150人,民营,13500,二级
人力资源管理,5-9千·13薪,扬州,3-4年,本科,"五险一金
专业培训
股票期权
年终奖金
周末双休",江苏奥力威传感高科股份有限公司,已上市  |  500-1000人,汽车,三线,5000-9000,5000,9000,500-1000人,已上市,7000,四级
人力资源管理员,4.5-5.5千·13薪,株洲,2年,本科,"人力资源
人员招聘
招聘配置
五险一金
餐饮补贴
通讯补贴
年终奖金
定期体检
专业培训",旗滨集团股份有限公司,已上市  |  10000人以上,原材料和加工,三线,4500-5500,4500,5500,10000人以上,已上市,5000,五级
市七医院人事/人力资源管理岗位,1-1.8万·13薪,上海·浦东新区,3-4年,硕士,"人事
人力资源
五险一金
年终奖金
定期体检
绩效奖金
餐饮补贴
专业培训",上海市第七人民医院,事业单位  |  1000-5000人,医疗/护理/卫生,一线,10000-18000,10000,18000,1000-5000人,事业单位,14000,二级
组织和人力资源部-人力资源管理岗,1.3-2万,杭州·西湖区,1年,本科,"五险一金
补充医疗保险
年终奖金
定期体检
餐饮补贴
专业培训
通讯补贴",财通证券股份有限公司,国企  |  5000-10000人,金融/投资/证券,新一线,13000-20000,13000,20000,5000-10000人,国企,16500,二级
人力资源管理,5-6千,西安·碑林区,3-4年,本科,"人力资源
人资
人事经理
人事总监
工厂
五险
法定假日福利
专业培训
制造生产企业
单双休",多利隆人造草坪集团有限公司,民营  |  150-500人,建筑/建材/工程,新一线,5000-6000,5000,6000,150-500人,民营,5500,四级
人力资源经理/主管,6千-1.2万·13薪,武汉·江岸区,5-7年,本科,"五险一金
工作餐
发展空间大
岗位晋升
通讯津贴",武汉海天实业集团有限公司,民营  |  500-1000人,多元化业务集团公司,新一线,6000-12000,6000,12000,500-1000人,民营,9000,三级
人力资源管理师,5-8千,宜昌,3-4年,大专,"人力资源
人力资源管理
人事主管
人事助理
人事专员
人事经理
节日福利
餐饮补贴
绩效奖金
通讯补贴
五险",湖北三思科技股份有限公司,民营  |  50-150人,仪器仪表/工业自动化,三线,5000-8000,5000,8000,50-150人,民营,6500,四级
人力资源管理（数字板块）,2-3.5万,上海·浦东新区,3-4年,本科,"做五休二
餐饮补贴
定期体检
年终奖金",上海临港新片区投资控股（集团）有限公司,国企  |  500-1000人,建筑/建材/工程,一线,20000-35000,20000,35000,500-1000人,国企,27500,一级
人力资源管理HRBP,1-1.3万,福州,1年,本科,"五险一金
补充医疗保险
通讯补贴
定期体检",中国联合网络通信有限公司福建省分公司,国企  |  5000-10000人,通信/电信/网络设备,二线,10000-13000,10000,13000,5000-10000人,国企,11500,三级
人力资源管理,1-1.5万,深圳,5-7年,本科,"人力资源规划
人力资源管理
五险一金
绩效奖金
年终奖金
包吃包住
专业培训
年休假
员工旅游",深圳市固源塑胶制品有限公司,民营  |  500-1000人,医疗设备/器械,一线,10000-15000,10000,15000,500-1000人,民营,12500,二级
人力资源管理,8千-1万,佛山·南海区,1年,硕士,"人力资源
免费班车
五险一金
定期体检
员工食堂",广东省特种设备检测研究院,事业单位  |  1000-5000人,学术/科研,新一线,8000-10000,8000,10000,1000-5000人,事业单位,9000,三级
人力资源管理,7-8千·13薪,乐山,2年,大专,"人力资源
人力资源体系
劳动法律法规
招聘
培训
薪酬
绩效
带薪年假
节日福利
专业培训
餐饮补贴
通讯补贴
定期体检",成都佛莱维资产管理有限公司,外资（非欧美）  |  少于50人,物业管理/商业中心,四线,7000-8000,7000,8000,少于50人,外资（非欧美）,7500,四级
人力资源管理岗（资产公司）,9.6千-1.2万,上海·黄浦区,8-9年,本科,"五险一金
交通补贴
通讯补贴
餐饮补贴
高温补贴",上海市供销合作总社,国企  |  500-1000人,多元化业务集团公司,一线,9600-12000,9600,12000,500-1000人,国企,10800,三级
人力资源管理,8千-1.2万·15薪,成都,1年,硕士,"人事
人力资源管理
人力资源专员
组织
免费班车
交通补贴
通讯补贴
专业培训
绩效奖金
年终奖金
定期体检
七险一金",民航成都电子技术有限责任公司,国企  |  1000-5000人,电子技术/半导体/集成电路,新一线,8000-12000,8000,12000,1000-5000人,国企,10000,三级
人力资源管理岗（湖北黄石）,8千-1.3万,黄石,3-4年,本科,"节日福利
五险一金
绩效奖金
生日福利
餐饮补贴",日丰企业集团有限公司,民营  |  1000-5000人,原材料和加工,四线,8000-13000,8000,13000,1000-5000人,民营,10500,三级
人力资源主管,6千-1万,德州,1年,大专,"培训计划
人力资源规划
企业文化建设
招聘管理
人力资源管理
薪酬核算
工作分析
绩效管理
周末双休
五险一金
带薪年假
全勤奖
节日福利
餐饮补贴
加班补贴",合肥天汇生物科技有限公司,民营  |  150-500人,制药/生物工程,三线,6000-10000,6000,10000,150-500人,民营,8000,四级
人力资源管理,1-1.5万,常州·武进区,5-7年,大专,"人事
人事主管
行政
五险一金
包吃
节日福利",常州神力电机股份有限公司,已上市  |  500-1000人,机械/设备/重工,二线,10000-15000,10000,15000,500-1000人,已上市,12500,二级
人力资源管理,4-5千,佳木斯,3-4年,本科,"周末双休
带薪年假
五险一金
专业培训
加班补贴
节日福利",哈电集团生物质发电（望奎）有限公司,国企  |  50-150人,电气/电力/水利,五线,4000-5000,4000,5000,50-150人,国企,4500,五级
人事专员（人力资源管理岗）,5-7千,舟山,5-7年,本科,"人力资源
培训实施
员工关系管理
招聘
薪酬绩效
周末双休
带薪年假
五险一金
高温补贴
餐饮补贴",光汇石油储运（舟山）有限公司,合资  |  少于50人,石油/化工/矿产/地质,四线,5000-7000,5000,7000,少于50人,合资,6000,四级
人力资源管理专员,7千-1.2万·13薪,宁波·北仑区,2年,本科,"招聘
培训
员工关系
薪酬绩效
人才发展
周末双休
带薪年假
五险一金
包吃
包住宿
绩效奖金
全勤奖
节日福利
加班补贴
高温补贴",宁波弘讯科技股份有限公司,合资  |  150-500人,电子技术/半导体/集成电路,新一线,7000-12000,7000,12000,150-500人,合资,9500,三级
人力资源主管,1-2万,昆山,8-9年,大专,"招聘
员工关系
人才发展
带薪年假
全勤奖
五险一金
节日福利
免费工作餐
提供住宿",康信达科技（苏州）有限公司,民营  |  150-500人,多元化业务集团公司,新一线,10000-20000,10000,20000,150-500人,民营,15000,二级
人力资源专员,4-6千,淮安·洪泽区,2年,本科,"五险一金
员工旅游
餐饮补贴
专业培训
绩效奖金
年终奖金
弹性工作",华强方特（淮安）旅游发展有限公司,民营  |  1000-5000人,酒店/旅游,三线,4000-6000,4000,6000,1000-5000人,民营,5000,五级
人力资源部专员（人力资源管理方向,8千-1.2万,上海·黄浦区,1年,本科,"带薪年假
五险一金
节日福利
绩效奖金
交通补贴
专业培训",上海三联（集团）有限公司,国企  |  1000-5000人,批发/零售,一线,8000-12000,8000,12000,1000-5000人,国企,10000,三级
人力资源主管,7-8千,佛山·南海区,1年,大专,"人事
人事主管
带薪年假
包吃
包住宿
节日福利
加班补贴
社保
员工旅游",佛山市和信商用物业经营管理有限责任公司,民营  |  50-150人,物业管理/商业中心,新一线,7000-8000,7000,8000,50-150人,民营,7500,四级
人力资源专员,4-5千,成都·都江堰市,2年,大专,"人力资源
人事
五险一金
交通补贴
餐饮补贴
专业培训
绩效奖金
年终奖金
员工旅游",成都威马克户外用品有限公司,民营  |  150-500人,娱乐/休闲/体育,新一线,4000-5000,4000,5000,150-500人,民营,4500,五级
人力资源总监,3-4万·13薪,上海·闵行区,5-7年,本科,五险一金,上海艾尔温生命科技有限公司,民营  |  少于50人,医疗设备/器械,一线,30000-40000,30000,40000,少于50人,民营,35000,一级
人力资源管理专员,7.5千-1万·13薪,宁波·鄞州区,3-4年,本科,"员工关系
薪酬绩效
培训
招聘
五险一金
员工旅游
年终奖金
绩效奖金
交通补贴
定期体检",宁波中威国际物流有限公司,民营  |  50-150人,交通/运输/物流,新一线,7500-10000,7500,10000,50-150人,民营,8750,三级
人力资源经理,8千-1万,中山·石岐区,5-7年,本科,"人才管理
带薪年假
五险一金
绩效奖金
专业培训
餐饮补贴",中山市简居家庭用品有限公司,民营  |  150-500人,家具/家电/玩具/礼品,二线,8000-10000,8000,10000,150-500人,民营,9000,三级
人力资源管理,5千-1万,商丘,无需经验,本科,"五险一金
员工宿舍
员工食堂",牧原食品股份有限公司,已上市  |  10000人以上,农/林/牧/渔,三线,5000-10000,5000,10000,10000人以上,已上市,7500,四级
人力资源管理,5-6千,青岛·黄岛区,2年,大专,"五险一金
节日福利
高温补贴",青岛昌隆文具有限公司,合资  |  1000-5000人,办公用品及设备,新一线,5000-6000,5000,6000,1000-5000人,合资,5500,四级
人力资源专员,7千-1.3万·13薪,深圳·宝安区,3-4年,大专,"招聘
培训
考勤
员工关系
薪酬绩效
五险一金
餐饮补贴
通讯补贴
出国机会
年终奖金
绩效奖金
弹性工作
员工旅游
节日福利
员工活动",泰盛能源技术有限公司,民营  |  少于50人,贸易/进出口,一线,7000-13000,7000,13000,少于50人,民营,10000,三级
人力资源管理,8千-1万,威海,2年,本科,"五险一金
出国机会
专业培训
交通补贴
通讯补贴
日常福利",威海市海王旋流器有限公司,民营  |  150-500人,机械/设备/重工,三线,8000-10000,8000,10000,150-500人,民营,9000,三级
人力资源主管,3-5千,沈阳,3-4年,本科,"五险一金
员工旅游
专业培训
出国机会
绩效奖金
年终奖金
股票期权
定期体检",沈阳每利科技股份有限公司,民营  |  150-500人,计算机软件,二线,3000-5000,3000,5000,150-500人,民营,4000,五级
人力资源负责人,3-5万,上海·浦东新区,5-7年,本科,"五险一金
带薪年假
节日福利
年终奖金",卜蜂莲花企业管理有限公司,外资（非欧美）  |  10000人以上,批发/零售,一线,30000-50000,30000,50000,10000人以上,外资（非欧美）,40000,一级
人力资源经理,5-6.5千,黄石,3-4年,大专,"通讯补贴
餐饮补贴
专业培训
绩效奖金
五险一金",湖北佳佳惠商贸有限公司,合资  |  500-1000人,快速消费品(食品、饮料、化妆品),四线,5000-6500,5000,6500,500-1000人,合资,5750,四级
人力资源专员,4.5-6.5千,昆明,2年,本科,"人力资源
绩效管理
员工培训
薪酬核算
餐饮补贴
周末双休
团建活动
下午茶
五险一金
年终奖金
绩效奖金
节假日福利
生日福利",云南立翔科技股份有限公司,民营  |  50-150人,计算机软件,二线,4500-6500,4500,6500,50-150人,民营,5500,四级
人力资源管理,4.5-6千,江门·鹤山市,1年,本科,"五险一金
节日福利
加班补贴
餐饮补贴
交通补贴",中粮家佳康（湖北）有限公司,国企  |  500-1000人,快速消费品(食品、饮料、化妆品),三线,4500-6000,4500,6000,500-1000人,国企,5250,四级
人力资源管理师,6-8千,深圳·宝安区,3-4年,大专,"招聘
培训
员工关系
人才发展
五险一金
员工旅游
绩效奖金
年终奖金
定期体检
餐饮补贴",苏试宜特（深圳）检测技术有限公司,外资（欧美）  |  50-150人,计算机软件,一线,6000-8000,6000,8000,50-150人,外资（欧美）,7000,四级
人力资源管理专员,7-9千,广州,3-4年,本科,"利益激励分配
五险一金
餐饮补贴
弹性工作
通讯补贴
绩效奖金",广州华扬文化发展有限公司,民营  |  少于50人,广告,一线,7000-9000,7000,9000,少于50人,民营,8000,四级
人力资源管理,6千-1万,长沙,5-7年,本科,"招聘
绩效
薪酬
五险一金
补充医疗保险
专业培训
绩效奖金
年终奖金
定期体检
出差补贴
包住宿
交通补贴
员工旅游",湖南航天捷诚电子装备有限责任公司,国企  |  150-500人,电子技术/半导体/集成电路,新一线,6000-10000,6000,10000,150-500人,国企,8000,四级
资深人力资源专员,8千-1万·13薪,广州·越秀区,5-7年,本科,"人力资源
心理学
管理
绩效实施
人力资源管理
培训开发
招聘
五险一金
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金",江泰保险经纪股份有限公司广东营业部,民营  |  1000-5000人,中介服务,一线,8000-10000,8000,10000,1000-5000人,民营,9000,三级
人力资源专员（综合管理岗）（COE团队）,1.2-1.5万·13薪,北京·昌平区,3-4年,本科,"人力资源
人力资源管理
招聘
培训
绩效管理
员工关系
招聘计划
员工关系管理
培训开发
招聘渠道
年终奖金
员工旅游
定期体检
专业培训
通讯补贴
餐饮补贴
一年加薪一次
免费班车",北京万维盈创科技发展有限公司,民营  |  500-1000人,仪器仪表/工业自动化,一线,12000-15000,12000,15000,500-1000人,民营,13500,二级
人力资源管理,6-8千,徐州,2年,本科,"hrbp
培训
招聘
节日福利
专业培训
高温补贴
弹性工作
交通补贴
通讯补贴
带薪年假
免费班车",徐工环境技术股份有限公司,国企  |  150-500人,环保,二线,6000-8000,6000,8000,150-500人,国企,7000,四级
人力资源管理,8千-1.2万,广州·番禺区,5-7年,大专,"薪酬绩效
员工关系
招聘
hrbp
考勤
培训
人才发展
免费班车
专业培训
通讯补贴
餐饮补贴
弹性工作
项目奖金",浙江科力车辆控制系统有限公司,民营  |  500-1000人,汽车零配件,一线,8000-12000,8000,12000,500-1000人,民营,10000,三级
人力资源主管,8千-1.2万,杭州·富阳区,3-4年,本科,"hrbp
薪酬绩效
五险一金
通讯补贴
定期体检
餐饮补贴
绩效奖金
专业培训",浙江杭加泽通建筑节能新材料有限公司,民营  |  1000-5000人,建筑/建材/工程,新一线,8000-12000,8000,12000,1000-5000人,民营,10000,三级
人力资源经理,1-1.5万,重庆·江北区,3-4年,本科,"人力资源
周末双休
社会保险
工作午餐
免费停车
专业培训
绩效奖金
节日福利
定期体检",重庆市华雄实业（集团）有限公司,民营  |  50-150人,房地产,新一线,10000-15000,10000,15000,50-150人,民营,12500,二级
人力资源经理,8千-1.2万,梅州,8-9年,大专,"人力资源
人事
HRBP
包吃住
五险一金
餐饮补贴
专业培训
年终奖金
员工生日活动
开工利是
企业文化活动
KTV活动室
健身房",广东代米生物科技有限公司,民营  |  500-1000人,农/林/牧/渔,四线,8000-12000,8000,12000,500-1000人,民营,10000,三级
人力资源主任,1-2万,攀枝花,5-7年,本科,"招聘
员工关系
薪酬绩效
人才发展
免费班车
餐饮补贴
绩效奖金
五险
包住",四川西南钒钛科技有限公司,民营  |  1000-5000人,采掘业/冶炼,五线,10000-20000,10000,20000,1000-5000人,民营,15000,二级
人力资源BP（海外管理）,7千-1万,长沙,5-7年,大专,"五险一金
带薪年假
绩效奖金
免费班车
包吃
出国机会
餐饮补贴
年终奖金
定期体检
专业培训",湖南红太阳新能源科技有限公司,国企  |  500-1000人,新能源,新一线,7000-10000,7000,10000,500-1000人,国企,8500,三级
人力资源主管/经理,6千-1万,成都·郫都区,5-7年,本科,"人力资源
五险一金
专业培训
年终奖金
带薪年假
年休假",四川红光汽车机电有限公司,民营  |  500-1000人,汽车,新一线,6000-10000,6000,10000,500-1000人,民营,8000,四级
人力资源管理岗,6千-1万,重庆·渝中区,2年,本科,"五险一金
补充医疗保险
专业培训
绩效奖金
定期体检",阳光财产保险股份有限公司重庆市分公司,民营  ,保险,新一线,6000-10000,6000,10000,,民营,8000,四级
人力资源经理,0.8-1万,济宁,5-7年,大专,"人事经理
五险一金
免费班车
员工旅游
餐饮补贴
绩效奖金
专业培训
免费公寓
包住宿
周末双休
加班补贴",山东荣信集团有限公司,民营  |  1000-5000人,石油/化工/矿产/地质,三线,08000-10000,8000,10000,1000-5000人,民营,9000,三级
人力资源管理专家,1.5-2万,北京·丰台区,8-9年,本科,"人力资源管理
项目管理能力
团队管理能力
工具呈现
建设能力
较强逻辑能力
五险一金
免费班车
员工旅游
交通补贴
专业培训
绩效奖金
股票期权
定期体检
工作居住证",瑞颖常青医疗科技（北京）有限公司,民营  |  50-150人,医疗/护理/卫生,一线,15000-20000,15000,20000,50-150人,民营,17500,二级
人力资源主管,6-7千,中山,3-4年,大专,"人力资源管理
招聘渠道开拓
校企合作
人力资源规划
事务管理
联络沟通
招聘
培训
员工关系
人力资源
带薪年假
节日福利
五险一金
专业培训
年终奖金
员工旅游
餐饮补贴",广东金宁集团有限公司,民营  |  1000-5000人,多元化业务集团公司,二线,6000-7000,6000,7000,1000-5000人,民营,6500,四级
人力资源专员,8千-1.5万·13薪,深圳·南山区,3-4年,本科,"五险一金
绩效奖金
节日福利
餐饮补贴
定期体检",中集海洋工程有限公司,国企  |  少于50人,机械/设备/重工,一线,8000-15000,8000,15000,少于50人,国企,11500,三级
人力资源总监,1-1.5万,洛阳,5-7年,本科,"管理
招聘
人力资源管理
人力资源成本
人工智能
年终奖金
定期体检
周末双休
专业培训",中科慧远视觉技术（洛阳）有限公司,民营  |  150-500人,仪器仪表/工业自动化,三线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源经理,1-1.5万,广州,10年以上,大专,"招聘
培训
hrbp
考勤
人才发展
薪酬绩效
劳务派遣
员工关系
员工旅游
专业培训
弹性工作
五险
包吃
单休",广州曙光医学美容医院,民营  |  500-1000人,医疗/护理/卫生,一线,10000-15000,10000,15000,500-1000人,民营,12500,二级
人力资源经理（大岭山沃尔玛）,8千-1.2万·13薪,东莞·大岭山镇,3-4年,本科,"五险一金
员工旅游
餐饮补贴
绩效奖金
年终奖金
专业培训
定期体检",沃尔玛(东莞)商业零售有限公司,民营  ,计算机软件,新一线,8000-12000,8000,12000,,民营,10000,三级
人力资源总监HRD,3-5万,深圳·南山区,5-7年,本科,"人力资源总监
人力资源战略
组织管理
人才发展
人力资源管理
五险一金
股票期权
带薪年假
专业培训
绩效奖金",深圳市同步齿科医疗股份有限公司,民营  |  1000-5000人,医疗/护理/卫生,一线,30000-50000,30000,50000,1000-5000人,民营,40000,一级
人力资源管理岗,1-1.5万,深圳·南山区,5-7年,本科,"培训
招聘
薪酬绩效
人才发展
员工关系
hrbp
五险一金
员工旅游
交通补贴
餐饮补贴
专业培训
定期体检
年终奖金
绩效奖金",深圳市建工集团股份有限公司,民营  |  1000-5000人,建筑/建材/工程,一线,10000-15000,10000,15000,1000-5000人,民营,12500,二级
人力资源管理,8千-1万,徐州,2年,本科,"定期体检
专业培训
免费班车
交通补贴
六险二金
弹性工作",徐州徐工挖掘机械有限公司,国企  |  1000-5000人,机械/设备/重工,二线,8000-10000,8000,10000,1000-5000人,国企,9000,三级
人力资源管理员（双休）,5-7千·13薪,绍兴·柯桥区,2年,本科,"招聘
人力资源
人力资源管理
人员招聘
数据汇总
劳动合同管理
招聘渠道拓展
五险一金
补充医疗保险
员工旅游
餐饮补贴
年终奖金
绩效奖金
通讯补贴
定期体检
专业培训
补充公积金",绍兴旗滨玻璃有限公司,合资  ,批发/零售,二线,5000-7000,5000,7000,,合资,6000,四级
人力资源专员/HRBP,7-9千,广州,2年,本科,"人力资源管理
员工绩效
人力资源规划
员工关系管理
薪酬管理
五险一金
员工旅游
专业培训
股票期权
弹性工作
定期体检
绩效奖金
年终奖金
补充医疗保险
补充公积金",广东育新信息科技有限公司,民营  |  1000-5000人,电子技术/半导体/集成电路,一线,7000-9000,7000,9000,1000-5000人,民营,8000,四级
人力资源经理,1-1.5万,深圳·光明区,5-7年,本科,"生日会
提供食宿",广东迈亮科技有限公司,民营  |  150-500人,家具/家电/玩具/礼品,一线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源总监HRD,1.2-2万,成都·金牛区,3-4年,本科,"人力资源战略
人才引进
人才梯队
组织架构
团队管理
晋升通道
领导nice
节日福利
员工活动
入职社保",智业集团,民营  |  150-500人,多元化业务集团公司,新一线,12000-20000,12000,20000,150-500人,民营,16000,二级
人力资源,5-6千·13薪,湖北省,3-4年,本科,"hrbp
员工关系
招聘
培训
薪酬绩效
五险一金
免费班车
专业培训
餐饮补贴
年终奖金
定期体检",湖北民腾新材料科技有限公司,民营  |  150-500人,石油/化工/矿产/地质,三线,5000-6000,5000,6000,150-500人,民营,5500,四级
人力资源主管,7千-1.2万,银川,5-7年,本科,"培训
化工
工商企业管理
招聘渠道
招聘
人力资源
企业文化建设
管理模式
人才战略
人力资源战略
五险一金
年终奖金
专业培训
餐饮补贴
住宿
核心骨干激励",恒源兴银（宁夏）科技发展有限公司,民营  |  50-150人,计算机软件,三线,7000-12000,7000,12000,50-150人,民营,9500,三级
集团人力资源总监,8千-1万,吉安,8-9年,本科,"管理
人力资源管理
组织建设
企业文化建设
五险一金
绩效奖金
年终奖金",新琪安科技股份有限公司,合资  |  500-1000人,原材料和加工,四线,8000-10000,8000,10000,500-1000人,合资,9000,三级
人力资源主管,1-1.5万,惠州·惠阳区,3-4年,本科,"人力资源管理
绩效管理
培训管理
招聘配置
劳务外包管理
制造业
带薪年假
定期体检
五险一金
包吃",深圳市麦瑞科林科技有限公司,民营  |  500-1000人,医疗设备/器械,二线,10000-15000,10000,15000,500-1000人,民营,12500,二级
人力资源主管,8千-1.5万,成都·双流区,2年,本科,"五险一金
餐饮补贴
年终奖金
定期体检
绩效奖金",四川中锐信息技术有限公司,国企  |  50-150人,计算机软件,新一线,8000-15000,8000,15000,50-150人,国企,11500,三级
人力资源专员/主管,6千-1.2万·13薪,南宁,3-4年,本科,"人力资源管理
招聘
人力资源
处理员工投诉
考核
五险一金
补充医疗保险
餐饮补贴
通讯补贴
年终奖金
弹性工作",筑博设计股份有限公司,民营  |  1000-5000人,建筑/建材/工程,二线,6000-12000,6000,12000,1000-5000人,民营,9000,三级
人力资源管理,6-8千,北京·海淀区,3-4年,本科,"员工关系
人才发展
招聘
培训
薪酬绩效
五险一金
专业培训
定期体检
包住
周末双休
高温补贴
通讯补贴
绩效奖金
弹性工作",北京金隅涂料有限责任公司,国企  |  150-500人,建筑/建材/工程,一线,6000-8000,6000,8000,150-500人,国企,7000,四级
人力资源部经理,1-1.5万·13薪,无锡·惠山区,2年,本科,"五险一金
员工旅游
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金
专业培训
股票期权
定期体检",无锡中德美联生物技术有限公司,外资（欧美）  ,制药/生物工程,二线,10000-15000,10000,15000,,外资（欧美）,12500,二级
人力资源专员,8千-1万,上海,1年,本科,"五险一金
餐饮补贴
通讯补贴
年终奖金
弹性工作",上海阿法迪智能数字科技股份有限公司,民营  ,计算机软件,一线,8000-10000,8000,10000,,民营,9000,三级
人力资源管理,5-6千,廊坊,3-4年,本科,"培训
员工关系
人才发展
五险一金
专业培训
餐饮补贴
定期体检
包住
周末双休
高温补贴
弹性工作",北京金隅涂料有限责任公司,国企  |  150-500人,建筑/建材/工程,三线,5000-6000,5000,6000,150-500人,国企,5500,四级
人力资源管理岗,5千-1万,北京·西城区,5-7年,本科,"hrbp
招聘
培训
五险一金
定期体检
提供住宿
年终奖金
带薪年假
节日福利",中国燃气华北区域管理中心,已上市  |  500-1000人,石油/化工/矿产/地质,一线,5000-10000,5000,10000,500-1000人,已上市,7500,四级
人力资源管理岗,1-1.4万,上海·闵行区,2年,本科,"五险一金
补充公积金",中国航空无线电电子研究所,国企  |  1000-5000人,电子技术/半导体/集成电路,一线,10000-14000,10000,14000,1000-5000人,国企,12000,三级
人力资源岗（驻马店HRBP）(J10185),4-6千,驻马店,2年,本科,"人力资源管理
员工关系
招聘
人力资源
入转调离
法律法规
管理劳动合同
年度考核
用工
办公软件
专业培训
定期体检
员工旅游
补充医疗保险
年终奖金",河南建业教育产业有限公司,民营  |  1000-5000人,教育/培训/院校,三线,4000-6000,4000,6000,1000-5000人,民营,5000,五级
人力资源信息系统专员,1.2-2万,拉萨,3-4年,本科,"五险一金
补充医疗保险
交通补贴
餐饮补贴
通讯补贴
专业培训
绩效奖金
年终奖金
弹性工作
定期体检",中广核新能源投资（深圳）有限公司北京分公司,国企  |  5000-10000人,新能源,四线,12000-20000,12000,20000,5000-10000人,国企,16000,二级
人力资源专员,8千-1.5万,深圳·坪山区,5-7年,本科,"人事档案管理
劳动合同管理
人力资源
医疗器械
招聘
入离调转
考勤管理
员工关怀
五险一金
专业培训
周末双休
大牛带队
绩效奖金
做五休二
带薪年假",深圳惟德精准医疗科技有限公司,民营  |  少于50人,计算机软件,一线,8000-15000,8000,15000,少于50人,民营,11500,三级
人力资源主管,6-8千,重庆·渝北区,2年,本科,"人力资源
人事
人力资源管理
员工关系管理
人事行政
五险
绩效奖金
带薪年假
专业培训
团队旅游
晋升快速
年终奖金
员工旅游",重庆文房房地产营销策划有限公司,民营  |  50-150人,房地产,新一线,6000-8000,6000,8000,50-150人,民营,7000,四级
人力资源经理,1-1.8万,深圳·福田区,3-4年,本科,"人事
人力经理
人力主管
招聘
五险一金
通讯补贴
交通补贴
年终奖金
绩效奖金
专业培训",深圳市西莓移动科技有限公司,民营  |  50-150人,互联网/电子商务,一线,10000-18000,10000,18000,50-150人,民营,14000,二级
人力资源部主任,8千-1.6万,四川省,3-4年,硕士,"五险一金
免费班车
餐饮补贴
年终奖金
专业培训
定期体检
弹性工作
绩效奖金",电子科技大学成都学院,非营利组织  |  500-1000人,教育/培训/院校,新一线,8000-16000,8000,16000,500-1000人,非营利组织,12000,三级
人力资源管理部门负责人,6.5-8千,上海·徐汇区,3-4年,大专,"hrbp
培训
招聘
五险一金
员工旅游
绩效奖金
年终奖金
定期体检",上海中科学术活动中心有限公司,国企  |  150-500人,酒店/旅游,一线,6500-8000,6500,8000,150-500人,国企,7250,四级
人力资源经理,1.4-2万,广州·黄埔区,5-7年,本科,"五险一金
定期体检
年终奖金
专业培训
员工旅游",广州汉源新材料股份有限公司,合资  |  150-500人,电子技术/半导体/集成电路,一线,14000-20000,14000,20000,150-500人,合资,17000,二级
行政人力资源部经理,9千-1.5万,深圳,2年,大专,"管理
行政
人力资源
人力资源管理
行政后勤
工商管理
行政后勤管理
人力资源规划
五险一金
员工旅游
专业培训
股票期权
弹性工作
定期体检
绩效奖金
年终奖金
补充医疗保险
补充公积金",广东育新信息科技有限公司,民营  |  1000-5000人,电子技术/半导体/集成电路,一线,9000-15000,9000,15000,1000-5000人,民营,12000,三级
人力资源经理,1-1.5万,宜春,3-4年,本科,"人事经理
五险",江西春光新材料科技股份有限公司,民营  |  150-500人,制药/生物工程,三线,10000-15000,10000,15000,150-500人,民营,12500,二级
人力资源专员,5.5-7千,广州·黄埔区,1年,本科,"招聘
考勤
员工关系
试用期管理
五险一金
商业保险
员工旅游
专业培训
年终奖金
绩效奖金
周末双休
员工生日
节日礼物
餐饮补贴",中检赛辰技术服务有限公司,民营  |  50-150人,计算机软件,一线,5500-7000,5500,7000,50-150人,民营,6250,四级
人力资源主管,5-6千·13薪,成都·双流区,3-4年,大专,"人力资源
员工关系
薪酬核算
公积金
招聘培训
劳动纠纷
五险一金
交通补贴
餐饮补贴
通讯补贴
年终奖金
绩效奖金
周末双休",四川嘉道博文生态科技有限公司,民营  |  150-500人,环保,新一线,5000-6000,5000,6000,150-500人,民营,5500,四级
