职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
数据分析师（FAT）（实习）,上海联和金融信息服务有限公司,150元/天,大连-甘井子区,本科,在校生/应届生,01-31发布,计算机服务(系统、数据服务、维修),武汉理工大学出版社,语言：英语4级+工作时间：9：00-18：00休周末及中国法定假期薪资范围：4.5k-5.5k根据综合面试定薪+六险一金+13薪岗位职责：分析通过彭博系统更新、维护、分析及数据上传等相关流程。,国企  |  150-500人
临床数据分析,武汉致众科技股份有限公司,5千-1万,上海,本科,在校生/应届生,01-31发布,医疗设备/器械,市府路168号浙江东日股份有限公司（合众大厦12层）,岗位职责1.基于对业务的深入了解，为业务运营人员提供数据支持，及时响应业务需求；2.构建并维护全面、准确、反映业务特征的指标体系，并基于日常指标监控，推动业务部门的数据化运营；3.提炼业务诉求，有针对性的提出解决方案，通过数据可视化或者数据服务，帮忙业务更直观清晰的挖掘数据背后的信息，辅助业务决策；4.基于业务理解或者从数据分析中发现新的应用场景和创新点，进而与相关团队协作并推动数据产品的规划、设计和落地；任职要求1.本科及以上学历，数学、统计、计算机、经济等相关专业优先；2.熟悉Excel、SQL、Python等数据分析工具和技术；3.思维敏捷，逻辑性强，具有较强的数据分析能力和数据敏感性，善于从数据中发现问题、分析问题。,民营  |  150-500人
数据分析实习生,上海劢联企业管理咨询有限公司,4-5千,北京-朝阳区,硕士,在校生/应届生,01-31发布,专业服务(咨询、人力资源、财会),花神大道23号8号楼二单元4楼江苏东昂科技有限公司,工作职责：1、参与科研课题，负责相关业务数据特征提取及分析；2、完成部门领导交给的其他工作任务；任职资格：1、硕士（2023/2024毕业），统计学、应用数学、计算机、自动化、信号处理等数据分析和应用的相关专业2、熟悉数据分析建模和技术，熟悉常用数据算法，如决策树、聚类、逻辑回归，关联分析、SVM，贝叶斯网络等；研究方向为机器学习、预警预测、决策优化等；熟悉Python，有过类似科研经历者优先3、参加过数学建模竞赛并取得全国比赛较好成绩的优先考虑4、实习期每周不少于4天，实习工资200元/天，实习时间为3个月及以上者择优转正。,民营  |  50-150人
汽车数据分析工程师,上海机动车检测中心技术有限公司,2.5-3万,上海-奉贤区,本科,在校生/应届生,01-31发布,汽车,北京海淀区五道口,工作描述：根据实验方案和目的分析实验室数据；开发和应用新的统计分析方法到项目中；实验报告的撰写和输出；组织和培训统计知识；协助部门内其它工作等。岗位要求：本科以上学历，统计学，数学等相关专业和学习背景，会编程***；有一定相关工作经验，统计知识扎实的应届生亦可。,国企  |  150-500人
数据分析助理,江苏智恒达投资集团有限公司,4-6千,上海-静安区,本科,在校生/应届生,01-31发布,贸易/进出口,武汉理工大学出版社,岗位责任：1、通过将信息技术、人工智能、大数据、互联网和物联网技术与企业平台经济发展相结合，以技术创新驱动业务创新，推动公司数字化转型和数字化经营，成为行业科技领先企业。2、研究方向和领域：①RFID智能货柜物流周转系统；②视觉识别、自动分拣智能物流系统；③大数据分析和数据智能；④平台智能语音服务；⑤智慧供应链和电商服务平台。任职要求：1、智能制造、人工智能、智能科学与技术、大数据、软件工程、计算机等相关专业本科及以上学历；2、英文六级，***学校毕业；3、至少熟悉一种软件开发语言；4、中共党员和学生干部优先。,民营  |  150-500人
数据分析工程师,深圳市天软科技开发有限公司,5-8千,青岛,本科,在校生/应届生,01-31发布,计算机服务(系统、数据服务、维修),市府路168号浙江东日股份有限公司（合众大厦12层）,工作内容：协助完成项目工作所需的资料查找和整理，追踪行业动态及相关政策；参与项目工作的讨论，记录并整理会议纪要；在顾问指导下开展工作，编写PPT和WORD报告部分内容；参与创新业务方案的相关信息收集和材料准备等。岗位要求：2022年应届毕业生，研二或者大四在校生优先金融工程、商业分析、统计、金融、经济、数学和其他商科类专业优先理解能力强，学习新知识快，逻辑思维能力良好，熟悉PPT、EXCEL和WORD的编辑处理，具备一定数据分析编程能力优先工作认真、负责、踏实，能够接受高强度的工作节奏,民营  |  50-150人
数据分析师（FAT）,上海联和金融信息服务有限公司,6-8千,石家庄-裕华区,大专,在校生/应届生,01-31发布,计算机服务(系统、数据服务、维修),福田保税区市花路联合金融大厦7楼-零在金融,,国企  |  150-500人
数据分析专员,广州市利联贸易有限公司,8千-1万,苏州,本科,在校生/应届生,01-31发布,批发/零售,湖里区金尚路2388号,岗位职责：1、对公司业务数据进行整理、统计、分析；2、协助完成业务部门数据分析需求；任职要求：1、学历要求：统招本科及以上，数学/统计学/财务类相关专业；可接受优秀的应届毕业生2、精通office，熟悉SQL优先；3、较强的逻辑思维能力、学习创新能力、需求分析能力、沟通协调能力，数据敏感性强；,民营  |  50-150人
IT数据分析实习生,哈其德（上海）国际货运代理有限公司,150元/天,上海-虹口区,硕士,在校生/应届生,01-31发布,交通/运输/物流,武汉理工大学出版社,【工作职责】1、负责公司APP的流量渠道投放数据及业务数据分析，产出优化策略，提升ROI；2、以商业分析角度，寻找新客业务的提升点，参与设计各项测试方案，推动并协同获客团队、风控团队、运营团队解决业务痛点；3、协助建立及优化具备新客业务针对性的分析方法，独立完成归因、回归等分析项目，产出分析报告。【任职资格】1、2023年应届生，金融、统计、数学、计量经济等相关专业研究生及以上学历；2、使用SQL，熟悉Python、SAS等数据处理工具；3、数字敏感，逻辑清晰，快速的自主学习能力，独立与创新思考的能力，乐于接受挑战，责任心强；4、对数据分析领域有强烈探知欲望与兴趣。,外资（欧美）  |  50-150人
数据分析专员（2023届）,牧田（中国）有限公司,8-12万/年,成都,本科,在校生/应届生,01-31发布,机械/设备/重工,上海市,岗位职责：1、负责大气污染数据收集、分析，依照项目和客户需求，提供数据服务；2、了解颗粒物、臭氧生成机制，利用国控、省控、气象、组分等监测数据，开展综合分析；3、负责项目售前、售中技术协调，组织项目实施、监督、调整；4、负责与客户对接，协调引导客户需求；5、完成领导交办的其他工作。任职要求：1、本科及以上学历，大气科学/环境科学/环境工程相关专业，硕士优先；2、良好的数据处理和分析能力，熟练运用办公软件和制图工具；3、良好的团队合作及沟通能力，逻辑能力及语言组织表达能力良好，善于提炼总结分析。4、有政府大气项目经验、能独立整理汇报者优先。工作地点：四川省内,外资（非欧美）  |  5000-10000人
