职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,公司福利,公司标签,职位描述或任职要求,规模类型,地区,*n薪,最低年薪,最高年薪,薪酬_n,月薪最小值,月薪最大值
供应链主管,湖南领航教育投资有限公司,6-8千,郴州,大专,3-4年经验,购买五险,教育/培训/院校,任职要求：1、大专及以上学历，供应链管理、物流管理及相关专业；2、3年以上同岗位工作经验，熟悉供应链管理工作流程及相关软件；3、工作态度认真、细心、严谨，有较强的责任心；4、有良好的沟通协调、组织管理能力，抗压能力。,民营  |  150-500人,郴州,,,,6000-8000,6000,8000
供应链总监,深圳市三诺数字科技有限公司,4-5万,深圳-宝安区,本科,10年以上经验,五险一金,电子技术/半导体/集成电路,"职责描述：1、对公司整体供应链的运作负责，参与制定公司发展战略与年度经营计划，组织制定并实施供应链战略规划；2、设计并改善公司供应链系统，制定并完善切实可行的采购、仓储、配送、生产等管理工作流程，实施监控和管理；3、建立完整的供应商开发、维护、跟踪及评估体系,合理控制采购及运输成本；4、按工作程序做好与技术、营销、财务部门的横向联系；5、指导、监督、检查所属下级的各项工作，做好部门人力管理。任职要求：1、本科及以上学历，十五年以上供应链相关管理经验，其中至少十年管理经验，大型电子行业等相关背景优先；2、掌握企业供应链管理的操作模式，并能为企业提供供应链管理的解决方案；3、具有很强的领导能力、判断与决策能力、人际能力、沟通能力、影响力、计划于执行能力；4、熟悉物流行业系统，具有ERP、WMS等数据系统开发及使用经验，对新技术新设备的引入和运用具有前瞻性；5、具有敏锐的市场洞察力，市场反应速度，决策果断，有独立项目运作经验，较强的分析能力和数据敏感度。",民营  |  5000-10000人,深圳,,,,40000-50000,40000,50000
供应链专员,成都颐运通物流有限公司,4.5-6千,成都-锦江区,大专,无需经验,五险一金,交通/运输/物流,?5、相关部门之间的工作和关系协调。?,民营  ,成都,,,,4500-6000,4500,6000
供应链经理/总监 跨境电商,深圳市智目科技有限公司,1.5-2.5万,深圳-龙岗区,本科,5-7年经验,五险一金,互联网/电子商务,供应链经理/总监跨境电商1、制定并管理供应链全盘计划，达到快速反应、成本控制、产品交期、资金利用及质量保证等方面的要求；2、熟悉供应链管理运作流程管控，能够对跨境电商产品采购、物流、仓储、It部门Erp、成本资金等方面资源进行有效规划、整合及优化；3、建立和健全供应商的维护、跟踪及评估体系，制定有效的提升方案，合理管控货品进销存，回货时间等等；4、依据营销计划建立并优化采购计划、仓储物流计划，有效提高资金、仓库利用率，降低库存提高库存管理水平，保证订单及时交付；5、供应链相关部门的人员管理、绩效管理、流程管理，团队建设，具有创业心态；6、公司领导安排的其他工作；任职资格：1、本科及以上学历，3年以上供应链管理经验；2、团队协作能力强，具有系统的成本意识，熟悉金蝶或其他ERP系统，优秀的谈判能力和执行力；3、具有市场供应敏感性及快速反应能力，数据统计分析能力强；5、工作积极主动，具备高度的责任心及必需的职业素养，可以承受高强度的工作压力；6、熟悉供应链全盘（采购、物流、仓储、ERP技术部门）战略管理，制定供应链战略流程管控及目标，支持公司整体战略的实现。,民营  |  50-150人,深圳,,,,15000-25000,15000,25000
供应链业务顾问,深圳薪安易网络科技有限公司,2-3万·14薪,长沙,本科,5-7年经验,五险一金,计算机软件,岗位职责：1、参与公司供应链数字化建设规划，制定数字化建设方案，负责流程梳理、制定解决方案等工作；2、负责公司供应链重点数字化项目方案设计、项目实施推进；3、负责供应链管理趋势、数字化案例梳理，为数字化建设提供输入；4、协助客户制定总体供应链管理指标体系，帮助客户在供应链各个环节上进行价值识别、持续改善，并通过导入信息化和数字化系统，提高管理效率。任职要求：1、本科以上学历，管理类、供应链管理、计算类等相关专业；2、5年以上供应链数字化产品咨询、售前、实施工作经验，在供应链、物资管理领域的数字化转型方面有足够认知洞察能力，具有供应链管理咨询与规划等相关的工作经验优先考虑；3、熟悉供应链流程优化、IT规划等管理咨询方法论，掌握一定数字化转型方法和工具，有较强良好书面表达能力、逻辑思维能力，沟通能力强，有团队协助意识，工作积极主动，具有良好的敬业精神；4、熟练使用Office、Axuer等办公软件；具备较强的写作能力和表达能力，通过PMP认证者优先。,民营  |  少于50人,长沙,14,,,20000-30000,20000,30000
供应链业务总监（数字供销） (MJ000977),中国-东盟信息港股份有限公司,1.6-3万,南宁,本科,5-7年经验,供应链金融,计算机软件,岗位要求：1、负责公司供应链的全面运作，根据公司发展战略与年度经营计划，组织制定并实施供应链战略规划;2、设计并持续改善公司的供应链系统，制定并完善切实可行的采购、仓储、配送、生产计划等管理工作流程，实时监控和管理，对产品按时交付负责;3、建立和健全供应商、承运商的开发、维护、跟踪及评估体系，合理控制采购及运输成本；4、根据供应链金融版块发展整体战略，制定供应链金融版块供应链金融业务发展策略，形成有效的产品和市场开发方案；5、组织团队对供应链金融产品进行需求分析、产品梳理和整合，对供应链金融项目流程设计和优化；任职要求：1、本科及以上学历；8年以上相关行业供应链管理经验；2、熟悉供应链管理各环节的相关流程，能够对生产、采购、物流等方面资源进行有效规划、整合及优化；3、熟悉供应商的评估和询价系统，谈判能力强，有丰富的企业供应商管理经验；4、扎实的物流知识和操作实践经验，协调能力强，拥有较丰富的物流服务商的管理和实际运营经验；5、具有知名企业全盘供应链管理经验，前沿的供应链管理思维，统筹规划能力、沟通谈判能力；6、有头部农资产品生产企业经验优先。,国企  |  500-1000人,南宁,,,,16000-30000,16000,30000
供应链经理,湖北真诚纸业有限公司,1-1.5万,荆州,大专,5-7年经验,绩效奖金,快速消费品(食品、饮料、化妆品),岗位职责：1、全面制定公司整体的供应链管理策略，保证公司采购、计划、仓储、物流各环节的顺畅及对销售的支持。2、对供应链管理流程进行再造和整合，建立高效、规范的供应链管理运作体系，使整个供应链系统成本达到最小。3、开发满足产品和服务的优秀供应商建设和管理战略性供应商合作伙伴关系，控制采购成本，确保采购质量和成本的竞争力。4、和第三方物流公司建立和实施快速配送模式，满足客户需要，监控运输质量，降低运输过程导致的不良品产生。5、为客户提供支持，及时接收客户退回的次品和多余产品，确保客户退回的产品账物一致，并按照公司的相关规定进行科学的处理。6、定期编制和执行供应链预算和费用，监督各事业部达成预算目标。7、供应链团队组建、优化、绩效管理、激励、培训。技能要求：1、大专及以上学历，管理类、供应链类相关专业；2、五年以上供应链相关领域工作经验；3、熟悉供应链，具备专业供应链管理知识和技能；4、优秀的分析、沟通、协调、谈判和领导能力；5、具备高度的责任心及必须的职业素养，可以承受高强度的工作压力。,民营  |  150-500人,荆州,,,,10000-15000,10000,15000
供应链解决方案高级专员,淮安顺丰速运有限公司,1.2-1.8万,淮安,本科,5-7年经验,五险一金,交通/运输/物流,"一、岗位职责：1、可独立进行用户调研访谈和业务流程梳理,深入理解行业供应链现状与痛点；2、能掌控整体，洞悉局部瓶颈并依据具体的业务场景给出解决方案，拥有足够的想像力,能把各种目标需求进行不同维度的扩展，为目标客户提供更为全面的需求清单；3、协调各方资源，并统筹、推动方案落地；4、为客户提供基于方案的培训，帮助客户深入理解方案并能顺利理；二、岗位要求：1、本科及以上学历，物流、运输、仓储等相关专业优先；2、5年以上物流行业相关工作经验，2年以上大中型物流解决方案制定实施工作经验；3、有行业管理经验有较强的数据分析及沟通表达、组织协调能力；4、熟悉生产制造（机械）、工业生产（芯片）、农业生产（渔业、海鲜等）、快消零售（社区团购）等物流业务场景优先；5、计算机及相关办公软件应用熟练。三、郑重声明1.顺丰欢迎优秀离职员工重返公司，顺丰的大门向您敞开；2.此招聘岗位不收取任何费用、押金等，敬请各位求职者知晓，以免受骗损失财物",已上市  |  1000-5000人,淮安,,,,12000-18000,12000,18000
供应链管理经理,杭州象限科技有限公司,1.5-2.5万,杭州-桐庐县,本科,5-7年经验,包三餐,电子技术/半导体/集成电路,岗位职责：1、参与制定并实施公司供应链战略发展规划；2、优化供应链业务流程，建立的供应链管理方法和系统，建立工作规范、标准及流程，并组织实施；收集反馈和优化建议，协同相关部门进行优化方案的共识，并持续后期的推进；3、供应链信息系统的建立，对接供应链管理系统的开发工作，包括业务需求收集/探讨、蓝图方案签署、组织协调功能模块的测试，系统测试问题点的记录及解决方案的跟进等工作；4、物料主数据管理，主要为物料主数据的新增、修改流程审批工作，确保主数据准确性。任职要求：1、本科以上学历，工科专业优先；2、5年以上供应链相关领域管理工作经验；3、熟悉供应链管理，拥有丰富的生产管理、成本控制、质量管理、采购管理、物流管理方面的经验；4、有搭建/优化供应链信息系统经验者优先。,民营  |  1000-5000人,杭州,,,,15000-25000,15000,25000
供应链运营经理,广东苏茵茵企业管理有限公司,1.2-1.5万,广州-白云区,大专,3-4年经验,数据分析,互联网/电子商务,岗位职责：1、负责管理供应链生产计划安排，及异常数据分析；2、供应商数据运营，分析产品开发，生产管理，品控，技术部各部门运营数据情况，做出数据分析，推动流程，制度优化；3、供应链信息化建设推动；4、供应商管理，鞋服类供应商统筹管理，供应商准入，准出，月绩效等级评定，推动供应商优化。任职要求：1、专科以上学历，统计学、数学或电子自动化及相关专业，2年以上公司运营分析管理经验；2、具有数据统计及分析经验，能够熟练使用统计分析相关软件，能独立进行分析工作及对各部门沟通，有App数据分析经验优先考虑；3、具备良好的学习能力，优秀的文档能力、较强的推动能力和执行力；4、善于沟通，有良好的协调能力和优秀的团队协作精神；5、责任心强，逻辑思维清晰，专注细节，且具备持续改善精神；6、熟练使用EXCEL，可独立撰写PPT分析报告。,民营  |  150-500人,广州,,,,12000-15000,12000,15000
供应链总监,广东麦斯卡体育股份有限公司,1.2-2万,广州-花都区,大专,5-7年经验,供应链,娱乐/休闲/体育,1.根据公司目标，参与公司供应链体系的规划，把公司的供应链战略目标分解为阶段目标和实施计划，推动项目进行；2.根据公司发展战略，负责制定、完善供应链体系流程优化管理，提升运作效率并降低成本，把控货品品质；3.与部门配合，解决供应链各环节出现的问题，针对不同品类的产品，研究从供应商采购、品质、物流、PMC等环节的解决方案，确保质量、成本、风险、效率；4.优化供应链条各部门间沟通机制，供应链与销售部门沟通机制；5.开发供应商体系，实施采购工作，沟通协调产品价格、及服务等相关工作；6.协助牵头制定供应商管理体系，从生产、交付、在途、质量保证、付款条件、合作约定等条款形成对供应商的约束，使双方合作共赢。岗位要求：1.本科及以上学历，管理类、物流类、供应链类相关专业；2.3-5年及以上供应链体系相关工作经验；3.熟悉供应链关键环节，如供应商管理、采购管理、仓储管理、物流管理有实操经验并有较深刻的理解，熟悉相关质量评估体系；4.具备优秀的分析、沟通、协调、谈判能力和市场洞察力，熟悉和掌握市场行情、对数据高度敏感，对新产品具有较强的敏锐度；5.熟悉供应链、采购、物流各个操作环节，具备专业供应链管理知识和技能，对企业ERP及相关质量管理体系有很好的理解；6.具备开发供应商、管理和评估供应商的能力；7.具备较好的跨部门协调沟通能力、资源整合能力、团队管理能力。,外资（非欧美）  |  150-500人,广州,,,,12000-20000,12000,20000
供应链总监,广州等我送上门餐饮有限公司,1-2万,广州-海珠区,本科,3-4年经验,节日福利,餐饮业,1、全面统筹公司采购及供应工作，包括日常采购和预算制定、关键业务指标的达成和相应团队的管理；2、根据公司战略及年度经营计划，组织制定并实施供应链战略规划，包括但不限于产品开发计划、采购计划、物流成本计划、物流体系搭建计划、产品品控体体系等；3、改善公司供应链系统，从产品开发、采购、品控、物流、售后等管理工作流程，实施监控和管理；建立健全采购管理体系及流程、价格管理体系、完善的生产操作流程及标准；紧密跟踪采购物资市场价格走向和变化，合理管控采购成本；4、制定供应商管理体系，建立健全供应商、承运商的开发、维护及体系评估，建立并完善我司产品库，实施采购工作，沟通协调产品价格、服务等相关工作；5、全面负责第三方配送中心管理工作，完善供应链体系流程优化管理，确保配送中心根据要求按时按质配送至辖下门店，提升运作效率并降低成本；6、从各种渠道获取市场、商业数据，指导供应链随时调整以达到资源化利用；7、优化供应链条各部门间沟通机制，组织各部门有效推动工作，完成目标。8、负责审核中心各部门组织架构、岗位职责、人员编制；培训、考核、奖惩直接下属。9、负责新开发项目投资可行性分析。任职要求1.35岁以上，具有10年餐饮业供应链管理知识及实操经验，且具有15年以上餐饮工作组织管理能力；食材采购（包括水产海鲜，肉类等）经验，同等级别管理岗位3年以上管理经历；2.工商管理专业优先3.精通供应商管理、采购策略制定、采购管理制度及流程建设；有丰富的供应商管理、合作经验；具备项目统筹能力，能够协调和推进公司各支持部门完成项目落地及后续效率优化逻辑性强，具有较强的市场分析和数据分析能力，擅长资源规划与整合，具备优秀的合同谈判能力和成本控制意识,民营  |  150-500人,广州,,,,10000-20000,10000,20000
供应链管理经理,杭州象限科技有限公司,1.5-2.5万,杭州-桐庐县,本科,5-7年经验,包三餐,电子技术/半导体/集成电路,岗位职责：1、参与制定并实施公司供应链战略发展规划；2、优化供应链业务流程，建立的供应链管理方法和系统，建立工作规范、标准及流程，并组织实施；收集反馈和优化建议，协同相关部门进行优化方案的共识，并持续后期的推进；3、供应链信息系统的建立，对接供应链管理系统的开发工作，包括业务需求收集/探讨、蓝图方案签署、组织协调功能模块的测试，系统测试问题点的记录及解决方案的跟进等工作；4、物料主数据管理，主要为物料主数据的新增、修改流程审批工作，确保主数据准确性。任职要求：1、本科以上学历，工科专业优先；2、5年以上供应链相关领域管理工作经验；3、熟悉供应链管理，拥有丰富的生产管理、成本控制、质量管理、采购管理、物流管理方面的经验；4、有搭建/优化供应链信息系统经验者优先。,民营  |  1000-5000人,杭州,,,,15000-25000,15000,25000
供应链经理,达喏人工智能科技（上海）有限公司,1.5-2万·14薪,上海-黄浦区,大专,3-4年经验,五险一金,计算机软件,职位描述：1、负责电商供应链全链路搭建，全面涉及采购管理、预测&计划、库存管理、国际货运、仓储管理、退货管理、成本管控等，推动自营供应链链路优化完善；2、从0-1搭建搭建自营仓储和供应链流程，为自营不同合作模式提供合理供应链解决方案3、与仓储、财务、产品等多团队高效协同，推动系统项目的落地，以及财务结算及商品进销存管理4、上级交办的其他事项。职位要求：1、大专以上学历，3年以上电商供应链行业的全流程规划及管理经验，有业界知名代运营供应链管理经验者优先；2、至少熟悉电商供应链、采购管理、计划预测、国际仓储、跨境物流等某个业务领域3、良好的逻辑思维、沟通表达、跨团队协同及项目管理能力4、有推动复杂问题解决的主观能动性和创新意识,民营  |  500-1000人,上海,14,,,15000-20000,15000,20000
采购经理/供应链经理/总监,果尔佳建筑产业有限公司,1.3-2.5万,深圳-龙岗区,本科,5-7年经验,供应链,建筑/建材/工程,"岗位职责：必须有供应链、OEM相关工作经验1、根据公司产品品牌类目拓展新需求，寻找合适的OEM合作伙伴，制定管理标准并实施监管，保证产品质量，提升消费者满意度；2、统筹物流仓储各项管理工作，实现物流的高效运转，合理管理库存及产品的有效期；3、指导采购部进行建筑防护及周边产品采购工作，梳理并制定流程及标准，降本增效；4、负责商城线上平台的客服工作监管，包括但不限于及时响应、询单转化、标准话术输出、售后处理；5、负责线上电商渠道/商城后端所有的产品支持工作，包括但不限于（订单计划、生产排单、产品品控、仓储采购、物流、客服）等全链条工作。6、负责部门和业务流程体系的搭建，负责采购全盘工作等7、OEM供应链搭建，负责供应链业务/采购合同等等任职要求：1.本科以上学历，管理类、物流类、供应链类相关专业；2.熟悉供应链关键环节有实操经验并有较深刻的理解，熟悉相关质量评估体系；3.具备优秀的分析、沟通、协调、谈判能力和敏锐市场洞察力、熟悉和掌握市场行情、对数据高度敏感，对新产品具有较强的敏锐度；4.熟悉供应链、采购、物流、商城等各个操作环节，具备专业供应链管理知识和技能，对企业ERP及相关质量管理体系有很好的理解。5.具体待遇面议；福利待遇：1、工作时间：五天制，周末双休（9:00--12:30,13:30--18:00）2、用餐：提供卫生可口的午餐晚餐；3、五险一金：入职购买五险一金（养老、医疗、生育、工伤、失业和住房公积金）；4、交通便利：14号线（宝龙站）地铁口写字楼；5、节日福利：享受国家法定节假日，节日福利，带薪年假、婚假、产假、陪护假、丧假等；6、薪酬待遇：全勤奖、工龄奖、富有竞争力的薪酬，根据个人能力享有晋升通道。【公司荣誉】：果尔佳集团，主要围绕建筑防护产品、建筑防护工程、电商店铺、筑手工业互联网平台、职业技能培训学校等多元化的业务经营形态，依托集团、人才、技术、平台等资源与优势，铸造建筑防护全产业生态链！*深圳知名品牌*广东省名牌产品*广东省著名商标*国家高新技术企业*深圳市高新技术企业*国家一级施工资质企业*国家标准制定参编单位*获36项实用新型专利和1项发明专利***我们地处龙岗宝龙科技之城，我们拥有着优秀的企业文化，我们正在寻找优秀的你加盟，众目期待，热烈欢迎你光临！***地址：深圳市龙岗区宝龙街道宝龙四路智慧家园2栋C座501",民营  |  150-500人,深圳,,,,13000-25000,13000,25000
供应链管理经理,杭州象限科技有限公司,1.5-2.5万,杭州-桐庐县,本科,5-7年经验,包三餐,电子技术/半导体/集成电路,岗位职责：1、参与制定并实施公司供应链战略发展规划；2、优化供应链业务流程，建立的供应链管理方法和系统，建立工作规范、标准及流程，并组织实施；收集反馈和优化建议，协同相关部门进行优化方案的共识，并持续后期的推进；3、供应链信息系统的建立，对接供应链管理系统的开发工作，包括业务需求收集/探讨、蓝图方案签署、组织协调功能模块的测试，系统测试问题点的记录及解决方案的跟进等工作；4、物料主数据管理，主要为物料主数据的新增、修改流程审批工作，确保主数据准确性。任职要求：1、本科以上学历，工科专业优先；2、5年以上供应链相关领域管理工作经验；3、熟悉供应链管理，拥有丰富的生产管理、成本控制、质量管理、采购管理、物流管理方面的经验；4、有搭建/优化供应链信息系统经验者优先。,民营  |  1000-5000人,杭州,,,,15000-25000,15000,25000
供应链采购主管,上海达迈生物科技有限公司,8千-1.2万·14薪,上海-徐汇区,本科,3-4年经验,采购,医疗设备/器械,职位描述：1、根据公司战略发展目标制定采购计划与预算，负责采购谈判，落实采购计划；2、建立供应商评估体系，健全供应商档案资料，完成供应链系统搭建，以适应公司不断扩展的业务需求；3、实时掌握供应市场变化动态，分析和评估目标市场，对产品成本进行核算，找准采购时机，降低采购成本4、审核采购合同各项条款、采购清单及相关文件，降低采购风险。5、其他供应链相关事项；任职要求：1、3年以上生命科学行业采购经验，生物、化学、供应链等相关专业本科以上学历优先；2、熟悉现代化采购管理流程、成本控制管理等，有丰富的渠道资源、供应商管理和合作经验优先；3、具有较强的数据分析能力、沟通协调能力、谈判议价能力及解决问题的能力；4、工作主动性强、细心认真、团队合作性高；5、较强的责任感和服务意识，承压能力较强。,民营  |  少于50人,上海,14,,,8000-12000,8000,12000
供应链管理经理,杭州象限科技有限公司,1.5-2.5万,杭州-桐庐县,本科,5-7年经验,包三餐,电子技术/半导体/集成电路,岗位职责：1、参与制定并实施公司供应链战略发展规划；2、优化供应链业务流程，建立的供应链管理方法和系统，建立工作规范、标准及流程，并组织实施；收集反馈和优化建议，协同相关部门进行优化方案的共识，并持续后期的推进；3、供应链信息系统的建立，对接供应链管理系统的开发工作，包括业务需求收集/探讨、蓝图方案签署、组织协调功能模块的测试，系统测试问题点的记录及解决方案的跟进等工作；4、物料主数据管理，主要为物料主数据的新增、修改流程审批工作，确保主数据准确性。任职要求：1、本科以上学历，工科专业优先；2、5年以上供应链相关领域管理工作经验；3、熟悉供应链管理，拥有丰富的生产管理、成本控制、质量管理、采购管理、物流管理方面的经验；4、有搭建/优化供应链信息系统经验者优先。,民营  |  1000-5000人,杭州,,,,15000-25000,15000,25000
供应链工程师,常州普瑞流体技术有限公司,8千-1.2万·14薪,常州-新北区,大专,3-4年经验,供应商管理,机械/设备/重工,此岗位非管理岗位，机械行业，多品种小批量采购经验！！！优秀机械专业应届生亦可考虑！1、负责新供应商开发，供应商资源库的整合。2、负责产品价格谈判、价格体系搭建及评估、规范采购价格。3、了解供应商生产工艺、流程、关键控制点及产能状况，协助解决交付问题，辅导供应商共同成长，合作共赢。4、处理和协调供应商之间的关系，迅速解决交期问题，并提高交付质量。任职要求：1、熟练操作电脑办公软件，熟悉ERP系统（熟练鼎捷易飞的优先）操作和理解ERP系统相关内容模块2、熟悉采购环节的运作。具备优秀的全局管理和协调能力3、拥有良好的沟通及处理异常能力，强有力的数据分析和执行能力4、适应高强度的工作安排，做事有条理，有较强的逻辑思维能力5、三年以上机电一体制造型企业相关工作经验。,合资  |  50-150人,常州,14,,,8000-12000,8000,12000
供应链经理/总监,上海品上浆纸（集团）有限公司,1.8-3万,上海-闵行区,本科,8-9年经验,五险一金,互联网/电子商务,品牌电商公司，家清，纸品、快消1、负责推进公司OEM供应商管理，建立公司OEM工厂、仓储和物流合作供应商管理机制，推动项目供应链良性发展；2、整体仓网的规划和优化设计，包括仓库选址、布局，操作流程优化，组建高效供应链团队，为其建立规范完善的管理流程，为电商运营提供高效的供应保障服务；3、建立和健全供应商、承运商的开发、维护、跟踪及评估体系，合理控制成本并保证品质，协调与合作方在业务处理过程中遇到的疑难问题，确保业务的顺利开展4、负责对公司供应链端的全流程优化及管理，持续改善供应商/商品分类管理，SOP、OTB，订单管理，运配健康，库存，打样、质检、验收结算等，与合作方沟通协调，不断提升供应链效率与服务水平5、定期编制、执行分析和动态管理供应链的预算和费用，善于利用行业信息及新方式降低成本。6、配合品牌与运营部门的其他工作。任职需求：1、本科及以上学历，物流及供应链等相关专业，熟悉供应链管理全流程各环节对应的标准要求和管控措施：采购、计划、工艺、委外生产、质量、订单跟踪、仓储物流。2、有不低于3年快消品电商行业的供应链实务经验和供应链管理工作经验；家清纸品行业优先。3、具有良好的沟通协调能力、团队管理能力，熟悉供应链管理机制，熟悉电商物流仓储管理业务；4、优秀的人际关系能力，较强的问题分析和优秀的执行与推动能力，有一定抗压能力。,民营  |  150-500人,上海,,,,18000-30000,18000,30000
供应链管理经理,杭州象限科技有限公司,1.5-2.5万,杭州-桐庐县,本科,5-7年经验,包三餐,电子技术/半导体/集成电路,岗位职责：1、参与制定并实施公司供应链战略发展规划；2、优化供应链业务流程，建立的供应链管理方法和系统，建立工作规范、标准及流程，并组织实施；收集反馈和优化建议，协同相关部门进行优化方案的共识，并持续后期的推进；3、供应链信息系统的建立，对接供应链管理系统的开发工作，包括业务需求收集/探讨、蓝图方案签署、组织协调功能模块的测试，系统测试问题点的记录及解决方案的跟进等工作；4、物料主数据管理，主要为物料主数据的新增、修改流程审批工作，确保主数据准确性。任职要求：1、本科以上学历，工科专业优先；2、5年以上供应链相关领域管理工作经验；3、熟悉供应链管理，拥有丰富的生产管理、成本控制、质量管理、采购管理、物流管理方面的经验；4、有搭建/优化供应链信息系统经验者优先。,民营  |  1000-5000人,杭州,,,,15000-25000,15000,25000
供应链专员,广州伊韵电子商贸有限公司,5-7千,广州-番禺区,大专,1年经验,带薪年假,互联网/电子商务,岗位职责：1、负责化妆品进口及保税仓报关事务，跟进货物进口的整个流程，跟踪货物入仓进度；2、负责与仓库，报关公司及货代公司等外部服务商的对接沟通，负责处理进出仓申报，货物区间调拨的相关事宜；3、负责整理月度库存出入库表格，包括但不仅限于货物调拨、库存核对等；4、跟进保税区仓库、一般贸易仓的出入库操作及库管管理优化等；3、B2C异常订单跟进处理，对接一般贸易仓库进出库；5、供应链其他相关工作及领导交办的其他工作任务。任职要求：1、大专以上学历，国际贸易、物流管理等相关专业；2、1年及以上美妆个护品类一般贸易和跨境电商进口实操经验，同时熟悉化妆品大贸仓和保税仓库存管理及有实操经验；3、能熟练运用EXCEL等办公软件，熟悉ERP流程和操作、进销存，熟悉保税区操作；4、沟通协调能力强，工作细心负责，思维清晰有条理、有责任心。,民营  |  50-150人,广州,,,,5000-7000,5000,7000
供应链业务总监,上海新富汇贸易有限公司,1.2-2.4万,上海-浦东新区,本科,5-7年经验,五险一金,批发/零售,岗位职责：1、根据公司发展战略，制定、建立、完善商品供应链战略部署，以及各上下游企业的统筹协调工作；2、设计并改善供应链系统，制定并完善切实可行的计划、采购、仓储、配送等管理工作流程，实施监控和管理，并根据业务发展不断优化；3、建立和健全供应商的开发、维护、跟踪及评估体系，***限度地开发与整合利用资源合理控制采购成本；4、确保供应链业务运作规范、高效；5、执行分析和动态管理供应链的预算和费用。任职要求：1、本科及以上学历，5年以上供应链相关领域工作经验；2、必须具有供应链上下游全产业管理经验及相关资源（行业和产品类别不限）；3、熟悉供应链各个操作环节，具备专业供应链管理知识和技能；4、有业务判断能力，具备很强的供应链规划和整合能力，创新能力、分析问题及解决问题的能力；5、熟悉供应商的评估和询价系统，谈判能力强，有丰富的供应商管理和运营经验。,外资（非欧美）  |  少于50人,上海,,,,12000-24000,12000,24000
供应链管理经理,杭州象限科技有限公司,1.5-2.5万,杭州-桐庐县,本科,5-7年经验,包三餐,电子技术/半导体/集成电路,岗位职责：1、参与制定并实施公司供应链战略发展规划；2、优化供应链业务流程，建立的供应链管理方法和系统，建立工作规范、标准及流程，并组织实施；收集反馈和优化建议，协同相关部门进行优化方案的共识，并持续后期的推进；3、供应链信息系统的建立，对接供应链管理系统的开发工作，包括业务需求收集/探讨、蓝图方案签署、组织协调功能模块的测试，系统测试问题点的记录及解决方案的跟进等工作；4、物料主数据管理，主要为物料主数据的新增、修改流程审批工作，确保主数据准确性。任职要求：1、本科以上学历，工科专业优先；2、5年以上供应链相关领域管理工作经验；3、熟悉供应链管理，拥有丰富的生产管理、成本控制、质量管理、采购管理、物流管理方面的经验；4、有搭建/优化供应链信息系统经验者优先。,民营  |  1000-5000人,杭州,,,,15000-25000,15000,25000
供应链工程师,武汉美格科技股份有限公司,7千-1.2万,武汉-东湖新技术产业开发区,本科,5-7年经验,弹性工作,新能源,1.对供应链环节的计划、采购、仓储、物流、生产等工作规范和流程实施监控和管理；2.新供应链的开发（新品项目需求、模具、机构、材料等）；3.配合产品部各项零部件的打样及申购；4.完成批量采购及议价。任职资格：1.理工科本科以上学历。2.具备供应链规划和整合能力，对计划控制、物流或采购管理具有强烈的前瞻性和敏感性；3.具有良好的抗压能力及适应性，出色的计划、领导和组织能力。,民营  |  150-500人,武汉,,,,7000-12000,7000,12000
供应链副经理,广东医谷产业园投资管理股份有限公司,8千-1万,广州-南沙区,本科,3-4年经验,18薪,多元化业务集团公司,岗位职责：1、参与制定公司发展战略与年度经营计划，组织制定并实施供应链战略规划；2、设计并改善公司供应链系统，制定并完善切实可行的采购、仓储、配送等管理工作流程，实施监控和管理，确保产品质量，并根据业务的变化不断优化；3、建立和健全供应商、承运商的开发、维护、跟踪及评估体系，合理控制采购及运输成本并保证品质；4、提升供应链团队能力，确保供应链业务运作规范、高效；5、相关部门之间的工作关系协调。岗位要求：1、本科及以上学历，管理类、物流类、供应链类、生物类等相关专业；2、3-5年供应链相关领域管理工作经验，优秀人员可适当放宽条件；3、熟悉计划管理（MRP或者PMC），思维有全局性和前瞻性；4、熟悉仓储物流作业，有医疗行业经验优先考虑；5、熟悉供应链管理，对生产管理、成本控制、质量管理、采购管理、物流管理方面有深刻认知。,民营  |  少于50人,广州,,,,8000-10000,8000,10000
供应链经理（骨科）,嘉事国润（上海）医疗科技有限公司,3-4万,上海-黄浦区,本科,5-7年经验,五险一金,医疗设备/器械,岗位职责：1、制定、组织、协调公司采购计划，达成公司所期望的采购货物种类、库存和利润目标；2、负责编制和审核采购计划与采购预算；3、设计并改善公司物流、供应链系统，制定并完善切实可行的采购、仓储、配送等管理工作流程，完善、管理及优化公司的配送网络，并实施监控和管理；4、建立和健全供应商、承运商的开发、维护、跟踪及评估体系，合理控制采购及运输成本；5、客户服务、客户投诉及运输事故的处理，采取有效预防措施，降低客户投诉率；6、发展、选择和处理供应商关系，如价格谈判、采购环境、产品质量、供应链等；7、改进采购的工作流程和标准，减少库存的单位保存时间和额外收入的发生，以达到存货周转的目标；8、向管理层提供采购/物流/产销分析报告；9、发展和维护与其他相关职能部门的内部沟通渠道。任职要求：1、统招本科学历及以上；2、工作经历5年以上，有医疗行业相关经验历优先；3、熟练使用供应链相关系统软件，不仅限于OMS\ERP\WMS；4、具有很好的沟通能力、协作能力和数据分析能力。,国企  |  150-500人,上海,,,,30000-40000,30000,40000
