职位名称,公司名称,薪酬,城市地区,学历要求,工作经验要求,发布时间,公司标签,工作地点,职位描述或任职要求,规模类型
安卓Android开发工程师,巨擎网络科技（济南）有限公司,1.3-1.8万,上海-松江区,本科,3-4年经验,01-29发布,计算机软件,,职责描述：1、参与项目需求分析，负责软件设计、APP的开发；1、负责C#平台软件的开发与维护；2、负责项目的需求分析与开发周期评估；3、解决测试反馈的Bug；4、总结开发经验，编写相关的技术文档。任职要求：1、计算机、自动化、通信、电子及相关专业本科及以上学历；2、3年以上C#软件开发经验，精通面向对象编程技术，熟悉常见设计模式，掌握常用数据结构和算法，有良好的编码习惯；3、熟练VS开发平台，熟练掌握C#语言，具有较强的逻辑思维能力；4、熟悉.net开发框架，熟练掌握WinForm、WPF、WCF、EF界面开发流程；5、熟悉数据库开发，掌握至少一种数据库开发语言（SQL，Oracle等）；6、熟练掌握Windows平台进程、多线程、消息机制，熟悉Linux系统优先；7、能适应出差，良好的团队协作能力。,民营  |  少于50人
安卓开发工程师,北京尖峰计算机系统有限公司武汉分公司,8千-1.5万,昆山,本科,2年经验,01-29发布,计算机软件,,工作职责:工作概要JobPurpose：基于ARM平台，进行Android系统开发维护，外设porting，定制服务，功能验证，文档整理等工作。工作任务Task：(1)AndroidOS开发移植，包括wifi/BT，4G/5G模块调试，display/camera/audioHAL/AIDL开发调试等。(2)Android系统客制化：文件系统裁剪，开机速度优化，UI客制化，开机动画，launcher定制，setting定制，系统权限和黑白名单功能开发。(3)Android特殊功能实现，比如audio多通路，多屏异显以及多摄像头实现等。(4)Android平台的简单APP开发，测试程序开发和Demo程序开发。(5)嵌入式产品Android/Linux系统的维护，客户支持等任职资格:专业知识与技能ProfessionalKnowledgeandskill：(1)熟悉Android系统架构以及源码(2)熟悉并实际开发过Androidframework，HAL/AIDL以及APP(3)精通java以及C++语言(4)熟悉嵌入式Linux内核裁减、编译(5)掌握Linux设备树相关知识尤佳教育背景Education：科以上学历，计算机科学与技术相关专业语言要求Language：普通话标准，英语四级其他Others：(1)勤奋踏实、积极主动，有责任心；(2)对技术有热情，有团队合作精神;,民营  |  50-150人
安卓Android开发工程师,巨擎网络科技（济南）有限公司,1.3-1.8万,上海-浦东新区,本科,3-4年经验,01-27发布,计算机软件,,岗位职责：1、负责Android平板APP智能工具柜APP设计及研发；2、负责硬件驱动设计3、云平台的对接，包括自有SAAS平台、微信小程序、第三方设计及对接；3、负责项目技术文档的编写和项目资料的归档；4、按照产品及项目计划，按时提交高质量代码，完成开发任务；5、完成上级分配的其他工作。岗位要求：1、计算机相关专业本科以上学历，三年以上Android开发经验；2、对Android系统架构有深入的理解，熟悉Java程序设计、JSON/XML解析、常用设计模式、基本的数据结构与算法、熟悉sqllite数据库，HTTP协议等；3、有实际上线项目开发经验，能独立完成Android客户端的开发工作及后期维护BUG修复工作；4、精通Android硬件通信接口，如rs232、RS485、TTL、modbusTCP/RTU等、数据存储、UI布局、动画与控件等的使用，熟悉多线程编程、网络编程、Service等；5、熟悉AndroidNative层开发并有相关完整项目开发经验；6、善于沟通与团队协作、责任心强、热爱学习，具有较强的执行能力和抗压能力，能保证项目的进度和质量；,民营  |  少于50人
安卓开发工程师（江苏国钥云）,江苏康缘集团有限责任公司,1.8-2.5万,深圳-龙岗区,本科,2年经验,01-29发布,制药/生物工程,,"[岗位职责]1、根据公司业务需求，负责安卓客户端开发；2、能够对公司现有的移动端产品（安卓端)进行维护和升级；3、全程参与手机App产品需求、功能等讨论，并根据需求出设计方案；4、按进度要求完成项目计划。[任职资格]1、本科及以上学历，计算机、软件、信息等相关专业；2、一年及以上安卓平台客户端开发经验,熟悉Android开发平台及框架原理；3.熟悉APP生命周期，内存管理，能够对APP进行性能优化，内存优化，解决内存泄漏，内存溢出，ANR等问题;4.熟练使用Androidstudio开发工具；5.撑握Android与JS交互；6.对数据结构、基本算法熟练掌握，并具备基本算法设计能力；7.对常用开源框架源码具有自己的见解；8.熟练使用Android的服务和广播；9.熟练使用Android的数据存储；10.熟练使用线程和异步处理；11.有蓝牙开发和消息推送相关经验者优先.上班时间：五天八小时，周末双休公司福利：五险一金，节日礼品，法定假日，专业培训，工龄奖金，通讯补贴，带薪年假上班地点：深圳市龙岗区大运软件小镇53栋-1三楼",民营  |  5000-10000人
安卓开发工程师,隆鑫通用动力股份有限公司,1-1.5万,上海-金山区,本科,3-4年经验,01-29发布,机械/设备/重工,,1、负责Android平台下的APP应用开发、整体构架设计；2、熟练掌握Java或kotlin开发语言，熟悉HTTP等基本协议;3、负责Android平台上的技术攻关，确保开发质量；4、负责根据产品需求完成模块设计、编码、编码集成工作、完成接口数据对接；5、根据产品需求完成架构和系统设计、制订开发计划；任职资格：1、本科及以上学历，计算机相关专业优先；2、熟悉Android系统架构及相关技术;3、3年以上相关工作经验；4、有完整的Android项目经验；5、良好的代码编写习惯，有进取心、求知欲强烈，对工作充满热情；6、熟悉常用算法、数据结构、多线程、数据库等领域知识。7、熟悉ios优先,已上市  |  5000-10000人
安卓APP开发工程师,广东物控联动智能科技有限公司,8千-1.2万,广州-黄埔区,本科,3-4年经验,01-29发布,电气/电力/水利,,"工作职责：1、负责公司的安卓软件产品的研发，产品缺陷处理，功能模块的设计、开发。2、根据市场和项目的需要，有独立完成模块分析设计、开发能力；项目需求可以到客户现场负责银行相关系统开发及项目部署、实施和支持。3、完成产品经理安排的开发任务及相关系统的架构设计。4、按时提交软件源代码，对完成的程序及代码作初步测试等。5、协助编制用户手册、安装手册等产品文档。岗位要求：1、	计算机相关专业，本科或以上学历。2、	熟练Java和Kotlin开发语言。具备3年或以上Android开发经验，掌握Android移动应用程序架构设计、开发、升级和维护，熟悉APP发布及上架流程。3、	熟悉Android开发平台的框架原理，熟悉Android应用开发流程，熟练掌握AndroidUI开发技能，熟练使用AndroidSDK。4、	熟悉Android网络通信机制，对Socket通信、TCPIP和HTTP有较深刻的理解和经验。熟悉基本的无线协议，如GSM/GPRS/CDMA和SDL。5、	熟悉Android下的串口开发、网络开发、NDK开发、多线程开发、第三方SDK调用、封装SDK给第三方。6、	具有独立承担功能模块开发的能力。7、	良好的代码编写习惯与逻辑思维能力、分析与定位问题的能力。8、	良好的沟通协调能力和团队合作精神，能承受较大的工作压力。薪资福利待遇：待遇具体面议，六险一金+餐补+免费班车+年终奖广电运通将为你提供：具有竞争力的薪酬待遇及每年公平匹配的调薪机制。按照国家规定和政策为员工购买社保五险及住房公积金。各类培训学习机会，提供综合全面的职业晋升通道。5天8小时工作制，劳逸结合，享受国家规定的各类假期。免除员工挤公交之苦的多线路上下班班车，内部饭堂及宿舍。为符合条件的员工办理档案***及落户广州，安居乐业。年度体检、团队旅游等其他公司和部门福利及活动。工作地点：广州市黄埔区科学城科林路9、11号，广电运通产业园",民营  |  50-150人
安卓开发工程师,鲁鸿科技（深圳）有限公司,8千-1.3万,上海-青浦区,大专,2年经验,01-28发布,电子技术/半导体/集成电路,,岗位职责1.负责AndroidAPP功能界面开发、迭代升级；2.参与需求分析、系统讨论、接口需求编写等；3.根据业务需求开发代码、bug修复、市场发布，按照实际需求按时按量提交任务。4.负责应用系统的相关文档编写以及运维信息统计等；职位要求1、有2年以上Android实际开发经验；2、熟悉Android开发平台框架原理，理解面向对象的设计模式，对数据结构、基本算法熟悉，了解MVC、MVP等开发模式；3、精通AndroidUI布局、绘制、事件分发传递原理，熟悉自定义View开发；4、熟悉Android网络通信，对Socket通信、TCP/IP、HTTP等有了解；5、有LBS、地图、导航等相关工作经验，有了解各大主流地图应用特性者优先；6、思维清晰、敏捷；有较好的学习能力、沟通能力，能承受一定的工作压力；7、具备良好合作态度及团队精神，并富有工作激情、创新力和高度的责任感。,民营  |  少于50人
安卓软件开发工程师,庆峰医疗技术（广州）有限公司,7千-1.2万,深圳-龙岗区,本科,1年经验,01-29发布,医疗设备/器械,,"[岗位职责]1、根据公司业务需求，负责安卓客户端开发；2、能够对公司现有的移动端产品（安卓端)进行维护和升级；3、全程参与手机App产品需求、功能等讨论，并根据需求出设计方案；4、按进度要求完成项目计划。[任职资格]1、本科及以上学历，计算机、软件、信息等相关专业；2、一年及以上安卓平台客户端开发经验,熟悉Android开发平台及框架原理；3.熟悉APP生命周期，内存管理，能够对APP进行性能优化，内存优化，解决内存泄漏，内存溢出，ANR等问题;4.熟练使用Androidstudio开发工具；5.撑握Android与JS交互；6.对数据结构、基本算法熟练掌握，并具备基本算法设计能力；7.对常用开源框架源码具有自己的见解；8.熟练使用Android的服务和广播；9.熟练使用Android的数据存储；10.熟练使用线程和异步处理；11.有蓝牙开发和消息推送相关经验者优先.上班时间：五天八小时，周末双休公司福利：五险一金，节日礼品，法定假日，专业培训，工龄奖金，通讯补贴，带薪年假上班地点：深圳市龙岗区大运软件小镇53栋-1三楼",民营  |  少于50人
安卓Android开发工程师,长春智动科技有限公司,6千-1万,常州,大专,5-7年经验,01-29发布,计算机软件,,,民营  |  50-150人
安卓开发工程师,江苏爱亿企科技有限公司,2-2.5万·13薪,惠州,本科,2年经验,01-29发布,计算机软件,,岗位职责：1、负责Androidapp开发与设计；2、负责Androidapp性能优化与问题分析；3、与项目相关人员配合共同完成应用软件的开发设计工作。职责要求：1、熟练使用使用AndroidStudio等开发功能；2、参与应用需求的分析，负责相关设计文档编写；3、熟悉多线程、内存管理、Json、加解密及Xml数据结构及数据解析、熟悉SDK开发环境及底层API调用；4、熟练掌握Android各类组件，以及界面绘制、后台运行、数据存储等原理；5、熟练掌握Android开发技能；对APP性能优化和内存优化有一定了解，熟练掌握Android代码调试和调优技术；6、具有良好的沟通技能，文档编写能力，团队合作能力；对技术有强烈的兴趣，喜欢钻研，具有良好的学习能力。,民营  
安卓研发工程师,港福珠宝（深圳）有限公司,1-1.5万,成都-武侯区,本科,5-7年经验,01-29发布,奢侈品/收藏品/工艺品/珠宝,,,民营  |  150-500人
安卓系统（驱动）工程师,深圳市巨诺电子有限公司,1.5-2万,武汉-江汉区,本科,3-4年经验,01-29发布,电子技术/半导体/集成电路,,岗位职责：1.负责Andorid平台产品的核心框架的设计和改进；2.负责项目技术难点攻关；3.完成Android平台产品的开发工作；4.实现与服务器端的接***互；5.配合测试人员进行自动化测试。任职要求：1.统招本科及以上学历2.3年及以上Android平台开发经验；3.精通Android平台及框架原理以及应用程序的设计和开发；4.精通Android自定义UI的实现；5.熟悉AndroidApp的性能优化；6.熟悉Android平台安全防护策略；7.了解hybirdapp研发，熟悉html和javascript；8.对改进移动端用户体验有自己的见解。,民营  |  150-500人
安卓开发工程师,久游网,1.1-2万,北京,本科,3-4年经验,01-28发布,网络游戏,,岗位职责：1.负责Android设备驱动的开发与调试；2.负责智能穿戴等底层系统的性能与优化、功耗优化、稳定性优化工作；3.与硬件人员配合，进行硬件驱动程序的联合调试。任职要求：1.本科及以上学历，计算机、电子通讯类相关专业。2.熟悉Android设备驱动，有独立调试，分析Android驱动问题的经验。3.有LCD、TP、camera、sensor等底软开发经验，掌握SPI，I2C，UART接口开发。4.熟悉功耗分解、充电流程等相关工作内容，有相关开发经验者优先。5.有过高通、展讯平台Android驱动开发经验优先。",民营  |  150-500人
手机安卓开发工程师/MMI,上海易景信息科技有限公司,2.5-3.5万,重庆-江北区,本科,3-4年经验,01-28发布,通信/电信/网络设备,,"岗位职责：1.负责智能座舱安卓应用开发,包括应用架构、交互、逻辑，开发环境和框架搭建2.负责应用性能及稳定性分析及调优3.参与应用开发团队的技术培训,提高团队开发技术能力,并创建技术氛围4.具有扎实的语言基础，对网络编程、多线程、设计模式、高可用程序架构等有深入理解，对JVM原理有一定了解；5.重视代码规范，熟悉Android常用组件、框架、和技术原理，熟悉AndroidSDK不同版本主要特性。任职要求：1、本科及以上学历，3年以上Android应用软件开发经验，计算机、软件工程、自动化等相关专业；2、熟悉Android框架原理，四大组件，异步框架，AIDL，JNI开发；3、熟练使用AndroidUI控件，自定义控件，UI动效；4、熟悉Android开发模式（MVP、MVVM），具备良好的设计模式和面向对象编程思维；5、具有其中一个或多个模块的开发经验，语言、地图、BT、TUNER、Media、Launcher；6、有车机Android开发经验优先，熟悉车载智能座舱系统业务优先；7、有Android系统应用(Launcher,SystemUI,Settings)开发经验优先，有Android源码开发经验优先。",民营  |  500-1000人
高级安卓系统工程师,广东天波信息技术股份有限公司,1.7-3万,上海,本科,3-4年经验,01-28发布,电子技术/半导体/集成电路,,岗位职责：1、负责APP架构（平台、数据库、接口和应用架构、客户端等）设计与实现；2、处理所开发软件系统测试的BUG，负责移动应用程序开发与产品维护，完成APP系统研发，及上线保障，功能迭代，提升用户体验等工作。3、按项目要求，独立完成软件设计文档、编码实现和单元测试。4、有独立实际开发Android及承担过上线产品项目架构设计经历。任职资格：1、本科及以上学历，计算机相关专业，有Android客户端开发，3年以上相关工作经验；2、有中大型Android项目从0到1的研发经验；熟悉流行的开源组件以及框架；3、精通主流的开发语言，如：Java等；4，熟练掌握TCP、HTTP等网络传输协议、JSON等常用技术，具有性能（APP奔溃、启动、功耗、卡顿、内存等问题）优化相关的实践经验；5、熟练Android，对UI、组件、线程、性能与优化等有深入实践；6、具备良好的沟通能力和团队合作能力，富有创造力和责任感。,民营  |  500-1000人
安卓软件工程师,广州人来康复设备制造有限公司,1.2-1.8万,深圳-龙岗区,本科,无需经验,01-29发布,医疗设备/器械,,岗位要求：1、本科以上学历，英语良好；2、电子相关专业（应用电子技术、通信工程、软件工程等专业）；3、具备良好的编程风格和较强的文档编写能力，能根据公司的要求提供完整规范的研发文档；4、沟通能力较强，有团队意识，接受领导交付的其他事项。岗位职责：1、Android系统BSP包移植、驱动开发以及AndroidHAL层开发，封装系统底层SDK库给到Android应用层开发；2、熟悉Linux下C/C++编程，有在高通、海思、MTK、RK、Allwinner等平台上编程的经历；3、负责外设驱动及内核的移植、编码、调试和测试。该岗位属于辅助园区内各企业，投递成功后会精准推送给对应招聘企业，届时由各企业HR自行与各求职者对接面试相关事宜！,民营  |  50-150人
安卓开发工程师,深圳市盛能杰科技有限公司,9千-1.2万,上海-浦东新区,本科,3-4年经验,01-29发布,新能源,,职责描述：1、负责智能硬件设备AndroidAPP的功能开发、调试；2、优化App性能、稳定性与用户体验；3、负责智能硬件产品软件系统可行性分析与预研；4、编制软件设计方案、软件流程图、时序图等技术文档；5、参与产品功能、用户体验定义。任职要求：1、计算机、电子相关专业本科及以上学历，智能硬件产品Android应用软件4年以上开发经验；2、精通Android系统架构、常用组件和控件、数据存储方式、数据接口和调用，有智能硬件产品APP完整开发经验；3、有图像识别或语音（TTS等）相关研发经验；熟悉Camera框架，OpenCV，OpenCL者优先；4、具备良好的分析、解决问题的能力，能很快学习和掌握新技术；5、具备良好的团队精神和沟通意识，责任心强，工作认真细致，有良好的抗压能力。,民营  |  150-500人
安卓中间件开发工程师,百富计算机技术（深圳）有限公司,1.5-3万,宁波-海曙区,本科,3-4年经验,01-29发布,计算机软件,,1.负责Android平台软件产品设计、新功能开发，测试维护工作2、对Android系统应用管理、进程管理、内存管理机制有深入理解3、具备良好的沟通能力、执行力和团队协作能力4.开发改善、维护和优化相关产品的质量、性能、提升客户的使用体验5.能够应对市场安卓多机型、多系统版本的开发任务6.根据客户需求对发现问题进行定位分析和解决7.研究手机端领域的新技术并加以应用8.熟悉混合开发者优先。职责要求；1.计算机相关专业，本科学历，3年及以上移动平台经验；2.精通各种Android开发工具和测试工具3.熟练掌握Android界面开发、网络通讯机制、熟悉Socket、HTTP、多线性等客户端技术4.对Android程序优化、内存优化有一定经验5.至少参加过两个完整手机APP应用开发项目。6.熟悉跨平台前端混合开发者（Android、ios、公众号、小程序）优先。,外资（非欧美）  |  1000-5000人
安卓应用开发工程师,广东天波信息技术股份有限公司,9千-1.3万,青岛,本科,2年经验,01-29发布,电子技术/半导体/集成电路,,1.负责移动平台Android客户端的应用开发；2.负责Android手机平台应用软件的需求分析、功能设计、编码和测试；3.负责参与产品需求分析并参与技术实施方案设计；4.负责参与制定设计及实现规范，指导设计、实现及部署工作；5.负责参与对手机软件系列产品进行维护和持续升级；6.负责和研究新的移动互联网技术以满足产品的需求。,民营  |  500-1000人
Android安卓开发工程师,南京美乐威电子科技有限公司,1-2万,深圳-龙岗区,本科,1年经验,01-29发布,电子技术/半导体/集成电路,,"[岗位职责]1、根据公司业务需求，负责安卓客户端开发；2、能够对公司现有的移动端产品（安卓端)进行维护和升级；3、全程参与手机App产品需求、功能等讨论，并根据需求出设计方案；4、按进度要求完成项目计划。[任职要求]1、本科及以上学历，计算机、软件、信息等相关专业；2、一年及以上安卓平台客户端开发经验,熟悉Android开发平台及框架原理；3.熟悉APP生命周期，内存管理，能够对APP进行性能优化，内存优化，解决内存泄漏，内存溢出，ANR等问题;4.熟练使用Androidstudio开发工具；5.撑握Android与JS交互；6.对数据结构、基本算法熟练掌握，并具备基本算法设计能力；7.对常用开源框架源码具有自己的见解；8.熟练使用Android的服务和广播；9.熟练使用Android的数据存储；10.熟练使用线程和异步处理；11.有蓝牙开发和消息推送相关经验者优先.上班时间：五天八小时，周末双休公司福利：五险一金，节日礼品，法定假日，专业培训，工龄奖金，带薪年假、探亲福利上班地点：深圳市龙岗区大运软件小镇53栋-1三楼",民营  |  150-500人
安卓framwork开发工程师,润芯微科技（江苏）有限公司,1.5-3万,北京,本科,3-4年经验,01-28发布,计算机软件,,工作职责:1、根据需求进行android平台客户端app的设计、开发、维护和优化；2、能够配合项目人员完成集成测试、系统测试和系统交付工作；3、负责对产品进行持续优化和改进，对性能、安全、稳定性、用户体验等方面持续优化提升；4、完成部门安排的其它开发和研究的工作；任职资格:1、计算机相关专业本科及以上学历，3年及以上安卓开发经验；2、精通AndroidSDK及基本组件，精通Android的多线程机制；熟练使用各类主流框架，熟悉TCPHTTP等常用网络传输协议；3、熟悉AndroidUI开发技术；4、熟练掌握内存和性能分析、调优工具的使用，并能够定位和解决问题；5、具备良好的Java技术功底，熟悉常用的设计模式；6、有RFID手持、智能语音及AI技术相关开发经验优先；,创业公司  |  1000-5000人
安卓系统安全工程师,百富计算机技术（深圳）有限公司,2-3万,惠州,本科,3-4年经验,12-13发布,计算机软件,,岗位职责：负责HUD产品的Android应用开发。任职要求：1、本科，电子/软件相关专业，3年以上工作经验：2、熟练使用AndroidStudio；3、熟悉Java/C++语言开发，具备良好的编码习惯；4、熟悉Android应用开发；5、熟悉安卓动画开发；6、有以下条件者优先（一种或几种）：①有3D动画经验者；②有车机系统开发经验者；③熟悉JavaScript开发者；④有OpenCV开发经验者。,外资（非欧美）  |  1000-5000人
高级安卓系统工程师（佛山桂城上班，提供住宿）,广东天波信息技术股份有限公司,1.5-3万,杭州-钱塘区,本科,2年经验,01-28发布,电子技术/半导体/集成电路,,岗位职责1、负责配合完成与APP层以及底层驱动的对接工作2、负责公司安卓应用软件框架的开发；3、负责开发相关文档的编写。技能要求1、2年以上android系统层开发经验，熱悉C/C++编基础，有相关项目经验。2、能够独立思考产品中的技术架构和实现，以及未来的扩展性，针对问题可以给出合理的解决方案，并有效权衡最终的实现方式3、掌握以下技术（1）熟悉Android平台架构及AndroidSDK源码；（2）熱悉Java编程；4、本科及以上学历，电子、通信、计算机、软件类等相关专业；***、***、中科院毕业生。5、热爱编程，能积极学习新技术，乐于分享；贵任心強，做事严送，能适应快速开发和承受工作压力。,民营  |  500-1000人
Android安卓开发工程师(J13297),上海联影微电子科技有限公司,2-2.5万,深圳-福田区,本科,2年经验,01-28发布,电子技术/半导体/集成电路,,岗位职责：1、负责公司安卓手机产品的软件技术支持；2、基于公司的芯片和SDK，指导客户进行软件开发，解决客户在软件开发过程中遇到的问题。协助客户分析log，定位问题的原因，并给出解决方案。3、能独立分析、评估并定位/解决问题，及时给客户提供解决方案；4、跟踪客户项目软件开发进度，更新客户软件状态和问题，跟研发/销售team保持密切沟通；5、相关文档和SPEC编写任职要求:1、具备2年安卓驱动或Linux驱动研发经验；能熟练使用C语言。熟悉C++优先。2、有UART/USB/SDIO/Charger/PMIC/Flash/EMMC/SPI/I2C/LCD/GPIO/按键/触摸屏/摄像/蓝牙/WiFi/FM/音频等模块驱动相关开发经验优先；3、有开源软件移植经验者优先；4、有较强的debug和分析问题能力；5、有ATA自动化软件开发经验者优先；6、有RIL开发经验者优先；7、有AndroidHAL或Androidframework开发经验者优先；,民营  |  150-500人
自研项目安卓sensor工程师,润芯微科技（江苏）有限公司,1.4-1.9万,上海-徐汇区,本科,3-4年经验,01-28发布,计算机软件,,"JOBDESCRIPTION：SOCChipSDKdevelopmentforandroidvendormanufacturers.1.	AndroidHIDLDriverintegration.TIF(TvInputFramework)development.AndroidTVsolutionappdevelopment.2.	NewAndroidTVtechnologyevaluationandintegration.3.	Customerprojectdevelopmentandsupport.4.	Co-workwithBSP(Linux)teamwithAndroidTvtotalsolutionbuild/test/release.5.	Co-workwithCAS(DRM)teamwithAndroidDrmtotalsolutionbuild/test/release.6.	AndroidSDKonvendorchipintegration/release.QUALIFICATION:1.	Bachelor(orabove)degreeincomputerscience,EE,orautomation.Atleast2-3yearsworkingexperience.2.	EmbeddedsystemdevelopmentwithLinux/Android.3.	SolidC/C++programmingability.4.	BettertohaveTVOS/DTV/DVBstackknowhow.5.	BettertohaveJavalanguagedevelopment.6.	BettertohaveexperienceinAndroidVTS/CTS/GTS.7.	Goodteamworkandcommunicationability,goodEnglishforbothoralandwriting.",创业公司  |  1000-5000人
安卓系统工程师（应届生/包住）,深圳市巨诺电子有限公司,8千-1.2万,广州,本科,5-7年经验,01-28发布,电子技术/半导体/集成电路,,Android/iOS开发工程师岗位职责1、根据业务需求，负责公司Android/iOS海外产品的开发工作；2、根据产品功能进行系统框架设计与搭建、模块代码设计，编码实现模块功能并确保开发质量，参与APP部分开发决策；3、具有良好的技术钻研能力、良好的文档编写能力及沟通能力，逻辑思维清晰严谨。参与代码评审，给出代码设计、性能、安全方面的建议；4、根据开发过程中的体验对所做产品提出改进意见和建议。5、独立完成Android/iOS产品的开发、测试以及GooglePlay/AppStore出包提审工作任职要求1.计算机，自动化，软件工程，通信等相关专业，两年以上的相关工作经验；2.有扎实的编码基础，熟悉常用算法和数据结构，熟悉异步编程机制3.熟练掌握手机移动端网络通信机制，对Socket通信、TCP/IP和HTTP有深刻理解和实际经验；熟悉JSON及XML数据结构及数据解析；4.精通Android或iOS应用开发框架、熟练进行Android/iOSUI/Framework开发技能、熟练使用Android/iOSSDK、熟练进行Android/iOS的编译、打包、提审等环节。5.掌握数据加密、防破解、性能优化、运行时等技术；6.同时具备Android和iOS两种技能者优先。7.能够熟悉运用Python，JavaScript，Shell等脚本语言者优先。,民营  |  150-500人
安卓开发工程师,云南南天电子信息产业股份有限公司成都分公司,8千-1.1万·13薪,深圳-福田区,大专,5-7年经验,01-29发布,银行,,岗位要求：1、具备良好团队协作精神，拥有良好的跨团沟通技巧，具备一定的承压能力；2、有Android平台5年以上开发经验；3、精通Android平台的开发，jajv语言及数据结构基，AndroidSDK及相关开发工具；4、熟悉算法思想，有较的解决问题能力，对OOD/OOP有深刻的理解；5、熟悉通过webservice进行数据交互，熟悉json和xm格式解析；6.有负责心，愿意和初创公司一起成长，有一定的抗压力岗位职责：1、根据项目要求，配合开发手机应用软件；2、根据项目要求，撰写各种技术文档；3、有效处理团队沟通，主动推进任务执行。AndroidSQL分布式技术SpringMySQLOraclesQLServerRedis,已上市  |  1000-5000人
安卓驱动工程师 (MJ000298),广东移远通信技术有限公司,1-1.5万,深圳,本科,5-7年经验,01-29发布,通信/电信/网络设备,,岗位职责：1.产品的linux/安卓驱动软件开发，测试，验证和发布。2.根据产品需求分解技术要点，设计软件架构和开发功能。3.对激光器及其周边附件产品进行驱动软件设计。4.规划/设计软件接口，实现公司产品的接口标准化。5.研究数据加密传输技术，实现物理层接口加密安全传输。6.软件更新迭代与维护。任职要求:1.教育背景：本科以上学历，软件、通讯、电子等专业毕业。2.经验要求：5年以上消费类产品/工业设备的Linux/安卓底层开发经验。3.硬技能：熟悉linux系统软件设计方法和软件架构，具备LCM/CAM/Audio/modem接口驱动开发能力，熟悉常用的加密鉴权算法。4.软技能：优秀的逻辑思维与实操能力，良好的客户/用户意识，具备前沿性思维和迎难而上的活力。5.有良好的英语听说读写能力优先考虑。,民营  
（周末双休）安卓开发工程师,广东宏太智慧谷科技企业孵化器有限公司,1.5-3万,深圳-南山区,本科,1年经验,01-29发布,多元化业务集团公司,,1．电子/计算机相关专业，本科及以上学历；2．一年以上Android系统应用程序开发经验；3．具有良好的JAVA语言基础，具有编写规范代码和文档的能力；4．熟悉常用代码配置管理工具如SVN等；5．熟悉C/C++、音频解码、SystemUI、蓝牙协议栈等。,民营  |  少于50人
安卓开发工程师（EOC),新讯数字科技（杭州）有限公司,1-1.5万,上海-青浦区,大专,2年经验,01-28发布,通信/电信运营、增值服务,,岗位职责1.负责AndroidAPP功能界面开发、迭代升级；2.参与需求分析、系统讨论、接口需求编写等；3.根据业务需求开发代码、bug修复、市场发布，按照实际需求按时按量提交任务。4.负责应用系统的相关文档编写以及运维信息统计等；职位要求1、有2年以上Android实际开发经验；2、熟悉Android开发平台框架原理，理解面向对象的设计模式，对数据结构、基本算法熟悉，了解MVC、MVP等开发模式；3、精通AndroidUI布局、绘制、事件分发传递原理，熟悉自定义View开发；4、熟悉Android网络通信，对Socket通信、TCP/IP、HTTP等有了解；5、有LBS、地图、导航等相关工作经验，有了解各大主流地图应用特性者优先；6、思维清晰、敏捷；有较好的学习能力、沟通能力，能承受一定的工作压力；7、具备良好合作态度及团队精神，并富有工作激情、创新力和高度的责任感。,民营  |  1000-5000人
安卓开发工程师,江苏翰林正川工程技术有限公司,1.5-2.2万,上海-嘉定区,本科,5-7年经验,01-28发布,电气/电力/水利,,？计算机相关专业，5年以上工作经历，具备良好的沟通能力和自我学习能力？具备扎实的Java语言基础，熟悉面向对象编程和MVC设计模式？精通Android开发技术，包括UI、网络、设备驱动等方面？有Android中间层开发经验，有HTML5应用开发经验？熟悉网络通信技术，包括网络协议，数据编码和加密算法,民营  |  50-150人
安卓Android开发工程师,巨擎网络科技（济南）有限公司,1.3-1.8万·15薪,南京-江宁区,本科,3-4年经验,01-28发布,计算机软件,,"AndroidPerformanceEngineer安卓性能工程师JobDescription？	负责福特车载信息娱乐系统（IVI）的新功能的性能和存储空间进行评估管理。？	设计并编写车载信息娱乐系统的系统性能数据抓取脚本，编写数据解析、归档脚本。？	与性能测试工程师一起定义性能测试场景，包括用户使用场景，车机极限场景(CPU/GPU/RAM满载场景)等，并对测试数据解析，汇总，归档。？	对车机存储分区进去规划和管理，定期与福特/供应商团队同步存储状态。？	指导供应商/其他团队抓取性能数据，收集各个功能存储信息，汇总评估当前存储状态，识别风险。？	调研android平台优化，控件优化和系统裁剪方案。Qualification:？	本科学历及以上，计算机、自动化控制或软件工程相关专业。？	三年以上安卓平台软件开发经验，熟悉App开发控件，动画，和FWK开发，有游戏开发优化经验更佳。？	熟悉Android系统服务，如SystemServer,Surfaceflinger等。？	熟练掌握ubuntu开发环境，熟练掌握python,shell，Linux指令，adbshell调试命令等。？	了解市面上常用的3D渲染引擎，如kanzi，unreal，cocos等。？	了解QNX操作系统，有QNX开发经验更佳。？	了解或使用过android性能工具，如Systrace,HierarchyViewer,profiler,perfetto等。？	有java前后台开发经验更佳。",民营  |  少于50人
